15年11月 1日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年11月 1日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  ダ1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  ダ1400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,渡月橋ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,14, 3, シゲルオニオコゼ,---,義英真, 4.2, 23, -12, -29,10, 63.6, ⑨⑩,,,,,,,,,,,,,14,13,Ｂランドマｰキュリｰ, 83,藤岡康, 2.1, 69,   8,   0, 4, 11.4, ⑦⑥
,,,,,,,,,,,,15, 8, カシノジョウネツ,---,秋山真, 5.2,  7, -26, -24,13,132.6, ⑮⑮,,,,,,,,,,,,,15,10,Ｎヘアｰオブザドッグ, 73,鮫島良, 2.7, 67,   1,   4,16,207.3, ⑭⑭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,11,Ｐエイシンライダｰ, 65,松山弘, 2.8, 63,  10, -10, 6, 16.4, ④⑦
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-1),,,,,,,,,,,
"単勝:1,840円 複勝:06=310円 08=130円 07=360円 枠連:4,520円",,,,,,,,,,,,単勝:200円 複勝:07=110円 01=130円 06=160円 枠連:280円,,,,,,,,,,,,単勝:270円 複勝:08=110円 04=130円 01=110円 枠連:580円,,,,,,,,,,,,単勝:190円 複勝:01=120円 04=150円 12=370円 枠連:420円,,,,,,,,,,,
"馬連:3,960円 ワイド:06-08=1,410円 06-07=1,560円 07-08=840円",,,,,,,,,,,,馬連:420円 ワイド:01-07=190円 06-07=280円 01-06=370円,,,,,,,,,,,,馬連:590円 ワイド:04-08=210円 01-08=140円 01-04=220円,,,,,,,,,,,,"馬連:480円 ワイド:01-04=240円 01-12=800円 04-12=1,450円",,,,,,,,,,,
"馬単:8,710円 3連複:8,410円 3連単:56,750円",,,,,,,,,,,,"馬単:630円 3連複:700円 3連単:1,960円",,,,,,,,,,,,"馬単:1,210円 3連複:350円 3連単:2,250円",,,,,,,,,,,,"馬単:810円 3連複:3,220円 3連単:9,730円",,,,,,,,,,,
■ 2R  芝1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-20,,,,,■ 5R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  芝1600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■11R  芝1800m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,ｶｼｵﾍﾟｱｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｃスマｰトスペクタｰ, 53,幸英明,, 55,  -8,* 10, 3,  7.5, ⑪⑪, 1,11, ダノンシャルマン,---,松山弘,, 38,*-34,  -1, 1,  1.7, ②②, 1,15,Ｇネオスタｰダム, 71,秋山真,, 73,   7,   3, 2,  4.7, ⑨⑨, 1, 2,Ｄトｰセンスタｰダム, 83,シュタ,, 85,  10,  13, 1,  1.8, ⑥⑤
 2,15,Ａマテラアリオン, 56,シュタ, 0.0, 52,   0,  -5, 1,  1.3, ⑤⑤, 2, 7, ピッツィカｰト,---,北村友, 0.3, 41, -39,*  8, 5, 14.2, ⑫⑫, 2,18,Ｌイレイション, 66,和田竜, 0.0, 75,   5,   5, 5,  8.2, ⑪⑩, 2, 8,Ｅダノンメジャｰ, 82,松山弘, 0.0, 87,   8,* 18, 4, 11.0, ⑨⑨
 3,10,Ｂイリデッセンス, 53,藤岡康, 0.1, 52,  -5,*  3, 2,  6.1, ⑩⑨, 3, 1, ホットメッセｰジ,---,酒井学, 0.4, 36, -38,   3, 3, 10.6, ⑧⑧, 3,16,Ｃアルパｰシャン, 73,古川吉, 0.0, 73,   4,*  8, 6,  8.8, ⑭⑬, 3, 6,Ｈマコトブリジャｰル, 79,秋山真, 0.1, 84,  13,   9,10, 60.6, ③④
 4, 2,Ｋシャルメｰヌ, 33,和田竜, 0.3, 50,  -2,  -4, 5, 19.2, ⑧⑦, 4,14, ラスイエットロス,---,和田竜, 0.4, 37, -36,   0, 6, 15.2, ⑦⑥, 4, 9,Ｈジョｰウォルタｰ, 71,国分恭, 0.1, 74,   4,*  6, 8, 19.2, ⑬⑫, 4, 3,Ｂハギノハイブリッド, 86,藤岡康, 0.3, 83,   9,  10, 3,  9.2, ⑤⑦
