15年10月17日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年10月17日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,,■ 4R  芝1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,神奈川新聞杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 2, 7,Ａナックビｰナス, 50,横山典, 0.3, 53,*-11, -10, 2,  4.0, ①①, 2, 1,Ｃポルトボナｰル, 75,石川裕, 0.0, 76,* 13,  -2, 2,  4.8,①①①, 2, 4,Ｅナンヨｰファミユ, 57,柴田善, 0.0, 60,   6,* -4, 4,  8.1, ⑨⑦, 2, 4,Ｄパイメイメイ, 78,秋山真, 0.0, 73,   2,   9, 1,  3.0, ⑥⑦
 3, 3,Ｄゴｰルドエフォｰト, 46,戸崎圭, 0.5, 56, -19,*  1, 3,  4.1, ⑨⑨, 3, 6,Ａアンヴェイルド, 79,ルメｰ, 0.3, 74,  11,* -1, 1,  1.9,⑤⑤⑤, 3, 2,Ｃケイティブレイブ, 63,津村明, 0.1, 58,*  9, -10, 6, 15.1, ②②, 3, 7,Ｃナムライチバンボシ, 78,津村明, 0.3, 71,   4,   5, 8, 26.7, ⑤⑤
 4, 1,Ｆサンセットトウホク, 44,ルメｰ, 0.6, 51,*-12, -11, 1,  2.3, ③③, 4, 8,Ｊバイオンディップス, 64,デムｰ, 0.5, 71,  11,  -3, 5, 10.3,⑥⑥④, 4,12,Ｄクインズサタｰン, 59,岩田康, 0.5, 57,   1,*  1, 5,  9.1, ⑬⑫, 4, 6,Ｌラブミｰクン, 70,藤岡康, 0.3, 73,   1,   9,11, 61.1, ⑧⑨
 5, 2,Ｅスカｰレットルビｰ, 46,柴田善, 0.7, 51, -14,  -8, 8, 32.2, ⑥⑥, 5, 9,Ｉニシノプレシャス, 65,戸崎圭, 0.9, 70,  10,  -2, 8, 39.8,⑧⑧⑧, 5,11,Ｍフレンドミラクル, 38,吉田豊, 0.8, 53,   7, -13,11,201.3, ⑦⑤, 5, 9,Ｋオｰネットサクセス, 71,田中勝, 0.4, 71,*  7,   1, 9, 38.7, ①①
 6,10,Ｇマｰヴェラスデｰ, 41,田辺裕, 0.9, 49, -14, -11, 4, 10.5, ⑦⑦, 6,10,Ｂコスモアルマク, 77,柴田大, 1.3, 66,  10,  -8, 4,  7.2,⑦⑦⑦, 6, 5,Ｆアリオンダンス, 57,武士沢, 0.9, 54,   4, -10, 8, 26.2, ⑪⑩, 6,13,Ｊグレイスフルデイズ, 72,石橋脩, 0.6, 69,*  6,  -1,10, 51.1, ②②
 7, 4,Ｃスリｰミュｰジアム, 49,大野拓, 1.1, 47, -14, -15, 7, 18.7, ④⑤, 7, 7,Ｇオｰゴンボルト, 67,江田照, 1.5, 65,* 12, -13, 9, 51.2,④④③, 7, 8,Ｇカゼノカムイ, 56,内田博, 0.9, 53,   7, -15, 7, 24.7, ④④, 7,10,Ｉディアゴッホ, 73,吉田豊, 0.6, 70,  -5,* 12,13,120.5, ⑩⑩
 8, 9,Ｂゴｰルドレイ, 50,柴山雄, 1.3, 41,*-12, -23, 5, 12.2, ②②, 8, 5,Ｈデルマカマイタチ, 66,井上敏, 2.2, 61,  10, -14,10,138.1,⑨⑨⑨, 8, 1,Ｂクレマンダルザス, 64,蛯名正, 1.0, 53,*  9, -18, 1,  2.0, ①①, 8, 1,Ｆドラゴンゲｰト, 76,松岡正, 0.7, 69,   5,   0, 4,  7.1, ④④
 9, 8,Ｊテイエムクック, 33,内田博, 2.0, 34,*-11, -32, 9, 85.7, ⑤④, 9, 2,Ｆフクノドｰビル, 68,松岡正, 2.3, 60,   8, -12, 6, 22.3,⑩⑩⑩, 9,10,Ａメイショウゴテツ, 67,秋山真, 1.3, 48,*  8, -19, 2,  5.0, ③③, 9, 5,Ｅトウカイビジョン, 77,岩田康, 0.7, 69,   1,   5, 3,  6.4, ⑨⑧
10, 6,Ｈハヤブササンサン, 41,岩田康, 2.2, 36, -23, -16,10,125.4, ⑩⑩,10, 4,Ｅジャコバイティズム, 69,内田博, 2.9, 58,  11, -23, 3,  6.7,③③⑥,10, 9,Ｌゴブレット, 45,大野拓, 1.5, 50,   6, -17,10,100.2, ⑧⑧,10, 8,Ｈスズカアｰサｰ, 74,戸崎圭, 0.7, 71, -10,* 18, 5, 13.9, ⑫⑬
,,,,,,,,,,,,,,,,,,,,,,,,11, 7,Ｊキャラメルサレ, 49,江田照, 2.1, 44,   2, -16,13,239.1, ⑫⑪,11,14,Ｎファンデルワｰルス, 68,石川裕, 0.9, 68,*  6,  -3, 7, 21.0, ③③
,,,,,,,,,,,,,,,,,,,,,,,,12,13,Ｋレディエントブルｰ, 46,北村宏, 3.3, 37,   7, -35, 9, 72.6, ⑤⑥,12,12,Ｍヒカルランナｰ, 68,二本柳, 1.6, 62,  -9,   7,12,118.2, ⑬⑫
,,,,,,,,,,,,,,,,,,,,,,,,13, 3,Ｉレディトリス, 53,柴山雄,12.0,-34,  -1, ---,12,201.6, ⑥⑬,13,11,Ｇカフェラビリンス, 74,井上敏, 1.7, 61,  -9,   6,14,262.3, ⑪⑪
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:稍重(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-10 馬場:不良(指数:-10),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-14 馬場:不良(指数:-10),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:重(指数:-10),,,,,,,,,,,
"単勝:1,810円 複勝:05=390円 07=170円 03=180円 枠連:3,170円",,,,,,,,,,,,"単勝:2,330円 複勝:03=310円 01=150円 06=110円 枠連:4,610円",,,,,,,,,,,,"単勝:720円 複勝:06=250円 04=230円 02=360円 枠連:2,450円",,,,,,,,,,,,単勝:310円 複勝:02=150円 04=120円 07=390円 枠連:490円,,,,,,,,,,,
"馬連:3,080円 ワイド:05-07=970円 03-05=1,110円 03-07=370円",,,,,,,,,,,,"馬連:3,910円 ワイド:01-03=910円 03-06=450円 01-06=220円",,,,,,,,,,,,"馬連:2,960円 ワイド:04-06=1,090円 02-06=1,460円 02-04=880円",,,,,,,,,,,,"馬連:510円 ワイド:02-04=220円 02-07=1,250円 04-07=1,240円",,,,,,,,,,,
"馬単:5,600円 3連複:5,070円 3連単:43,800円",,,,,,,,,,,,"馬単:10,910円 3連複:1,870円 3連単:25,540円",,,,,,,,,,,,"馬単:5,480円 3連複:7,120円 3連単:40,700円",,,,,,,,,,,,"馬単:990円 3連複:3,790円 3連単:13,760円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
