15年10月17日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年10月17日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,,■ 4R  芝1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,神奈川新聞杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12, 3,Ｌレオベロｰナ, 28,岩部純, 2.6, 27,  -8, -21,13,174.1, ⑧⑩,12, 9, ウインアイリス,---,松岡正, 2.0, 40,  -4, -27,11, 51.7, ⑤④,12, 1,Ｏインペリアルブルｰ, 56,石川裕, 1.3, 60,  -5,   1,14,126.3, ⑮⑮,12, 7,Ａボブキャット, 79,デムｰ, 0.9, 63,   7, -13, 5, 12.5, ④④
13, 6,Ｇドエライナｰ, 36,江田照, 2.7, 27,* -3, -29, 4, 12.7, ②②,13, 5, カシノミライ,---,二本柳, 2.2, 37,  -9, -23,16,184.8, ⑫⑬,13, 9,Ｈカシノトラダマシイ, 65,二本柳, 1.4, 56,   1,  -8,13,125.6, ④⑤,13, 8,Ｎジｰニマジック, 66,田中勝, 0.9, 66,   7, -11,13, 91.6, ⑧⑥
14, 7,Ｆクラウンコルデｰロ, 38,井上敏, 2.9, 24,  -7, -25,10, 36.8, ⑩⑨,14, 1, トゥルｰセオリｰ,---,石川裕, 2.9, 29,  -8, -35,14,127.6, ⑦⑦,14, 8,Ｎファストアズソング, 57,戸崎圭, 1.6, 57,  -2,  -3, 7, 14.4, ⑫⑬,14,11,Ｏキングクリチャン, 65,井上敏, 1.0, 65,* 11, -18,15,245.2, ②②
15, 8,Ｊレッドセバスチャン, 31,野中悠, 3.0, 24,  -5, -29,14,219.9, ⑥⑥,15, 3, クラウンロマン,---,三浦皇, 3.2, 27,  -8, -39,15,140.4, ⑧⑧,15, 3,Ｐレガリアシチｰ, 55,野中悠, 2.9, 43,  -2, -19,16,240.1, ⑧⑦,15, 1,Ｋハルズハッピｰ, 69,江田照, 1.3, 58,  -8,   5,12, 78.6, ⑮⑮
16,16,Ｏヒメユリハｰト, 15,大野拓, 3.9, 19, -15, -23,15,266.3, ⑯⑯,16,11, モリカイソウ,---,戸崎圭, 3.5, 23,* -3, -50, 9, 29.3, ②②,16, 5,Ｋグッドラックミｰ, 62,武士沢, 3.2, 42,  -6, -15,15,165.8, ⑯⑯,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-10 馬場:不良(指数:-10),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:稍重(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:不良(指数:-10),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:稍重(指数:1),,,,,,,,,,,
単勝:170円 複勝:04=110円 14=180円 05=430円 枠連:400円,,,,,,,,,,,,"単勝:620円 複勝:12=210円 06=180円 13=160円 枠連:1,780円",,,,,,,,,,,,"単勝:2,060円 複勝:13=720円 10=240円 04=590円 枠連:2,400円",,,,,,,,,,,,単勝:270円 複勝:05=130円 14=160円 15=180円 枠連:280円,,,,,,,,,,,
"馬連:500円 ワイド:04-14=270円 04-05=760円 05-14=1,990円",,,,,,,,,,,,"馬連:2,290円 ワイド:06-12=750円 12-13=480円 06-13=490円",,,,,,,,,,,,"馬連:6,200円 ワイド:10-13=2,320円 04-13=6,160円 04-10=1,780円",,,,,,,,,,,,馬連:820円 ワイド:05-14=340円 05-15=440円 14-15=650円,,,,,,,,,,,
