15年 3月21日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 3月21日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  芝1600m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 7R  ダ1200m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■10R  ダ1200m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,なにわｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｃモズライジン, 62,浜中俊,, 73,  -5,* 15, 2,  4.9,⑩⑥⑥, 1, 2,Ｆブルロｰネ, 59,武豊  ,, 70,*  1,* -1, 7, 21.8, ②③, 1, 3,Ａトｰタルヒｰト, 75,浜中俊,, 72,  -5,* 12, 1,  1.9, ⑤④, 1, 7,Ｈベストルｰラｰ, 79,浜中俊,, 81,*  8,  11, 6, 14.5, ②②
 2, 5,Ｊタムロミラクル, 49,シュタ, 0.0, 71,* -4,* 13, 4,  6.3,②②②, 2, 5,Ｄスｰサンジョイ, 61,和田竜, 0.3, 67,   0,* -2, 5, 17.7, ⑥⑤, 2, 9,Ｃストｰムジャガｰ, 70,岩田康, 0.2, 69,  -4,  10, 2,  2.8, ③③, 2, 3,Ｃドニカナルボｰイ, 83,岩田康, 0.0, 81,   5,  15, 2,  4.7, ⑥⑥
 3, 3,Ｇクロｰザｰ, 55,福永祐, 0.6, 67,* -3,   7, 3,  5.3,①①①, 3,11,Ｌノミネｰション, 44,国分優, 0.5, 65,*  4, -12,12,123.7, ①①, 3, 2,Ｈカゼニタツライオン, 61,菱田裕, 0.9, 63,*  2,  -2, 7, 29.1, ②①, 3,14,Ａワディ, 87,藤岡佑, 0.2, 78,   6,  12, 1,  3.5, ⑤⑤
 4,11, エッジクリフ,---,岩田康, 0.8, 64,* -5,   6, 6,  8.0,④③③, 4,14,Ｂサウンドギャツビｰ, 65,秋山真, 0.8, 60,   0,  -8, 6, 21.0, ⑨⑥, 4, 6,Ｆファイアキング, 66,藤岡佑, 0.9, 63, -16,* 15,10,189.8, ⑫⑫, 4, 4,Ｏテｰオｰソルジャｰ, 69,秋山真, 0.3, 78,   2,  14, 7, 17.0, ⑨⑧
 5, 1,Ｂサウンドクラフト, 63,川田将, 1.0, 65,* -4,   5, 1,  3.7,③④④, 5,10,Ａオメガハｰトソング, 69,岩田康, 0.8, 63,  -4,*  0, 1,  1.7, ⑩⑩, 5, 4,Ｅサンライズシルバｰ, 67,加藤祥, 1.0, 62,  -8,   6, 5, 23.2, ⑥⑤, 5, 6,Ｅアンリヴィｰルド, 80,四位洋, 0.4, 80,  -6,* 20, 3,  4.8, ⑭⑬
 6, 2,Ｆウインオベロン, 57,国分優, 1.9, 57,  -5,  -2, 9, 28.9,⑤⑤⑤, 6,15,Ｊメイショウナガヨリ, 50,酒井学, 1.0, 61,  -5,* -2,14,325.0, ⑪⑪, 6, 7,Ｂキョウワランサｰ, 71,福永祐, 1.0, 63, -13,  12, 3,  6.1, ⑪⑩, 6, 9,Ｄエｰシングリズリｰ, 81,福永祐, 0.4, 77,   6,   9, 8, 17.3, ③③
 7, 9,Ａスｰパｰノヴァ, 67,藤岡佑, 2.0, 54,  -6,   0, 5,  7.8,⑧⑦⑧, 7, 7,Ｈピｰスオブジャパン, 58,池添謙, 1.1, 56,*  1, -17, 4,  7.9, ④④, 7,10,Ｉノイ, 60,竹之下, 1.1, 61,  -7,   5,11,207.1, ⑦⑦, 7,13,Ｂメイショウオセアン, 86,武豊  , 0.4, 76,   2,  12, 5,  8.0, ⑧⑦
 8,12, アニエｰル,---,四位洋, 2.5, 57,  -7,  -4,12, 75.6,⑥⑧⑨, 8, 4,Ｉティｰエスバラ, 58,岡田祥, 1.3, 57,  -7,  -4,11,100.2, ⑬⑫, 8,12,Ｇナムラアッパｰ, 66,城戸義, 1.1, 63, -10,   8, 6, 27.9, ⑨⑧, 8,16,Ｇイｰグルカザン, 79,荻野琢, 0.7, 74,  -4,  16,10, 50.5, ⑫⑫
