15年 4月12日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 4月12日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 7R  芝1600m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝1600m 4歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,隅田川特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｆユッコ, 53,三浦皇,, 61,* -7,*  5, 3,  6.7,②①①, 1, 5,Ｇシゲルハダカマツリ, 56,蛯名正,, 57,*  2,   2, 4,  9.3, ②②, 1, 5,Ｉロジプリンセス, 66,内田博,, 76,   7,  11, 6, 15.1,⑤⑤⑥, 1, 7,Ｃサクラダムｰル, 79,勝浦正,, 79,  -1,* 21, 1,  3.5,⑬⑬⑬
 2, 5,Ｃファストクリス, 59,武士沢, 0.3, 59, -10,*  9, 7, 29.3,⑮⑪⑧, 2, 4,Ｂグランアラミス, 63,大野拓, 0.0, 58,*  2,   2, 1,  2.5, ①①, 2,15,Ｄイントロダクション, 72,蛯名正, 0.0, 78,   6,  13, 2,  5.0,⑧⑦⑦, 2, 3,Ｇマリｰズケイ, 75,石川裕, 0.1, 77,   3,  13, 4,  7.7,⑩⑨⑩
 3, 6,Ｂマカワオクイｰン, 60,蛯名正, 0.9, 54,  -9,   1, 1,  1.6,③⑥⑤, 3,11,Ｃウサギノカケアシ, 60,江田照, 0.0, 57,  -3,   7, 6, 13.5, ⑧⑧, 3,12,Ｆサクラディソｰル, 71,藤田伸, 0.0, 76,   8,  10, 4,  7.3,⑥⑥⑤, 3,12,Ｉヘイジｰムｰン, 74,三浦皇, 0.3, 75,   3,  10, 3,  4.7,⑨⑩⑨
 4,15,Ｇダイヤモンドバブル, 52,大野拓, 1.2, 51,* -8,  -4, 4,  8.4,④②②, 4,13,Ａヒカリピオニｰ, 66,三浦皇, 0.2, 56,*  0,   2, 2,  3.3, ③③, 4,11,Ｊツクバアスナロ, 65,田中勝, 0.2, 77,   0,* 20, 7, 18.1,⑭⑭⑬, 4, 4,Ｂコスモエルデスト, 80,蛯名正, 0.3, 74,  12,  -5, 2,  4.3,①④③
 5, 2,Ｄテップシｰ, 55,内田博, 1.4, 50,  -9,  -2, 6, 23.4,⑪⑨⑦, 5,16,Ｍラストシンデレラ, 36,荻野琢, 0.2, 55,  -7,   8,11, 64.6, ⑨⑩, 5, 2,Ｃチョコレｰトバイン, 72,石川裕, 0.2, 74,   3,* 16, 1,  2.9,⑪⑪⑫, 5, 2,Ｈロｰズマンブリッジ, 75,大野拓, 0.3, 73,   7,   1, 6, 14.9,⑦⑦⑥
 6,14,Ｅアサヒノマッチ, 54,石川裕, 1.7, 50, -10,  -5, 5, 11.2,⑧⑧⑩, 6,15,Ｄジェロニモ, 59,木幡初, 0.3, 56,  -1,   2, 5, 11.3, ⑥④, 6, 6,Ｍマリｰナベイ, 63,秋山真, 0.3, 73,   2,* 17,11, 36.0,⑮⑫⑪, 6, 8,Ａシニョリｰナ, 81,江田照, 0.4, 71,   6,   4,10, 26.2,⑧⑧⑧
 7, 7,Ｊアフェクトダンサｰ, 50,村田一, 1.7, 48, -10,  -3, 8, 46.0,⑦⑩⑨, 7, 7,Ｅイアペトス, 57,内田博, 0.3, 55,  -1,   2, 3,  8.0, ⑤⑥, 7,13,Ｂポップジェムズ, 73,江田照, 0.5, 68,   5,   8, 8, 20.2,⑦⑩⑨, 7,11,Ｌニシノミチシルベ, 69,村田一, 0.4, 74,   2,  11, 9, 25.4,⑪⑫⑫
 8,16,Ｍスタｰフィッシュ, 43,江田照, 1.7, 47,* -8,  -7,11,132.6,⑥④③, 8,10,Ｆレベニュｰ, 57,田中勝, 0.4, 55,  -9,   8, 9, 34.5, ⑩⑨, 8, 1,Ｇマイネプレセア, 69,柴田未, 0.5, 70,   6,   7,10, 31.9,⑨⑧⑧, 8, 1,Ｊナムラショウリ, 74,国分優, 0.4, 75,  -2,* 17,13,125.0,⑭⑭⑭
 9, 1,Ａグランデクオｰレ, 60,勝浦正, 1.9, 47, -10,  -4, 2,  6.1,⑬⑫⑬, 9, 9,Ｊプラセンタ, 51,石川裕, 0.4, 55,  -2,   2, 7, 16.8, ⑦⑦, 9, 7,Ｈコウヨウマリア, 68,大野拓, 0.7, 64,* 19, -19,13, 56.1,②②②, 9, 6,Ｅシｰギリヤガｰル, 77,柴田未, 0.5, 70,  10,  -6,11, 57.6,③⑤⑤
