15年11月23日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年11月23日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 4R  ダ1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1600m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝1400m 3歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,鷹巣山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12,12,Ｇフジエンジェル, 46,小島太, 2.9, 33,  -8, -18,11, 70.7, ⑧⑨,12, 2, アポロゴｰルド,---,吉田豊, 3.7, 36, -10, -17, 7, 21.3, ④③,12,12,Ｎユｰガッタフレンド, 64,木幡初, 1.4, 66,  -2,   5,14,396.0, ⑨⑩,12,17,Ｒフェブノヘア, 69,石橋脩, 1.0, 72,   2,  -3,17,118.3, ④⑥
13, 4,Ｏヒメユリハｰト, 19,柴田善, 3.2, 30,  -8, -21,14,318.2, ⑨⑦,13, 7, タイセイスグル,---,戸崎圭, 3.7, 37,* -8, -20, 8, 27.8, ①①,13,16,Ｊジュガンティｰヤ, 68,横山和, 1.4, 66,   0,   1,10, 65.9, ⑧④,13,11,Ｌタイセイララバイ, 74,ムｰア, 1.0, 72,   1,  -1, 9, 19.5, ⑪⑨
14, 5,Ｍドゥｰアｰル, 24,北村宏, 3.4, 29, -16, -13, 8, 46.7, ⑬⑭,14,13, モエイズル,---,古川吉, 5.3, 29, -16, -19,12, 41.6, ⑫⑭,14, 1,Ｆヒラボクカイザｰ, 71,北村宏, 1.6, 65,  -1,   2, 3, 12.3, ⑤⑧,14, 9,Ａネオヴィクトリア, 79,デムｰ, 1.1, 69,   2,  -5, 7, 13.4, ③⑤
15, 7,Ｈニシノラック, 41,伴啓太, 5.9, 13, -27, -18,15,339.9, ⑮⑮,,,,,,,,,,,,,15, 2,Ｏカンタベリｰバロン, 60,野中悠, 3.5, 51,  -4,  -9,16,464.3, ⑬⑬,15,10,Ｂセトノフラッパｰ, 77,古川吉, 1.3, 68,   0,  -3,12, 30.5, ⑧⑪
,,,,,,,,,,,,,,,,,,,,,,,,16, 3,Ｐルｰナヴェント, 38,柴山雄, 4.1, 45,  -1, -21,15,445.3, ②⑤,16,12,Ｍゴｰルドシャンティ, 73,丸山元, 1.5, 66,   1,  -7,13, 35.4, ⑥⑧
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17, 6,Ｄレオフラッパｰ, 75,横山典, 1.6, 68,  -9,   5,14, 35.7, ⑱⑱
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,16,Ｊサンマルホウセキ, 74,武豊  , 2.0, 60,  -4,  -7,15, 61.0, ⑰⑮
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:3),,,,,,,,,,,
単勝:240円 複勝:09=110円 15=120円 11=150円 枠連:320円,,,,,,,,,,,,"単勝:930円 複勝:08=310円 12=210円 11=370円 枠連:1,400円",,,,,,,,,,,,"単勝:150円 複勝:08=110円 07=530円 06=270円 枠連:2,170円",,,,,,,,,,,,"単勝:1,730円 複勝:05=530円 02=200円 03=310円 枠連:1,980円",,,,,,,,,,,
馬連:350円 ワイド:09-15=160円 09-11=280円 11-15=430円,,,,,,,,,,,,"馬連:3,160円 ワイド:08-12=950円 08-11=1,810円 11-12=1,150円",,,,,,,,,,,,"馬連:2,000円 ワイド:07-08=910円 06-08=410円 06-07=3,410円",,,,,,,,,,,,"馬連:4,090円 ワイド:02-05=1,560円 03-05=2,480円 02-03=1,120円",,,,,,,,,,,
