15年 3月28日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 3月28日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝3000m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1900m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■10R  芝2200m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,大寒桜賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｄタマノベレッツァ, 54,小崎綾,, 55, -11,*  5, 6, 12.4,③④④, 1, 6, タナトス,,白浜雄,,,,, 4,  8.6,⑥④③, 1, 5,Ｉメイショウビザン, 69,丸田恭,, 78,*  5,* 13, 3,  5.2,①①①, 1, 2,Ａタンタアレグリア, 78,吉田隼,, 72,   9,* 15, 2,  3.8,⑥⑥⑦
 2, 7, サトノシャルマン,---,松田大, 0.0, 55,*-10,*  3, 1,  3.5,④③③, 2,12, タッチドヘヴンリｰ,,北沢伸,197.4,,,, 1,  3.3,③②②, 2,10,Ｄステｰジジャンプ, 75,松田大, 0.4, 76,*  5,  10, 4,  7.1,②②②, 2, 3,Ｂレントラｰ, 72,北村友, 0.1, 71,   9,  11, 4,  6.1,⑤⑤⑤
 3, 8,Ｆユッコ, 49,吉田隼, 0.5, 50, -13,*  3, 3,  5.1,⑧⑧⑦, 3, 7, グリｰティングワン,,上野翔,198.2,,,,11, 79.7,⑦⑥⑥, 3, 2,Ｂウェルウィッチア, 77,吉田隼, 1.0, 72,   3,  10, 5, 10.4,⑨⑦⑦, 3, 9,Ｈブランドベルグ, 55,松田大, 0.2, 70,  11,   5, 1,  2.6,③③③
 4, 9,Ａタイキアデリナ, 62,国分恭, 0.6, 52, -14,*  4, 2,  3.6,⑩⑫⑫, 4,11, コスモカンタｰビレ,,草野太,199.0,,,, 5, 12.2,⑫⑪⑨, 4, 6,Ａストロベリｰキング, 80,高倉稜, 1.3, 75,   2,   9, 1,  2.7,⑫⑫⑫, 4, 4,Ｅレトロロック, 66,菱田裕, 0.3, 68,* 12,   2, 5,  6.8,②②②
 5,13,Ｇモンドリュミエｰル, 48,高倉稜, 0.6, 54, -11,   0, 9, 30.4,⑦⑥⑥, 5, 1, ホトトヤエ,,五十嵐,199.5,,,,13, 97.0,②③⑤, 5, 4,Ｇチュウワストライク, 71,荻野琢, 1.3, 71,   4,   5, 8, 28.9,③④⑤, 5, 6,Ｃラウレアブルｰム, 68,松若風, 0.3, 69,   9,   9, 3,  5.9,⑧⑧⑥
 6, 6, メイショウソウソウ,---,中村将, 0.9, 50, -13,   2, 4,  8.3,⑪⑩⑩, 6,14, メイショウゼロセン,,熊沢重,199.6,,,, 3,  5.8,①①①, 6, 1,Ｈレイズオブザサン, 70,川須栄, 1.6, 72,   2,   7, 7, 25.3,⑧⑩⑥, 6, 5,Ｄドリｰムチェイサｰ, 66,高倉稜, 0.6, 68,   8,   8, 8, 36.4,⑦⑦⑧
 7,16,Ｅカゼニモマケズ, 49,勝浦正, 0.9, 49, -12,   0,11,130.6,⑨⑨⑨, 7,13, テイエムボッケモン,,黒岩悠,199.9,,,, 8, 17.0,⑤⑤④, 7, 3,Ｃトウカイストリｰム, 76,北村友, 2.0, 65,   4,  -1, 2,  3.8,⑤⑤③, 7,10,Ｆメイショウリンクス, 60,勝浦正, 0.9, 63,   7,   6, 7, 34.5,⑨⑨⑩
 8,10,Ｉソニック, 47,井上敏, 1.1, 50, -13,   0,13,160.5,⑬⑪⑪, 8, 2, タガノナパヴァレｰ,,中村将,200.1,,,, 9, 25.1,⑪⑩⑪, 8, 8,Ｆアサクサニッポン, 72,加藤祥, 2.4, 64,   3,  -1,11, 39.1,⑩⑨⑩, 8, 1,Ｇレッドアルティスタ, 55,丸山元, 1.2, 60,  11,  -6, 6, 18.0,④④④
 9, 5,Ｃキトラ, 55,義英真, 1.5, 42,*-10, -11, 8, 17.8,②②②, 9, 8, キｰプトライン,,原田和,200.2,,,, 6, 12.5,⑧⑧⑧, 9,12,Ｋトラヴィス, 61,藤懸貴, 2.4, 64,*  5,  -6,10, 38.5,④③④, 9, 8,Ｉアイオシルケン, 54,川須栄, 1.4, 57,* 12, -15, 9, 45.3,①①①
10, 2,Ｊサクラティンクル, 46,中谷雄, 1.6, 42,*-10, -11, 7, 12.4,①①①,10, 4, ウルトラサウンド,,浜野谷,200.3,,,,10, 38.6,⑩⑫⑫,10, 7,Ｅモンテエクリプス, 74,小崎綾, 2.6, 63,   2,  -2, 6, 20.8,⑪⑪⑧,10, 7,Ｊセルリアンコスモ, 53,小崎綾, 2.4, 49,   8, -16,10,145.7,⑩⑩⑨
11, 4,Ｈモアザンワｰズ, 48,鮫島克, 1.8, 42, -11, -10,15,207.6,⑤⑤⑤,11, 3, サウンドビガレス,,植野貴,200.3,,,, 2,  3.7,④⑦⑦,11, 9,Ｊベストヴィジョン, 66,黛弘人, 3.3, 58,   3,  -9,12,132.6,⑥⑧⑪,,,,,,,,,,,,
12,12,Ｂデュｰイハミテｰジ, 56,加藤祥, 1.9, 41, -12, -11, 5, 11.7,⑥⑦⑧,12, 5, カワキタバルク,,小野寺,200.6,,,,14,109.0,⑨⑨⑩,12,11,Ｌアドマイヤアｰス, 60,丸山元, 4.3, 52,   5, -21, 9, 36.6,⑦⑥⑨,,,,,,,,,,,,
13, 1,Ｍトワノキラメキ, 36,西田雄, 2.0, 45, -16,  -3,10, 98.3,⑯⑮⑭,13, 9, マツリダジャパン,,金子光,201.1,,,,12, 96.8,⑬⑬⑬,,,,,,,,,,,,,,,,,,,,,,,,
14,11,Ｌサルビア, 38,伴啓太, 2.9, 35, -14, -13,16,240.6,⑭⑬⑬,14,10, タガノラルフ,,高田潤,205.3,,,, 7, 15.2,⑭⑭⑭,,,,,,,,,,,,,,,,,,,,,,,,
15,14,Ｎスペシャルヴォｰグ, 33,丸田恭, 4.4, 25, -14, -26,14,164.5,⑮⑭⑮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,15,Ｋデルマオイラン, 43,川須栄, 8.2,  0, -16, -55,12,143.2,⑫⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-14 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:1),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:1),,,,,,,,,,,
"単勝:1,240円 複勝:03=210円 07=150円 08=290円 枠連:1,240円",,,,,,,,,,,,"単勝:860円 複勝:06=270円 12=160円 07=990円 枠連:1,380円",,,,,,,,,,,,単勝:520円 複勝:05=190円 10=190円 02=270円 枠連:610円,,,,,,,,,,,,"単勝:380円 複勝:02=120円 03=150円 09=130円 枠連:1,140円",,,,,,,,,,,
"馬連:1,830円 ワイド:03-07=670円 03-08=1,150円 07-08=1,090円",,,,,,,,,,,,"馬連:1,650円 ワイド:06-12=620円 06-07=8,890円 07-12=3,410円",,,,,,,,,,,,"馬連:1,820円 ワイド:05-10=650円 02-05=1,170円 02-10=1,080円",,,,,,,,,,,,"馬連:1,010円 ワイド:02-03=280円 02-09=230円 03-09=370円",,,,,,,,,,,
"馬単:4,270円 3連複:7,640円 3連単:48,260円",,,,,,,,,,,,"馬単:3,870円 3連複:32,050円 3連単:166,240円",,,,,,,,,,,,"馬単:3,760円 3連複:6,450円 3連単:31,440円",,,,,,,,,,,,"馬単:1,960円 3連複:820円 3連単:6,190円",,,,,,,,,,,
■ 2R  ダ1400m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 5R  芝3000m 4歳上未勝利 定量,,,,,,,,,,,,■ 8R  芝1200m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■11R  芝2200m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,名鉄杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
