15年 3月29日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 3月29日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 7R  芝2000m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■10R  芝2200m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,名古屋城ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｇハクサンエルモ, 54,酒井学,, 60,  -9,*  5, 6, 11.0, ⑦⑥, 1,16,Ａラブアポロン, 67,北村友,, 76, -13,* 24, 3,  6.8,⑬⑫⑭, 1,14,Ｂビップレボルシオン, 77,浜中俊,, 77,   5,* 15, 3,  4.8,⑭⑩⑨, 1, 8,Ｆリベルタス, 76,デムｰ,, 83,* 11,*  7, 5,  8.0,⑨⑤④
 2,11,Ｊイッツマイン, 47,北村友, 0.1, 57,* -6,   0, 8, 28.2, ①①, 2,12,Ｆスズカプレスト, 55,藤岡康, 0.3, 65,* -8,   6,11, 33.2,②①①, 2,13,Ｉアドマイヤコウベ, 65,岩田康, 0.2, 75,   5,* 11, 6, 12.9,⑫⑦⑧, 2, 7,Ｅベルニｰニ, 78,菱田裕, 0.2, 82,  10,*  7, 7, 15.1,⑪⑩⑥
 3,13,Ｂプリュクベル, 62,藤岡康, 0.3, 55,* -7,  -1, 4,  9.3, ②③, 3,13,Ｊシグナルアロｰ, 52,嶋田純, 0.3, 65,* -8,   7, 7, 12.4,④②②, 3, 4,Ａクリｰルハヤテ, 78,池添謙, 0.8, 67,* 10,  -6, 2,  4.8,④③③, 3, 9,Ｂトｰホウストロング, 80,戸崎圭, 0.5, 79,   8,*  7,10, 25.4,⑩⑨⑪
 4, 8,Ｃリリｰグランツ, 61,岩田康, 0.4, 56,  -8,   0, 1,  2.1, ④⑤, 4, 4,Ｅエッケザックス, 58,デムｰ, 0.4, 70, -13,* 17, 2,  4.8,⑪⑪⑩, 4,12,Ｇヴァルコイネン, 67,パｰト, 0.9, 69,   6,   1, 4,  5.9,⑧⑥⑦, 4,10,Ｇタイセイドリｰム, 74,浜中俊, 0.7, 75,* 11,  -3, 4,  6.6,⑧③③
 5,15,Ｅヌｰベルバｰグパリ, 57,伴啓太, 0.7, 52, -14,*  3, 7, 19.6, ⑭⑮, 5,15,Ｃビセックスタイル, 60,武豊  , 0.4, 65,*-11,  10, 5, 10.1,③⑤④, 5, 9,Ｈロｰリングストｰン, 67,丸田恭, 0.9, 68,   4,   4,13,102.4,⑬⑫⑫, 5, 5,Ａシャドウパｰティｰ, 82,パｰト, 0.8, 75,  10,  -2, 3,  4.9,⑥⑦⑤
 6, 4,Ａメイショウフライキ, 65,武豊  , 0.8, 51, -11,   0, 3,  7.1, ⑧⑧, 6, 5,Ｄエスティエッキｰ, 58,松岡正, 0.5, 66,*-10,   9, 6, 10.8,⑤③⑤, 6,11,Ｌレッドクラｰケン, 60,酒井学, 1.0, 65,* 12, -16, 8, 23.3,①①①, 6, 4,Ｊリメインサイレント, 68,福永祐, 0.9, 73,* 11,  -7, 8, 15.9,①①①
 7,14,Ｐマケナイデ, 30,菱田裕, 0.9, 51,* -8,  -5,10, 54.1, ⑤④, 7, 6,Ｇチョｰハッピｰ, 54,荻野琢, 0.5, 67, -14,* 15,10, 32.6,⑧⑧⑪, 7, 7,Ｅスペランツァデｰア, 70,デムｰ, 1.2, 67,   4,   2, 5,  7.8,⑨⑪⑩, 7, 2,Ｄスズカヴァンガｰド, 79,西田雄, 1.0, 74,  10,  -3, 1,  4.6,⑦⑧⑧
 8, 5,Ｈパスレル, 53,西田雄, 1.1, 51, -15,   0, 9, 45.2, ⑬⑭, 8, 3,Ｂウイングジャパン, 60,戸崎圭, 0.5, 65, -12,  11, 1,  3.3,⑦⑥⑦, 8, 2,Ｆセイクリッドロｰド, 68,松岡正, 1.2, 64,* 11, -16, 7, 17.0,②②②, 8, 3,Ｉハピネスダンサｰ, 71,藤岡康, 1.2, 72,   8,  -3, 2,  4.8,⑤⑪⑩
 9, 6,Ｄクランデｰル, 58,デムｰ, 1.1, 49,* -8,  -7, 5, 10.4, ③②, 9, 2,Ｈカスクストレングス, 53,吉田隼, 0.7, 61, -12,   8, 4,  9.5,⑨⑦⑥, 9,10,Ｋオウエイバスタｰ, 61,田中博, 1.4, 64,   4,  -3,11, 62.9,⑩⑨⑪, 9, 1,Ｈシャンパｰニュ, 72,岩田康, 1.7, 67,  10, -13, 6,  9.0,③⑥⑦
10, 2,Ｋシャインワンハｰト, 46,井上敏, 1.5, 46, -13,  -5,16,276.8, ⑨⑩,10, 8,Ｉサンライズステラ, 53,浜中俊, 1.0, 62, -13,  10, 9, 22.9,⑫⑮⑬,10, 8,Ｄカレンヴィットリア, 72,戸崎圭, 1.5, 61,   7, -10, 1,  3.8,⑦④④,10,11,Ｋコモノドラゴン, 50,吉田隼, 2.0, 64,   8, -14,11, 44.7,②④⑨
11, 3,Ｆコウエイラブリｰ, 55,戸崎圭, 1.6, 45, -12,  -7, 2,  5.3, ⑩⑪,11,18, ラッキｰマインド,---,岩田康, 1.1, 62, -16,  12, 8, 16.5,⑮⑯⑯,11, 3,Ｃメイショウグレア, 73,加藤祥, 1.7, 61,   6,  -8,12, 66.1,⑤⑧⑥,11, 6,Ｃタガノレイヨネ, 80,酒井学, 2.3, 62,* 11, -26, 9, 19.6,④②②
12,16,Ｎアイケｰビュｰティ, 41,丸田恭, 1.6, 44, -17,  -2,13,184.9, ⑯⑯,12, 9,Ｎダイゴサクラ, 31,伴啓太, 1.3, 56, -12,   3,14,118.3,⑥⑨⑧,12, 5,Ｎタイセイジュピタｰ, 52,吉田隼, 2.7, 49,   5, -24,10, 35.2,⑥⑤⑤,,,,,,,,,,,,
13, 1,Ｌボｰベルレｰヌ, 46,加藤祥, 1.6, 45, -11,  -9,14,227.9, ⑥⑦,13,10, ゼットジョイ,---,酒井学, 1.4, 57, -13,   4,13, 80.5,⑯⑬⑫,13, 6,Ｍスリｰデｰモン, 56,井上敏, 3.4, 46,  -2, -16,14,215.7,⑪⑬⑬,,,,,,,,,,,,
14,10,Ｉグロｰバルスタｰ, 49,国分優, 2.0, 42, -16,  -5,11,111.8, ⑮⑫,14, 1,Ｍロングフェニックス, 38,菱田裕, 1.5, 56, -15,   4,12, 49.1,⑭⑭⑮,,,,,,,,,,,,,,,,,,,,,,,,
15, 9,Ｍメテオユニバンス, 42,松岡正, 2.4, 37, -13, -13,12,125.2, ⑪⑨,15,14,Ｋコスモエルドｰル, 50,丸田恭, 1.5, 55, -11,   1,16,137.6,⑩⑩⑨,,,,,,,,,,,,,,,,,,,,,,,,
16, 7,Ｏオレンジガｰネット, 40,吉田隼, 2.4, 38, -13, -11,15,267.9, ⑫⑬,16,17,Ｐクリスタルシップ, 11,井上敏, 2.0, 45,*-11, -13,18,335.7,①④③,,,,,,,,,,,,,,,,,,,,,,,,
