15年10月12日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年10月12日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 4R  ダ1300m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝2400m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,ｵｸﾄｰﾊﾞｰｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12,10,Ｉロｰドディロング, 37,野中悠, 1.8, 37,  -6, -16,16,301.2, ⑪⑫,12,13, タイトルラッシュ,---,松岡正, 2.2, 31, -17, -16, 7, 21.4, ⑩⑨,12,16,Ｏトｰセンジャステス, 62,菅原隆, 1.1, 64,   8,  -8,13,117.4,⑩⑩⑩,,,,,,,,,,,,
13,13,Ｃミライヘノサイン, 51,吉田隼, 1.8, 37,  -2, -21, 5,  8.1, ⑥⑥,13,12, ネコパワｰ,---,嘉藤貴, 2.7, 26, -16, -22,10, 37.1, ⑥⑦,13, 6,Ｐマイネルシェルト, 59,柴田大, 1.3, 63,* 15, -25, 9, 22.3,①①①,,,,,,,,,,,,
14, 7,Ｈクリンクリン, 38,勝浦正, 1.9, 36,  -3, -21, 9, 35.6, ④④,14, 4, キャンディバルｰン,---,勝浦正, 3.3, 22, -15, -28,15,108.4, ④④,14, 8,Ｉマンインザムｰン, 68,北村宏, 1.3, 61,* 13, -24, 4,  7.8,③②②,,,,,,,,,,,,
15,16,Ｇウインプリマ, 39,井上敏, 2.0, 35,* -1, -24,13,123.4, ②②,15,11, ゴｰルドオｰケｰ,---,井上敏, 3.9, 19, -29, -15,16,155.6, ⑯⑯,15, 2,Ｌネオヴァロン, 63,木幡初, 1.5, 59,   9, -18,16,192.0,⑤⑤⑤,,,,,,,,,,,,
16, 8,Ｋチェリｰトレジャｰ, 36,丸山元, 2.6, 31,  -6, -22,12,115.9, ⑩⑪,16, 3, カヤドｰメジャｰ,---,石川裕, 4.3, 15,*-14, -39,11, 37.5, ②②,16, 3,Ｎニシノカブケ, 63,江田照, 1.8, 57,   4,  -9,15,139.0,⑰⑰⑮,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,17,15,Ｑウップスアデイジイ, 51,柴田善, 1.9, 54,* 12, -30,14,128.5,④④④,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-15 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:83 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:0),,,,,,,,,,,
"単勝:460円 複勝:09=160円 11=160円 14=1,410円 枠連:710円",,,,,,,,,,,,"単勝:2,450円 複勝:16=440円 02=130円 08=170円 枠連:2,060円",,,,,,,,,,,,"単勝:870円 複勝:04=260円 12=280円 13=240円 枠連:5,790円",,,,,,,,,,,,単勝:200円 複勝:03=130円 07=370円 01=180円 枠連:930円,,,,,,,,,,,
"馬連:870円 ワイド:09-11=380円 09-14=5,260円 11-14=4,950円",,,,,,,,,,,,"馬連:3,260円 ワイド:02-16=1,180円 08-16=1,740円 02-08=290円",,,,,,,,,,,,"馬連:5,120円 ワイド:04-12=1,220円 04-13=940円 12-13=1,210円",,,,,,,,,,,,"馬連:2,490円 ワイド:03-07=760円 01-03=280円 01-07=1,290円",,,,,,,,,,,
"馬単:1,880円 3連複:24,780円 3連単:110,640円",,,,,,,,,,,,"馬単:9,670円 3連複:4,490円 3連単:45,570円",,,,,,,,,,,,"馬単:11,090円 3連複:10,270円 3連単:72,180円",,,,,,,,,,,,"馬単:2,740円 3連複:3,140円 3連単:14,700円",,,,,,,,,,,
■ 2R  芝1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 5R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■11R  ダ1400m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,ｸﾞﾘｰﾝﾁｬﾝﾈﾙｶｯﾌﾟ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
