15年 9月12日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 9月12日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  芝2880m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■10R  ダ1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鋸山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ａキｰロフ, 58,西田雄,, 54,   1,*  0, 2, 11.9, ⑤④, 1,10, マックスロノ,,金子光,,,,, 9, 33.1,③②②, 1,15,Ｅロｰドシャリオ, 73,田辺裕,, 69,*  7,   6, 4,  4.9,②①①, 1,13,Ｌセンチュリオン, 74,ルメｰ,, 80,*  5,  17, 2,  3.7,③③③
 2, 5,Ｂシェアｰド, 56,木幡初, 0.4, 52,*  4,  -6, 1,  1.2, ③③, 2, 2, エルインペレイタｰ,,浜野谷,195.9,,,, 3,  5.0,①①①, 2, 4,Ｉマイネルネッツ, 68,嘉藤貴, 0.4, 68,   6,   6, 9, 50.9,⑤⑤②, 2,12,Ｃゴｰイングベル, 80,木幡初, 0.1, 79,*  5,  16, 5, 11.1,②②②
 3, 1,Ｆアルセナｰレ, 42,大野拓, 0.5, 50,*  4,  -8, 5, 18.1, ①①, 3, 6, ビッグプレゼンタｰ,,小野寺,196.1,,,, 2,  3.2,⑦③③, 3,11,Ａゴｰルドリｰガル, 75,戸崎圭, 0.4, 69,   7,   6, 2,  4.0,⑧⑦⑦, 3, 3,Ａリッカルド, 82,大野拓, 0.4, 77,   5,  15, 1,  2.5,⑧⑤⑤
 4,14,Ｉプレミアムデス, 39,柴田大, 1.3, 42,  -5,  -5, 9, 61.1, ⑧⑧, 4, 9, タピエス,,難波剛,197.3,,,, 1,  2.6,⑥⑥⑤, 4, 3,Ｊエリオットベイ, 66,ルメｰ, 0.4, 69,   6,   5, 3,  4.0,⑦⑥④, 4, 8,Ｄダイワバロニス, 78,蛯名正, 0.5, 79,   0,* 23, 8, 21.3,⑫⑫⑪
 5,11,Ｄシゲルクロダイ, 45,吉田豊, 1.4, 37, -10,* -3, 4, 14.3, ⑪⑩, 5, 7, ラノララク,,江田勇,197.9,,,, 6, 22.2,②④④, 5, 6,Ｃポルトボナｰル, 75,木幡初, 0.4, 69,   3,* 11, 5, 15.2,⑫⑫⑩, 5, 4,Ｆモルダバイト, 77,吉田隼, 0.7, 73,*  6,  10, 7, 20.3,①①①
 6, 9,Ｏオリエンタルイギｰ, 17,長岡禎, 1.4, 38,  -5,  -7,14,164.6, ⑦⑦, 6,11, マイケルチョウサン,,高野和,198.5,,,, 7, 28.1,④⑤⑥, 6,13,Ｆアンリキャトル, 72,北村宏, 0.6, 69,   6,   5, 7, 22.0,⑪⑧⑧, 6, 7,Ｈニシノゲンキマル, 76,吉田豊, 0.9, 72,   3,  14,11,151.2,⑪⑩⑩
 7, 4,Ｊタマモシルクハット, 35,勝浦正, 1.5, 41,*  4, -17, 8, 56.6, ②②, 7, 8, キｰアイテム,,石神深,198.7,,,, 4,  8.5,⑪⑩⑩, 7,14,Ｈデモクラシｰ, 69,江田照, 0.7, 66,   4,*  8,13,165.1,⑬⑪⑪, 7, 9,Ｅノッキングオン, 77,丸山元, 0.9, 75,   4,  13,12,156.1,⑨⑧⑧
 8,10,Ｅノアシャトル, 45,内田博, 1.6, 39,   0, -14, 3, 14.2, ⑥⑤, 8, 4, マコトダッソｰ,,上野翔,198.9,,,,10, 41.0,⑤⑦⑦, 8,10,Ｄパイロキネシスト, 74,内田博, 1.0, 64,   6,   0, 1,  3.6,⑥④⑥, 8, 2,Ｍマイネルマルシェ, 74,柴田大, 0.9, 75,   3,  15,13,253.5,⑦⑨⑦
