15年 3月 7日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 3月 7日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  ダ1200m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1200m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■10R  芝1800m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,ｽﾋﾟｶｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12, 4,Ｊシャンディキｰル, 41,勝浦正, 2.0, 39, -13,  -7,16,236.8,⑭⑭⑮,12,11, デルマオイラン,---,大庭和, 2.3, 41, -10, -12,14, 96.0, ⑩⑩,12, 2,Ｈヒラボクボｰノ, 63,菱田裕, 0.9, 60,  -5,   8, 9, 42.1, ⑬⑬,,,,,,,,,,,,
13, 7,Ｍトｰセンワルツ, 39,武士沢, 2.1, 37, -10, -15,13,126.2,⑥⑥⑥,13, 4, サンモンロｰ,---,村田一, 2.6, 39,  -9, -15,11, 46.6, ⑦⑧,13, 6,Ｆオリエンタルエジル, 64,伴啓太, 0.9, 59,  -3,   6,16,203.5, ⑪⑩,,,,,,,,,,,,
14,16,Ｌサルビア, 39,柴田大, 2.9, 35, -12, -16,14,189.7,⑪⑬⑭,14,14, スリｰコンサｰト,---,吉田隼, 2.9, 34, -10, -18,10, 46.3, ⑨⑫,14, 9,Ａラヴァｰサクラ, 73,柴山雄, 1.4, 54,*  7,  -8, 1,  4.9, ②③,,,,,,,,,,,,
15,10,Ｈルｰルブルｰ, 47,伴啓太, 3.1, 31,* -8, -26, 4, 11.1,①①①,15,13, ゴｰルドバｰン,---,藤田伸, 3.3, 32, -28,  -4,12, 82.0, ⑮⑮,15,11,Ｊコｰトリｰラッシュ, 63,長岡禎, 1.9, 52,   1,  -6,15,173.1, ⑨⑨,,,,,,,,,,,,
16,11,Ｐナカヤマウインディ, 16,大野拓, 7.6,  2, -14, -53, 9, 49.4,⑬⑮⑯,16, 7, アメニモマケズ,---,伴啓太, 8.5,-15, -40, -39,16,173.8, ⑯⑯,16, 1,Ｐリックバナｰド, 46,石川裕, 1.9, 51,   3,  -8,14, 99.9, ⑥⑥,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-13 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:82 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:稍重(指数:6),,,,,,,,,,,
単勝:590円 複勝:03=220円 09=150円 14=550円 枠連:880円,,,,,,,,,,,,"単勝:580円 複勝:09=190円 10=2,550円 16=170円 枠連:28,150円",,,,,,,,,,,,"単勝:1,920円 複勝:10=560円 12=250円 08=300円 枠連:1,610円",,,,,,,,,,,,単勝:150円 複勝:01=110円 11=150円 06=230円 枠連:340円,,,,,,,,,,,
"馬連:1,030円 ワイド:03-09=500円 03-14=2,350円 09-14=1,180円",,,,,,,,,,,,"馬連:37,350円 ワイド:09-10=10,250円 09-16=440円 10-16=6,770円",,,,,,,,,,,,"馬連:5,750円 ワイド:10-12=1,550円 08-10=2,240円 08-12=1,730円",,,,,,,,,,,,馬連:450円 ワイド:01-11=230円 01-06=450円 06-11=780円,,,,,,,,,,,
