15年 8月 8日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 8月 8日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝2850m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝2200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,阿賀野川特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ａプランスシャルマン, 71,岩田康,, 51,  -8,* -5, 1,  1.1, ③③, 1, 8, マイネルピクトル,,五十嵐,,,,, 3,  8.1,①①①, 1,16,Ｂタイタニウム, 62,デムｰ,, 73,  -6,* 19, 2,  3.8,⑧⑤⑤, 1, 3,Ｆショウナンバッハ, 76,田辺裕,, 82,   7,* 21, 8, 24.0,⑩⑩⑩
 2, 3,Ｃマイネルツィｰル, 46,柴田大, 0.6, 45,  -9, -11, 3, 11.0, ⑥⑥, 2, 2, スマｰトリバティｰ,,白浜雄,184.4,,,, 1,  1.8,⑩⑩⑦, 2, 8,Ｃマコトギンスバｰグ, 61,吉田豊, 0.0, 77,  -8,* 23, 4,  7.1,⑨⑨⑧, 2, 4,Ｌシンボリジャズ, 72,的場勇, 0.2, 73,* 15,  -5, 9, 25.8,①①①
 3, 4,Ｆアンフィｰルド, 39,田辺裕, 0.6, 42,* -7, -17, 4, 19.2, ①①, 3, 9, ティリアンパｰプル,,山本康,184.5,,,, 2,  7.2,⑥④④, 3, 9,Ｎトワノキラメキ, 48,西田雄, 0.3, 66,* -5,  13,18,303.1,⑬⑥③, 3, 9,Ｈキングカラカウア, 75,デムｰ, 0.3, 73,  12,   2, 1,  2.3,⑤⑤⑤
 4, 8,Ｂオレオｰルカフェ, 54,内田博, 1.0, 39,  -8, -19, 2,  8.1, ④④, 4,13, ニジブルｰム,,小坂忠,184.5,,,, 4,  9.7,②②②, 4, 5,Ｄキｰフォｰサクセス, 61,内田博, 0.4, 66,* -5,   9, 1,  2.8,③③②, 4, 6,Ｋハッピｰモｰメント, 73,戸崎圭, 0.3, 74,  11,   5, 6, 15.3,⑥⑥⑥
 5, 2,Ｊデルマアツヒメ, 21,伴啓太, 1.0, 42, -12, -10,10,240.9, ⑨⑩, 5, 7, パスティ,,上野翔,184.6,,,,14,158.9,⑨⑥⑤, 5, 6,Ａクラウンジｰニアス, 65,柴田善, 0.7, 70, -12,* 21, 3,  7.1,⑰⑰⑰, 5,11,Ａロンギングゴｰルド, 81,蛯名正, 0.6, 78,   4,* 18, 4,  7.8,⑬⑭⑭
 6, 5,Ｈハｰモニｰゲイル, 30,石川裕, 1.1, 37, -11, -15, 8,218.9, ⑧⑧, 6, 4, ドクタｰルキア,,浜野谷,185.2,,,,11, 35.3,③③③, 6, 1,Ｋモンセラｰ, 52,江田照, 0.9, 57,* -5,   1,11, 62.2,②②④, 6, 1,Ｂサトノレオパｰド, 80,柴田善, 0.7, 68,* 13,  -9,11, 45.1,②③②
 7, 7,Ｇトウショウレイダｰ, 30,野中悠, 1.2, 35,* -7, -24, 7,209.6, ②②, 7, 5, トライアゲイン,,高野和,185.3,,,, 5, 11.8,⑦⑧⑨, 7,11,Ｉマイネルクレイモア, 54,岩田康, 0.9, 64,  -9,  13, 6, 15.5,⑪⑫⑬, 7, 7,Ｎナンヨｰケンゴｰ, 69,田中勝, 0.9, 74,   5,  11,16,126.8,⑪⑪⑫
 8, 9,Ｄコスモヴェッキオ, 40,嘉藤貴, 1.2, 38,  -9, -20, 5, 23.0, ⑤⑤, 8, 1, プレミアムウォｰズ,,小野寺,185.5,,,, 7, 27.2,⑭⑫⑩, 8,18,Ｅワンパクチョウサン, 57,蛯名正, 1.1, 65,  -9,  12, 5, 11.4,⑮⑭⑫, 8,16,Ｇディスキｰダンス, 75,内田博, 0.9, 72,   5,  10, 5, 12.6,⑯⑫⑪
 9, 1,Ｅクラウンホイｰル, 40,大野拓, 2.2, 26, -11, -30, 6, 48.2, ⑩⑨, 9,11, カシノデュｰク,,蓑島靖,185.6,,,,12, 49.8,⑧⑦⑧, 9,15,Ｌオメガプレイヤｰ, 52,田辺裕, 1.3, 63, -14,* 17, 7, 18.2,⑱⑱⑱, 9,15,Ｃグランドサッシュ, 78,岩田康, 1.0, 75,   3,* 18, 2,  5.6,⑮⑮⑮
10,10,Ｉパｰムハｰト, 22,武士沢, 2.4, 26, -10, -36, 9,237.7, ⑦⑦,10, 6, メテオｰロ,,金子光,186.0,,,,10, 32.4,⑪⑬⑫,10,14,Ｊスイｰトカリヨン, 53,伴啓太, 1.5, 58, -12,  10,16,188.6,⑯⑯⑯,10,13,Ｉエイダイポイント, 75,岩部純, 1.1, 73,   3,  15,13, 65.9,⑭⑯⑯
,,,,,,,,,,,,11,10, シゲルシモウサ,,草野太,186.8,,,, 8, 28.6,④⑤⑥,11, 7,Ｆコスモフィンセント, 56,柴田大, 1.6, 52,  -7,  -3, 9, 37.2,⑥⑦⑥,11, 2,Ｍマイネルテンクウ, 72,柴田大, 1.1, 67,  11,  -6,15,113.0,⑦⑦⑦
,,,,,,,,,,,,12, 3, ティｰエスハｰツ,,林満明,188.1,,,, 6, 18.6,⑫⑭⑬,12,12,Ｇコスモジョイジョイ, 55,石橋脩, 1.6, 54,  -8,  -1,12, 64.6,⑦⑩⑭,12,10,Ｏインパラトｰル, 67,松岡正, 1.3, 70,   4,   8, 7, 20.7,⑫⑬⑬
,,,,,,,,,,,,13,14, エｰスワン,,石神深,193.9,,,,13, 60.9,⑤⑨⑭,13,17,Ｐビッグチャンピオン, 38,松岡正, 1.8, 53,  -9,  -1,17,259.7,⑩⑪⑦,13, 8,Ｐザラストロ, 65,江田照, 1.3, 65,   9,  -5,14,111.4,⑧⑧⑧
,,,,,,,,,,,,,,,,,,,,,,,,14,13,Ｑマテンロウプリマ, 36,北村宏, 1.9, 52,  -9,  -1,14,160.9,⑫⑬⑪,14, 5,Ｄヘルデンテノｰル, 76,大野拓, 1.5, 66,   7,  -1,12, 61.8,⑨⑨⑨
,,,,,,,,,,,,,,,,,,,,,,,,15, 3,Ｍシゲルデンガク, 50,田中勝, 1.9, 46,* -3, -15,13, 84.0,①①①,15,14,Ｊエタンダｰル, 73,吉田豊, 1.7, 61,* 14, -25,10, 43.1,③②③
