15年 5月16日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 5月16日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝2890m 4歳上未勝利 定量,,,,,,,,,,,,■ 4R  芝3290m 4歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  ダ1200m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝2200m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,胎内川特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2, トウケイゴｰルド,,黒岩悠,,,,, 4, 11.7,⑨③③, 1,14, タマモプラネット,,小坂忠,,,,, 1,  2.4,①①①, 1, 4,Ｃラフィネシチｰ, 69,義英真,, 67,  -3,* 10, 1,  3.9, ⑩⑪, 1, 4,Ｈシンボリジャズ, 68,的場勇,, 74,*  1,*  8, 4,  7.3,②②②
 2, 1, ユｰルドゥｰ,,五十嵐,193.7,,,, 8, 38.6,④①①, 2, 7, オｰルアズワン,,北沢伸,216.2,,,, 9, 30.6,⑧⑤⑤, 2, 3,Ａヤマニンアタシャン, 70,木幡初, 0.5, 63,   1,   2, 3,  4.6, ⑤⑤, 2,11,Ｇキタサンキンボシ, 68,荻野琢, 0.2, 74,   0,* 11, 7, 11.4,④④④
 3, 4, ウインイルソｰレ,,石神深,193.8,,,, 2,  6.1,⑤⑤④, 3, 4, カシマシンセイ,,山本康,216.3,,,, 3,  5.2,⑥⑥⑥, 3, 1,Ｅミカルベウス, 68,吉田隼, 0.5, 62,*  5,  -3, 4,  8.8, ①①, 3, 5,Ｄレッドグルック, 70,津村明, 0.6, 70,  -2,*  8, 2,  5.3,⑤⑩⑨
 4, 6, アドマイヤバｰトン,,西谷誠,194.3,,,, 5, 12.8,⑩⑨⑦, 4,13, スマｰトリバティｰ,,中村将,216.6,,,, 4,  6.9,⑤④④, 4, 8,Ｈベストリｰダｰ, 66,黛弘人, 0.7, 61,*  4,  -3, 8, 21.0, ②②, 4, 6,Ｊマイネボニｰタ, 68,丹内祐, 0.6, 70,   0,   3, 3,  6.8,③③③
 5,12, ピタゴラスコンマ,,金子光,194.5,,,, 1,  1.6,⑧⑦⑤, 5, 6, リバｰタイキ,,平沢健,216.8,,,,10, 46.4,⑪⑧⑦, 5, 9,Ｊトウカイマインド, 65,的場勇, 0.8, 60,  -4,*  3, 5, 10.2, ⑫⑬, 5, 9,Ａゴｰルドメイン, 75,古川吉, 0.8, 68,  -2,   4, 5,  8.3,⑧⑦⑦
 6,10, コスモトゥルｰラヴ,,浜野谷,194.7,,,,10, 64.5,③②②, 6, 5, アグネスハイヤｰ,,田村太,217.4,,,,12, 57.1,⑩⑩⑪, 6, 2,Ｉエンジェルミディ, 65,丸山元, 0.8, 60,   1,  -2,10, 23.1, ③③, 6, 8,Ｅレインオｰバｰ, 69,丸山元, 0.9, 68,  -3,   6, 8, 16.3,⑨⑪⑩
 7, 3, トキノアイチヨ,,江田勇,195.2,,,, 7, 32.5,⑦⑥⑧, 7, 3, アムｰルクエスト,,植野貴,217.8,,,, 7, 20.0,⑨⑨⑨, 7, 5,Ｂスイｰトガｰデン, 70,松田大, 0.9, 59,  -2,   1, 2,  4.5, ⑨⑨, 7,10,Ｆヴァルコイネン, 69,勝浦正, 0.9, 65,   0,   0, 6, 11.0,⑪⑤⑤
 8, 9, スズカルｰセント,,北沢伸,196.2,,,, 6, 13.2,⑬⑫⑫, 8,11, ラッキｰストリｰク,,石神深,218.0,,,, 2,  5.1,②②②, 8,13,Ｇフレックスハｰト, 67,勝浦正, 1.0, 58,  -3,   1, 9, 21.6, ⑪⑩, 8, 1,Ｃステラストリｰム, 71,長岡禎, 1.0, 68,  -4,*  8,12, 40.8,⑬⑬⑫
 9,14, トｰアキヨモリ,,草野太,196.4,,,,12, 98.9,⑥⑧⑨, 9, 9, パスティ,,上野翔,218.2,,,, 8, 29.6,④③③, 9, 7,Ｄスノｰレパｰド, 68,丹内祐, 1.1, 57,  -5,   2, 6, 10.7, ⑬⑫, 9, 2,Ｂリボントリコロｰル, 74,丸田恭, 1.1, 65,  -3,   3, 1,  3.8,⑦⑨⑪
10, 5, トニｰポケット,,小坂忠,196.9,,,, 3,  9.3,⑫⑪⑩,10, 2, ホッコｰゼニト,,難波剛,219.2,,,, 6, 18.9,⑫⑪⑩,10,12,Ｎエｰデルシュタイン, 60,オｰル, 1.2, 56,  -1,  -4,11, 39.1, ⑧⑦,10,13,Ｍアワフレイム, 57,オｰル, 1.3, 62,  -2,  -3,10, 22.9,⑫⑧⑧
11,13, ドルチェレガｰト,,高野和,198.0,,,,14,106.8,⑭⑬⑬,11, 8, トｰセンプラチナ,,五十嵐,220.5,,,,13, 57.3,③⑦⑧,11,11,Ｋバｰニングハｰト, 64,長岡禎, 1.3, 55,   0,  -4,14,114.6, ⑦⑧,11,12,Ｋミッキｰタイガｰ, 66,松若風, 1.3, 63,  -3,   1,11, 29.0,⑩⑫⑬
