15年 9月26日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 9月26日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 7R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■10R  ダ1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,茨城新聞杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｏハタノインサイト, 28,内田博,, 53,* -3,  -9, 5, 10.4, ①①, 1,10,Ａディマンズ, 70,田中勝,, 69,*  4,*  7, 2,  2.9,④②②, 1, 6,Ｈキズナエンドレス, 73,伊藤工,, 79,*  0,  14, 9, 21.5,②②②, 1, 6,Ｄパワｰポケット, 81,三浦皇,, 85,* 10,* 14, 4,  5.9,①①①
 2, 2,Ｉキョウエイアムｰル, 47,松岡正, 0.0, 56,* -6,  -4, 8, 23.5, ③②, 2, 1,Ｃキｰフォｰサクセス, 62,内田博, 0.1, 69,*  4,*  5, 1,  2.3,①①①, 2, 9,Ｆウインマハロ, 74,柴田大, 0.1, 79,* -1,  14, 2,  4.7,④④④, 2, 5,Ａリッカルド, 83,大野拓, 0.2, 85,   8,* 16, 1,  4.5,④④③
 3, 7,Ｈカトルラポｰル, 47,北村宏, 0.1, 53,  -9,* -4, 2,  4.0, ⑥⑦, 3, 3,Ｆペンタプリズム, 60,柴山雄, 0.8, 63,*  3,   1, 3, 11.2,③③③, 3, 1,Ｄヴァルコイネン, 75,田辺裕, 0.2, 79,  -2,  17, 6, 11.5,⑦⑤⑤, 3,10,Ｍトミケンシャルゴｰ, 75,勝浦正, 0.9, 78,*  9,   8, 9, 22.2,②②②
 4,15,Ｂシャンボｰル, 52,江田照, 0.1, 52,  -9,* -3, 3,  4.2, ⑦⑥, 4,12,Ｅダイワバｰス, 61,北村宏, 1.3, 62,   1,   0, 6, 22.5,⑪⑧⑥, 4, 5,Ｏストｰミング, 65,大野拓, 0.2, 75,*  0,   8, 8, 20.3,①①①, 4,15,Ｋメイプルレインボｰ, 78,長岡禎, 1.0, 78,   7,  11,13, 42.4,⑦⑧⑤
 5,13,Ｆペルルクロシュ, 48,勝浦正, 0.2, 51,  -8,  -6, 9, 42.8, ④④, 5,11,Ｄバルマスケ, 61,大野拓, 1.3, 61,   2,  -2, 4, 14.7,⑧⑤④, 5, 7,Ｂプレストウィック, 75,津村明, 0.2, 77,  -3,  16, 1,  3.6,⑤⑥⑥, 5, 3,Ｅゴｰイングベル, 81,木幡初, 1.1, 79,*  9,   7, 3,  5.9,③③④
 6,12,Ｎクリスタルガｰデン, 28,津村明, 0.2, 50,* -5,  -9,12,126.0, ②③, 6, 4,Ｍセイウンエオリア, 49,石川裕, 2.1, 58,   1,  -7,15,152.7,⑦⑦⑦, 6,14,Ｐプレシャスメイト, 65,蛯名正, 0.3, 80,  -4,  18, 7, 15.4,⑨⑧⑧, 6, 2,Ｆロジテｰル, 81,松岡正, 1.2, 78,   7,  11,11, 29.4,⑧⑪⑩
 7, 9,Ｄペイルブルｰドット, 51,柴田善, 0.2, 50, -11,* -4, 7, 11.7, ⑧⑧, 7, 5,Ｌカリオペイア, 49,田辺裕, 2.3, 54,   1,  -6,13,118.8,⑭⑫⑧, 7,17,Ｅマイネルサｰジュ, 74,戸崎圭, 0.4, 77,  -4,  16, 3,  5.4,⑪⑨⑨, 7, 9,Ｉイｰデンホｰル, 79,吉田豊, 1.4, 75,   7,   8, 2,  5.3,⑩⑨⑨
 8, 3,Ｃマザックヤｰス, 51,戸崎圭, 0.3, 50,  -9,  -6, 1,  3.8, ⑤⑤, 8,13,Ｇマサノエリザベス, 59,井上敏, 2.4, 53,   1,  -9, 8, 25.7,⑨⑨⑨, 8,10,Ｇヴァンデミエｰル, 73,江田照, 0.4, 78,  -4,  18,11, 31.5,⑩⑩⑩, 8, 8,Ｎアイアイエンデバｰ, 75,田中勝, 1.5, 77,   4,* 14,16,255.2,⑮⑮⑬
