15年 1月12日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 1月12日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  ダ1200m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1200m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝2500m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,迎春ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12, 4,Ｆゼノ, 49,木幡初, 2.1, 43,  -2, -17, 4, 10.0, ⑩⑩,12, 1, エフティロビン,---,柴田大, 2.2, 48,*  7, -25,11, 75.6, ①②,12, 9,Ｊオリエンタルエジル, 64,長岡禎, 1.4, 62,   6,  -2,14,124.3, ⑤④,12, 6,Ｌマイネルリヒト, 66,丹内祐, 2.8, 66,  17, -46,12, 79.0,④④⑦
13,11,Ｐラウレアプリティ, 38,西田雄, 2.5, 41,   2, -23,15,354.2, ⑧⑨,13, 4, キンショｰナデシコ,---,丸山元, 2.3, 40, -11, -11,12,120.1, ⑩⑩,13, 4,Ｌバトルヴェルデ, 64,吉田隼, 1.5, 60,   3,   0,13,114.2, ⑨⑧,,,,,,,,,,,,
14,14,Ｏヨシミツクン, 38,柴山雄, 2.7, 35, -12, -13,13,208.8, ⑮⑮,14,11, ヴァングロｰリアス,---,松岡正, 2.7, 37,  -6, -19,10, 52.7, ⑨⑦,14, 2,Ｅセクシｰボｰイ, 69,ブノワ, 1.5, 62,* 11,  -8, 2,  4.2, ①①,,,,,,,,,,,,
15,10,Ｎマテルドロロｰザ, 40,長岡禎, 2.9, 39,*  7, -32,11,129.8, ②③,15, 6, ギミック,---,後藤浩, 3.0, 33, -20,  -9, 9, 49.5, ⑭⑭,15,14,Ｉノｰスエット, 65,北村宏, 2.0, 57,  -9,   7, 8, 23.4, ⑯⑯,,,,,,,,,,,,
,,,,,,,,,,,,16, 8, マスココット,---,原田和, 4.0, 29, -35,  -3,16,311.1, ⑯⑯,16,11,Ｋフレンチフェロｰ, 64,木幡初, 2.0, 58,   4,  -5,12, 56.0, ⑦⑨,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:良(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:82 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-10 馬場:良(指数:0),,,,,,,,,,,
"単勝:250円 複勝:12=120円 16=470円 02=600円 枠連:1,960円",,,,,,,,,,,,単勝:270円 複勝:16=130円 07=160円 10=180円 枠連:670円,,,,,,,,,,,,"単勝:230円 複勝:16=130円 12=440円 13=260円 枠連:1,640円",,,,,,,,,,,,単勝:530円 複勝:12=200円 07=140円 10=200円 枠連:470円,,,,,,,,,,,
"馬連:2,260円 ワイド:12-16=850円 02-12=1,180円 02-16=5,430円",,,,,,,,,,,,馬連:770円 ワイド:07-16=320円 10-16=420円 07-10=660円,,,,,,,,,,,,"馬連:2,110円 ワイド:12-16=850円 13-16=540円 12-13=2,370円",,,,,,,,,,,,"馬連:1,170円 ワイド:07-12=450円 10-12=670円 07-10=540円",,,,,,,,,,,
"馬単:3,520円 3連複:16,920円 3連単:58,930円",,,,,,,,,,,,"馬単:1,130円 3連複:1,680円 3連単:5,710円",,,,,,,,,,,,"馬単:3,050円 3連複:5,600円 3連単:21,810円",,,,,,,,,,,,"馬単:2,290円 3連複:2,100円 3連単:9,820円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 5R  芝1600m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 8R  ダ1800m 4歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■11R  芝1600m 3 歳ｵｰﾌﾟﾝ(牝) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ﾌｪｱﾘｰｽﾃｰｸｽ ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｄエバｰキュｰト, 54,デムｰ,, 57,   2,*-11, 1,  2.3,④④⑥, 1,15,Ｃグランシルク, 57,戸崎圭,, 54,   5,* -6, 2,  2.8,⑬⑧⑦, 1,13,Ｃシンワウォッカ, 80,藤田伸,, 76,   5,*  8, 2,  5.0,⑥⑤④, 1, 4,Ｆノットフォｰマル, 65,黛弘人,, 71,* -1,   2,11, 34.9,①①①
