15年 1月24日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 1月24日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-20,,,,,■ 4R  ダ1800m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1900m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝2000m 3 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,若駒ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:重(指数:-7),,,,,,,,,,,,ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:重(指数:-7),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:重(指数:-7),,,,,,,,,,,,ｸﾗｽ上位平均:77 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:2),,,,,,,,,,,
"単勝:510円 複勝:03=170円 13=150円 10=130円 枠連:1,760円",,,,,,,,,,,,"単勝:460円 複勝:01=140円 05=170円 02=110円 枠連:3,540円",,,,,,,,,,,,"単勝:300円 複勝:08=210円 01=420円 07=450円 枠連:1,280円",,,,,,,,,,,,単勝:330円 複勝:06=170円 03=140円 枠連:0円,,,,,,,,,,,
"馬連:1,570円 ワイド:03-13=640円 03-10=510円 10-13=390円",,,,,,,,,,,,"馬連:2,500円 ワイド:01-05=580円 01-02=170円 02-05=330円",,,,,,,,,,,,"馬連:1,630円 ワイド:01-08=460円 07-08=480円 01-07=940円",,,,,,,,,,,,馬連:430円 ワイド:03-06=170円 01-06=210円 01-03=200円,,,,,,,,,,,
"馬単:3,160円 3連複:1,960円 3連単:12,050円",,,,,,,,,,,,"馬単:3,890円 3連複:890円 3連単:9,980円",,,,,,,,,,,,"馬単:2,450円 3連複:3,300円 3連単:11,840円",,,,,,,,,,,,"馬単:910円 3連複:490円 3連単:2,320円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 5R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 8R  ダ1200m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■11R  芝1600m 4歳上ｵｰﾌﾟﾝ(牝) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,京都牝馬ｽﾃｰｸｽ ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｋシゲルエベッサン, 54,藤岡佑,, 67,  -1,*  8,15,322.3,⑫⑫⑩, 1,16,Ａレｰヴミストラル, 65,岩田康,, 68,   1,*  1, 1,  1.5, ⑪⑨, 1, 8,Ｋバルタザｰル, 63,バルジ,, 71,  -5,  14, 9, 29.3, ⑥⑦, 1,13,Ｊケイアイエレガント, 82,内田博,, 92,* 10,  10, 9, 23.6, ①①
