15年12月19日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年12月19日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 4R  芝3000m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝1400m 2 歳500万(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,つわぶき賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ａロワノワｰル, 59,横山和,, 68,   2,*  3, 3,  7.3, ⑤④, 1,10, アサクサポイント,,山本康,,,,, 1,  4.0,②②②, 1,17,Ｆインストアイベント, 72,伴啓太,, 77,  -1,* 16, 4,  7.6, ⑰⑰, 1,16,Ｃエスティタｰト, 63,石橋脩,, 72,* -4,*  8, 1,  2.7, ②②
 2, 6,Ｂケンコンイッテキ, 59,松山弘, 0.5, 65,*  5,  -4, 1,  2.6, ①①, 2,11, シベリアンタイガｰ,,草野太,200.3,,,, 4,  6.0,③③③, 2,16,Ｃクィｰンパレット, 76,石橋脩, 0.0, 78,   2,* 13,10, 17.5, ⑫⑬, 2, 1,Ｊワンスインナムｰン, 55,丸山元, 0.1, 71,* -4,*  8, 8, 27.4, ④③
 3,10,Ｃロケットビｰン, 56,藤岡康, 0.6, 63,*  4,  -4, 2,  3.1, ②②, 3, 4, シゲルオウシザ,,小野寺,203.2,,,, 8, 32.3,①①①, 3,12,Ｋトｰホウハニｰ, 69,丸山元, 0.1, 75,   3,   9, 6, 13.3, ⑧⑨, 3,12,Ｎウメマツサクラ, 47,国分恭, 0.3, 68,* -2,   1,17,282.3, ①①
 4, 9,Ｊウォｰタｰバオバブ, 47,菱田裕, 1.7, 55,*  3, -13, 9, 34.6, ③③, 4, 9, マコトサダイジン,,高田潤,205.1,,,, 5,  8.9,⑥⑥⑥, 4,10,Ｂダノンブライト, 79,アッゼ, 0.1, 76,   3,  10, 1,  3.8, ⑪⑪, 4,11,Ｐハマヒルガオ, 39,アッゼ, 0.5, 68, -12,* 11, 6, 11.5, ⑰⑰
 5, 2,Ｅウィップアロング, 51,義英真, 1.9, 52,  -2,  -7,11,144.6, ⑪⑩, 5, 7, リタｰンエｰス,,大江原,205.6,,,, 7, 29.2,⑫⑩⑩, 5, 9,Ｊロイヤルストリｰト, 70,鮫島克, 0.1, 75,*  8,   2, 3,  7.2, ②②, 5,17,Ｆピュアコンチェルト, 62,菱田裕, 0.5, 67,  -8,*  8, 3,  6.9, ⑪⑬
 6, 1,Ｌホウオウレックス, 46,川須栄, 2.0, 51,  -6,  -4,10, 48.2, ⑯⑬, 6, 2, アロヒラニ,,石神深,205.6,,,, 3,  4.1,⑦⑧⑨, 6,15,Ａタガノスカイ, 81,加藤祥, 0.3, 72,   1,  10, 2,  6.4, ⑮⑮, 6, 7,Ｈウォｰタｰピオニｰ, 60,岩崎翼, 0.5, 67,  -8,   6, 5,  9.2, ⑩⑩
 7, 4,Ｐロワｰル, 42,中井裕, 2.3, 50,   0, -13, 7, 29.7, ⑨⑧, 7,12, サンセドナ,,上野翔,205.7,,,, 9, 45.2,⑪⑨⑧, 7, 7,Ｄビットレｰト, 74,菱田裕, 0.3, 73,   5,   5, 7, 13.6, ⑩⑦, 7, 4,Ｂアッラサルｰテ, 70,藤岡康, 0.6, 64,  -6,   2, 2,  5.0, ⑤⑥
 8,11,Ｉトｰタルビクトリｰ, 49,勝浦正, 2.5, 46,  -5,  -9, 6, 25.9, ⑮⑯, 8,13, ニシノファブレッド,,浜野谷,205.9,,,, 2,  4.1,⑧⑦⑦, 8, 5,Ｉライザン, 71,勝浦正, 0.4, 72,   2,   8,12, 38.6, ⑬⑫, 8, 9,Ｄトモジャクｰル, 63,酒井学, 0.7, 65,  -8,   5,11, 57.3, ⑬⑫
 9,16,Ｇクワッドアｰチ, 49,アッゼ, 2.7, 46,   2, -20, 4,  7.6, ⑥⑥, 9, 5, ラブリｰプラネット,,植野貴,206.0,,,, 6, 11.1,⑤⑤⑤, 9, 2,Ｅファンシｰリシェス, 73,国分恭, 0.8, 68,   1,   4, 5, 11.2, ⑭⑭, 9, 6,Ｉタガノミルキｰ, 55,藤懸貴, 0.9, 64,  -9,   4, 7, 27.2, ⑭⑮
10, 5,Ｋアイアンアヴァロン, 46,国分恭, 3.0, 44,  -3, -15,14,211.2, ⑭⑫,10, 8, デンコウコハク,,田村太,206.5,,,,12, 54.7,④④④,10, 4,Ｎノｰスウッド, 62,藤岡康, 0.8, 67,   3,   1,11, 17.8, ⑨⑩,10, 3,Ｇウェｰニｰウィキｰ, 61,北村友, 1.1, 59, -12,   4, 9, 32.1, ⑯⑯
11,13,Ｄヒロブレイブ, 55,石橋脩, 3.0, 44,   1, -21, 5, 10.0, ⑦⑦,11, 3, タカミル,,蓑島靖,206.8,,,,11, 54.5,⑬⑫⑪,11, 3,Ｏゴｰルドメダリオン, 51,高倉稜, 0.8, 69,   0,   5,16,165.3, ⑯⑯,11,14,Ａトップライセンス, 71,川須栄, 1.1, 59,  -8,   0, 4,  7.1, ⑮⑭
