15年 2月14日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 2月14日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 7R  芝1200m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■10R  芝2000m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,あすなろ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｂオルフィｰク, 65,原田和,, 65,*  7,  -3, 4,  7.5, ①①, 1, 2,Ａワンダｰアツレッタ, 67,岩崎翼,, 67,  -4,*  7, 1,  3.2,③④⑤, 1, 7,Ｄロマネクイｰン, 66,西田雄,, 70, -10,  11,10, 22.6, ④④, 1, 7,Ｃジュヒョウ, 65,バルジ,, 69,   3,   2, 3,  8.7,⑦⑥⑤
 2,11,Ａオレンジピｰクス, 66,藤岡康, 0.1, 63,*  4,  -2, 1,  2.4, ②②, 2,12,Ｍエメラルドビｰム, 50,津村明, 0.4, 64,  -7,*  9,11, 57.8,⑬⑫⑫, 2, 9,Ｃイルｰシヴキャット, 67,岩崎翼, 0.0, 69,* -6,   8, 9, 18.5, ①①, 2, 1,Ａクラｰジュシチｰ, 69,藤岡康, 0.2, 66,   1,   1, 1,  1.5,⑧⑧⑧
 3,12,Ｅラッキｰダン, 62,丹内祐, 0.4, 59,   3,  -3, 5, 12.4, ⑤④, 3, 5,Ｉビセックスタイル, 54,松山弘, 0.8, 61,  -5,   0,10, 54.3,⑦⑨⑦, 3,15,Ｆボストンサクラ, 65,北村友, 0.1, 68,* -7,   8,12, 45.9, ③③, 3, 6,Ｉジャストフォｰユｰ, 56,黛弘人, 0.2, 64,*  3,  -7, 7, 18.2,①①①
 4, 6,Ｇロｰドワイルド, 59,長岡禎, 0.5, 57,  -5,*  1,10, 27.8, ⑨⑧, 4, 4,Ｃミスズダンディｰ, 60,北村友, 0.8, 61,  -8,*  6, 3,  6.2,⑫⑬⑪, 4,11,Ｈショウナンバクフウ, 64,津村明, 0.2, 67,  -9,   9, 8, 17.9, ⑤⑤, 4,10,Ｄドリｰムチェイサｰ, 64,高倉稜, 0.2, 67,  -1,*  4, 6, 16.8,⑨⑩⑨
 5, 7,Ｉティアップサンダｰ, 49,黛弘人, 0.5, 57,  -1,  -1, 9, 25.0, ⑥⑨, 5, 6,Ｄブルｰルｰク, 60,吉田隼, 0.8, 56,* -1,  -8, 6, 14.0,②②①, 5, 3,Ａエクスパｰシヴ, 70,丸山元, 0.3, 65, -12,  10, 5, 10.4, ⑧⑧, 5, 4,Ｆドラゴンヴァｰス, 61,吉田隼, 0.3, 61,   2,  -3, 2,  5.7,③④④
 6, 3, ピュウモッソ,---,二本柳, 0.7, 52, -11,*  3, 6, 18.4, ⑬⑫, 6, 8,Ｅツジスｰパｰサクラ, 60,藤田伸, 0.8, 60,  -5,   0, 8, 18.1,⑨⑩⑧, 6, 6,Ｋコスモマイルｰル, 63,丹内祐, 0.4, 67, -17,* 15,14, 97.3, ⑬⑮, 6, 9,Ｊバトルクライス, 55,松山弘, 0.5, 64,   1,  -3, 4, 12.6,⑥⑦⑦
 7,13,Ｊサンライズシｰズン, 46,丸山元, 0.7, 55,  -1,  -3, 8, 24.9, ⑦⑥, 7,10,Ｇウソハッピャク, 58,バルジ, 0.9, 58,  -4,  -5, 4,  7.2,⑤⑤⑥, 7, 2,Ｏクリノコマチ, 58,長岡禎, 0.4, 65, -15,  12, 7, 14.8, ⑪⑪, 7, 8,Ｂカレンラストショｰ, 68,北村友, 0.6, 62,   3,  -8, 5, 14.8,④③③
 8, 5,Ｄトリアンドルス, 64,勝浦正, 0.8, 55,   3,  -7, 3,  6.3, ③③, 8, 7,Ｊネｰジュドｰル, 53,藤岡佑, 0.9, 57,* -2,  -6, 7, 15.1,④③②, 8,10,Ｎニナフェアリｰ, 59,勝浦正, 0.4, 64,* -5,   3,13, 57.7, ②②, 8, 3,Ｇロｰドグリッタｰ, 60,松田大, 0.7, 59,   1,  -7, 9, 44.7,⑤⑤⑥
