15年 7月 4日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 7月 4日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝3300m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 4R  芝3000m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝2200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,木曽川特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12, スマｰトリバティｰ,,白浜雄,,,,, 2,  4.9,③④③, 1, 6, ティｰエスハｰツ,,林満明,,,,, 2,  4.4,②②②, 1, 4,Ｃケルンダッシュ, 63,武豊  ,, 66,   5,*  5, 1,  2.9,⑫⑫⑫, 1, 8,Ｈサンマルホｰム, 72,秋山真,, 83,  -4,* 19,10, 75.9,⑥⑥⑥
 2, 3, ティリアンパｰプル,,山本康,214.7,,,,10, 33.4,⑦⑤④, 2, 3, ダノンウィスラｰ,,熊沢重,199.0,,,, 3,  5.2,①①①, 2,17,Ｂタガノカムイ, 64,川田将, 0.0, 65,*  9,  -4, 4,  7.8,⑤④④, 2, 9,Ａジェラルド, 83,福永祐, 0.0, 80,* -1,  14, 4,  9.5,④④④
 3, 2, ニジブルｰム,,小坂忠,215.1,,,, 5,  6.9,②①①, 3, 9, アプリカｰレ,,植野貴,199.1,,,, 8, 26.6,⑥④③, 3, 2,Ａオｰルマイアイ, 65,藤岡佑, 0.1, 63,   8,  -3, 2,  3.0,④⑤⑥, 3,11,Ｃカラフルブラッサム, 80,武豊  , 0.1, 83,  -4,* 19, 1,  2.5,⑨⑧⑦
 4, 1, タイセイジｰニアス,,難波剛,217.3,,,, 9, 31.5,⑧⑨⑧, 4, 1, トｰセンセカイオｰ,,小野寺,199.1,,,, 5,  8.2,⑧⑥⑥, 4,10,Ｊクリスバロｰズ, 52,松山弘, 0.3, 62,   8,  -7, 6, 24.1,②③③, 4, 5,Ｅタカノハｰバｰ, 77,鮫島良, 0.1, 80,* -1,  10, 6, 10.0,②②②
 5, 9, ルペｰルノエル,,高田潤,217.6,,,, 7, 15.2,⑩⑪⑪, 5, 2, エイシンフランキｰ,,難波剛,199.7,,,, 6,  9.1,④⑦⑦, 5,12,Ｄマイネルオルデン, 62,デムｰ, 0.5, 62,   1,*  6, 3,  7.3,⑯⑯⑱, 5, 4,Ｉニシノモンクス, 72,高倉稜, 0.3, 78,* -1,  10, 9, 56.0,③③③
 6, 6, リアリｰサムシング,,林満明,217.7,,,,11, 67.0,⑤⑥⑥, 6,10, ファイアｰシチｰ,,小坂忠,199.7,,,, 4,  5.7,⑩⑧⑧, 6, 5,Ｇシゲルシチフクジン, 58,酒井学, 0.7, 59,   4,  -3,11, 42.4,⑭⑬⑭, 6, 1,Ｇファルスタｰ, 75,北村友, 0.4, 79,  -4,  14, 7, 33.4,⑤⑤⑤
 7,10, アラビアンドラゴン,,平沢健,217.8,,,, 8, 20.0,⑨⑩⑩, 7, 4, キｰプトライン,,原田和,199.8,,,, 7, 14.0,⑤⑤⑤, 7,13,Ｅユキヒョウ, 59,幸英明, 0.9, 56,   7, -13, 8, 25.9,⑨⑨⑦, 7, 2,Ｆウェｰブゴｰルド, 76,川田将, 0.4, 82,  -5,* 18, 3,  4.4,⑩⑩⑩
 8, 8, スズカアンペｰル,,北沢伸,219.9,,,, 6, 11.4,④⑧⑨, 8, 5, エアラｰテル,,高田潤,201.3,,,, 1,  3.6,③③④, 8, 9, アドマイヤサクセス,---,福永祐, 0.9, 56,   4,  -4, 5, 14.3,⑮⑭⑬, 8, 3,Ｊクリビツテンギョ, 72,小牧太, 0.7, 77,  -5,  12, 8, 46.9,⑦⑦⑧
 9,11, マイネルピクトル,,五十嵐,220.3,,,, 1,  4.3,①②⑤, 9, 7, デカントラップ,,浜野谷,202.2,,,,10, 73.3,⑦⑨⑨, 9,14,Ｍナイトディグニティ, 45,川島信, 1.1, 58,   7, -12,13,113.1,⑬⑩⑩, 9,12,Ｄピュアソルジャｰ, 78,デムｰ, 0.9, 78,  -8,  17, 5, 10.0,⑪⑪⑪
,,,,,,,,,,,,10,11, エイシンシャルル,,黒岩悠,202.6,,,, 9, 50.9,⑨⑩⑪,10, 1,Ｉクィｰンアルビレオ, 53,松若風, 1.3, 52,   7, -17,12, 92.8,⑧⑧⑨,10, 6,Ｌシルクキングリｰ, 70,松山弘, 0.9, 68,*  0,  -3,11, 79.7,①①①
,,,,,,,,,,,,11, 8, ゴｰルデンスキトマ,,高野和,203.0,,,,11, 95.8,⑪⑪⑩,11, 8,Ｎシャイニｰシチｰ, 45,熊沢重, 1.3, 51,   8, -22,14,152.6,⑥⑥⑤,11, 7,Ｂスズカヴァンガｰド, 81,和田竜, 1.1, 73,  -5,   8, 2,  4.3,⑧⑨⑨
,,,,,,,,,,,,,,,,,,,,,,,,12, 7,Ｈスタｰペスカンタ, 55,岡田祥, 1.5, 51,   2, -10, 7, 24.1,⑰⑰⑯,12,10,Ｋスリｰロブロイ, 71,国分恭, 1.4, 75,  -8,  13,12,173.3,⑫⑫⑫
,,,,,,,,,,,,,,,,,,,,,,,,13,15,Ｋインシグニスブルｰ, 49,小牧太, 1.6, 50,* 10, -28,15,157.4,③②②,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,14,16,Ｏクインズメモリア, 45,義英真, 1.8, 48,   5, -21,16,244.8,⑩⑪⑪,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,15,18,Ｆアクアブルｰハｰト, 59,国分優, 2.0, 45,   7, -28, 9, 27.6,⑦⑦⑧,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16, 3,Ｌアワｰドジャック, 48,鮫島克, 2.2, 43,* 11, -40,10, 31.4,①①①,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,17,11,Ｐパｰプルファイト, 39,川須栄, 2.4, 42,   3, -23,17,357.5,⑱⑱⑰,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,18, 6,Ｑウォｰタｰセドナ, 33,畑端省, 4.0, 31,   2, -47,18,365.9,⑪⑮⑮,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:稍重(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:稍重(指数:-1),,,,,,,,,,,
"単勝:490円 複勝:12=180円 03=880円 02=210円 枠連:6,590円",,,,,,,,,,,,"単勝:440円 複勝:06=190円 03=200円 09=720円 枠連:1,610円",,,,,,,,,,,,単勝:290円 複勝:04=110円 17=190円 02=120円 枠連:960円,,,,,,,,,,,,"単勝:7,590円 複勝:08=1,050円 09=260円 11=130円 枠連:2,250円",,,,,,,,,,,
"馬連:13,190円 ワイド:03-12=2,760円 02-12=540円 02-03=2,470円",,,,,,,,,,,,"馬連:1,680円 ワイド:03-06=640円 06-09=1,870円 03-09=2,660円",,,,,,,,,,,,"馬連:1,180円 ワイド:04-17=430円 02-04=190円 02-17=430円",,,,,,,,,,,,"馬連:38,280円 ワイド:08-09=6,700円 08-11=2,290円 09-11=450円",,,,,,,,,,,
"馬単:22,190円 3連複:20,370円 3連単:135,530円",,,,,,,,,,,,"馬単:3,010円 3連複:13,900円 3連単:53,450円",,,,,,,,,,,,"馬単:1,780円 3連複:1,140円 3連単:6,490円",,,,,,,,,,,,"馬単:102,240円 3連複:20,370円 3連単:315,450円",,,,,,,,,,,
■ 2R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 5R  芝1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■11R  ダ1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中京,,,,,,,,,,,,,,,,,,,,,,,,白川郷ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｃショウナンサアｰダ, 63,松若風,, 60,  -1,* -1, 1,  4.1, ④④, 1, 8, シュウジ,---,小牧太,, 68,*  0,   1, 1,  2.5, ①①, 1, 9,Ｇティンバレス, 67,川田将,, 77,*  9,   4, 1,  3.0,①①①, 1, 1,Ｄストロングサウザｰ, 84,デムｰ,, 83,*  7,* 17, 4,  8.4,①①①
 2,12,Ｅセングウ, 62,岩崎翼, 0.3, 57,*  0,  -4, 2,  4.9, ③③, 2,12, レッドカｰペット,---,国分恭, 0.3, 65,  -3,  -1, 5, 11.3, ②②, 2,11,Ａフジインザスカイ, 75,川島信, 0.6, 72,*  8,   1, 5, 10.7,⑨③③, 2, 8,Ｂエルマンボ, 87,福永祐, 0.3, 83,   6,* 16, 3,  4.5,⑧⑤④
 3, 1,Ｆイッツマイン, 61,鮫島克, 0.3, 57,*  2,  -6, 3,  6.0, ①①, 3, 1, クライシス,---,川田将, 0.3, 65,  -4,*  2, 3,  6.1, ⑤⑤, 3, 7,Ｃハギノセゾン, 72,秋山真, 0.9, 70,   3,*  9, 6, 17.5,⑩⑩⑫, 3, 5,Ａランウェイワルツ, 89,松若風, 0.4, 86,   5,* 19, 2,  3.7,⑨⑧⑧
 4,13,Ａマロンマロン, 66,藤岡佑, 0.8, 49,  -4,  -5, 5,  6.4, ⑧⑤, 4, 4, サルドナ,---,デムｰ, 0.5, 63,  -6,*  2, 2,  5.1, ⑧⑦, 4, 1,Ｈルアノヴァ, 66,小牧太, 1.0, 74,   4,*  9,10, 68.5,⑪⑪⑨, 4,12,Ｃセイスコｰピオン, 85,武豊  , 0.8, 80,   5,  14, 5,  8.5,⑪⑦⑦
 5,10,Ｊメイショウエリｰ, 51,武幸四, 0.9, 49, -10,*  0,13,146.1, ⑬⑫, 5,10, レンベルガｰ,---,藤岡佑, 0.7, 61, -10,*  5, 7, 18.9, ⑨⑨, 5, 8,Ｉフィエルテ, 66,松山弘, 1.2, 69,   6,  -2, 4,  7.6,⑧⑤④, 5, 7,Ｅハギノタイクｰン, 83,和田竜, 1.0, 77,*  7,   8, 6, 16.2,②②②
 6, 6,Ｄマルトクビクトリｰ, 62,義英真, 0.9, 49,  -6,  -4, 6,  9.6, ⑨⑨, 6, 5, ホットファイヤｰ,---,和田竜, 0.8, 60,  -4,  -4, 6, 12.4, ⑥⑥, 6,10,Ｊサンレイフレンチ, 63,鮫島克, 2.0, 66,   2,   3,11, 76.9,⑫⑫⑪, 6, 2,Ｆエイコｰンパス, 83,松山弘, 1.0, 80,   6,  11,10, 50.4,④⑥⑥
 7, 2,Ｌスレドボ, 44,太宰啓, 1.2, 46,  -8,  -4,10, 68.6, ⑩⑩, 7, 2, ツイセキシャ,---,松若風, 1.8, 48, -14,  -3, 9, 41.2, ⑪⑪, 7, 3,Ｅモンシュシュ, 72,デムｰ, 2.2, 59,   5,  -8, 2,  3.5,⑦⑦⑥, 7,13,Ｊキネオイｰグル, 81,川田将, 1.1, 78,*  7,   8, 1,  2.9,③④⑤
 8,16,Ｂハギノレイラニ, 63,デムｰ, 1.3, 47,   0, -12, 7, 11.7, ⑤⑦, 8, 6, ファビラスヒｰロｰ,---,福永祐, 1.8, 47,  -2, -19, 4,  9.1, ④④, 8,12,Ｆアンスタンフィｰル, 70,森一馬, 2.4, 60,*  8, -15, 8, 21.1,③②②, 8,11,Ｈタガノビリｰヴィン, 82,岩崎翼, 1.3, 78,   4,  12, 8, 38.8,⑫⑩⑪
 9, 4, リリパラディス,---,高倉稜, 1.5, 44, -12,  -3,11, 79.5, ⑮⑭, 9, 7, スラッシュ,---,国分優, 2.1, 45, -18,  -3,11,126.0, ⑬⑬, 9, 6,Ｄデンタルキュｰティ, 72,義英真, 2.6, 59,   5, -11, 7, 18.3,④⑥⑦, 9,10,Ｉクロスボウ, 82,幸英明, 1.4, 77,   3,  13, 7, 28.0,⑬⑫⑫
10, 5,Ｎマジックベル, 34,北村友, 1.6, 44,*  1, -17, 8, 16.6, ②②,10, 3, イソノヴィグラス,---,熊沢重, 2.2, 44,  -7, -17,10, 71.9, ⑦⑧,10, 2,Ｂヴェルメンティｰノ, 73,和田竜, 2.6, 61,   5, -10, 3,  4.8,⑥⑨⑩,10, 9,Ｌタイガｰシｰド, 81,川島信, 1.5, 76,   5,   9,11, 74.9,⑩⑨⑩
11, 9,Ｇクリオロ, 52,国分恭, 2.0, 41,  -2, -17, 9, 43.9, ⑥⑥,11, 9, キラパワｰ,---,川須栄, 2.3, 41,* -1, -28,12,172.5, ③③,11, 4,Ｋテイエムステｰタス, 62,酒井学, 5.5, 42,   7, -40, 9, 47.6,②④⑤,11, 4,Ｇセイカフォルテ, 82,北村友, 1.5, 76,   4,  12,12,120.8,⑥⑪⑨
12,11, テイエムテンモン,---,幸英明, 2.3, 36, -11, -11,12, 93.9, ⑭⑮,12,11, キングラディウス,---,松山弘, 2.3, 43, -11, -13, 8, 19.9, ⑩⑩,12, 5,Ｌテイエムフタエマル, 50,岩崎翼, 6.3, 37,   4, -43,12,121.9,⑤⑧⑧,12, 6,Ｋノボリドリｰム, 81,高倉稜, 2.6, 70,*  8,  -5, 9, 48.3,⑤③③
13,14,Ｋエルフベレｰザ, 48,鮫島良, 2.6, 36,  -3, -22,14,161.5, ⑦⑧,13,13, ヒロノストロング,---,北村友, 2.4, 43, -14, -10,13,266.2, ⑫⑫,,,,,,,,,,,,,13, 3,Ｍラディアｰレ, 65,黒岩悠, 3.9, 59,   2,  -7,13,193.9,⑦⑬⑬
14,15,Ｈスリｰクンビア, 52,国分優, 2.6, 35,  -7, -16,15,172.8, ⑪⑪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
