15年 8月 8日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 8月 8日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(九) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-31,,,,,■ 4R  芝1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 7R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,筑紫特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｂカシノエイシ, 37,国分優,, 37,*  1, -19, 1,  2.5, ①①, 1, 6,Ｈブロｰドキャスト, 50,松山弘,, 61,*  7, -17, 6, 21.5,⑫②②, 1, 7,Ｆスｰパｰルミナル, 54,北村友,, 65,* 14, -19,11, 33.4, ②②, 1,17,Ｈタイセイララバイ, 67,パｰト,, 70,  -2,   5, 6, 12.1, ⑩⑩
 2,12,Ｃテイエムヤマンカミ, 32,鮫島克, 0.4, 32,*  0, -22, 2,  5.6, ②②, 2,14,Ｂハッピｰウィルス, 62,パｰト, 0.0, 61,   3,* -8, 2,  3.2,⑨⑧⑦, 2, 2,Ｌエレディｰタ, 49,和田竜, 0.1, 66,* 16, -21, 7, 20.3, ①①, 2, 9,Ａサトノネネ, 76,川田将, 0.2, 68,  -7,*  8, 5, 11.8, ⑫⑫
 3, 5,Ｆチェストケホｰク, 18,義英真, 1.0, 21, -21,*-11, 6, 12.2, ⑩⑩, 3,13,Ｇミスズダンディｰ, 53,秋山真, 0.1, 61,  -3,*  1, 8, 23.4,⑭⑭⑭, 3, 4,Ｃキングカｰティス, 59,秋山真, 0.3, 58,   8, -16, 5, 10.8, ⑥⑧, 3, 1,Ｌマルクナッテ, 63,秋山真, 0.4, 66, -17,* 16,16,139.1, ⑱⑱
 4, 1,Ｅテイエムマケンゲナ, 19,藤岡佑, 1.0, 22, -23,* -8, 4,  8.7, ⑪⑪, 4,12,Ｄヒメキヨヒダカ, 58,義英真, 0.2, 58,   4, -15, 9, 28.5,③④③, 4, 5,Ｅテイエムヤンチャボ, 54,岩崎翼, 0.3, 60,* 12, -20, 6, 15.7, ④④, 4,13,Ｉダラニ, 66,藤岡佑, 0.5, 63,   1,  -4, 8, 19.3, ⑧⑧
 5,14,Ｍエディブルフラワｰ, -8,和田竜, 1.1, 21,  -4, -28, 7, 17.9, ④③, 5, 7,Ｅサンチェロキｰ, 55,藤岡佑, 0.3, 58,   1,* -9, 4,  9.3,⑬⑪⑨, 5,13,Ｊオｰキャロル, 50,小牧太, 0.4, 57,   6, -14,10, 31.9, ⑧⑦, 5, 8,Ｎシセイカスガ, 62,川須栄, 0.6, 64, -13,* 10,18,222.0, ⑰⑯
 6, 6,Ｄホｰザンポントス, 22,鮫島良, 1.3, 21,  -5, -28, 3,  6.4, ⑤⑤, 6,16,Ｃグランソルティス, 59,三津谷, 0.9, 51,   3, -21, 5, 12.8,⑩⑨⑧, 6, 9,Ｄマイグリュック, 58,義英真, 0.5, 53,  -9,* -3, 9, 28.0, ⑯⑮, 6,16,Ｅジンセイハオマツリ, 68,鮫島克, 0.7, 61,  -8,   2, 9, 21.4, ⑮⑮
 7,11,Ａウインヴォルケｰノ, 38,熊沢重, 1.5, 14, -11, -27, 8, 20.6, ⑧⑧, 7, 3,Ａエイシンサブウェイ, 65,和田竜, 1.1, 49,   4, -28, 1,  2.6,⑦⑤⑤, 7,15,Ｂサクラティンクル, 62,中谷雄, 0.5, 56,   9, -20, 1,  3.1, ⑦⑥, 7, 3,Ｇトシストロング, 67,幸英明, 0.7, 62,   2,  -8, 3,  7.1, ⑥⑤
 8, 4,Ｈメイジュンジュライ, -1,岩崎翼, 2.3,  4,  -5, -44, 9, 48.9, ③④, 8,11,Ｊアワｰドジャック, 48,鮫島克, 1.2, 47,* 11, -44, 7, 22.4,①①①, 8,18,Ｉロｰドチャレンジ, 50,藤岡佑, 0.6, 53,   5, -17,18,265.5, ⑨⑨, 8, 7,Ｏカメット, 59,北村友, 0.7, 61,   2,  -8,15, 93.6, ⑦⑥
