15年 1月17日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 1月17日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 4R  芝3000m 4歳上未勝利 定量,,,,,,,,,,,,■ 7R  ダ1400m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  ダ1400m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,はこべら賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｉブルｰスブレイカｰ, 45,松山弘,, 68,* -3,*  9, 2,  5.2,③①①, 1,12, ラステラ,,浜野谷,,,,, 7, 22.4,④②②, 1, 4,Ｅタガノハピネス, 70,松山弘,, 69,   7,  -2, 4, 12.3, ④④, 1, 4,Ｈスルタｰナ, 59,古川吉,, 69,  -1,*  7, 4, 10.3, ⑦⑨
 2, 8,Ｂフェブカリエンテ, 58,国分優, 1.0, 60,  -6,*  6, 4,  6.6,⑪⑩⑪, 2, 3, レッドフォルツァ,,五十嵐,202.9,,,, 2,  4.3,⑩⑦⑦, 2, 7,Ａミニョネット, 75,藤岡康, 0.0, 68,   7,  -2, 1,  2.1, ⑤⑤, 2,11,Ｆニホンピロサンダｰ, 66,酒井学, 0.2, 67,   0,   4, 6, 12.0, ⑤⑤
 3,13,Ｃレジェンドパワｰ, 53,松田大, 1.1, 61,  -3,   3, 6, 11.7,⑩⑧⑥, 3, 8, タッチドヘヴンリｰ,,北沢伸,203.6,,,, 5, 16.6,⑧⑨⑧, 3, 1,Ｍサウンドアドバイス, 61,国分優, 0.1, 69,* 12,  -9,11, 27.4, ①①, 3, 5,Ａボクノナオミ, 69,浜中俊, 0.4, 66,  -1,   3, 2,  3.2, ③③
 4,11,Ｆクラウンフレイム, 49,熊沢重, 1.2, 59,  -5,   3, 9, 19.3,⑫⑪⑦, 4, 2, パスティ,,山本康,203.8,,,, 3,  6.4,①①①, 4,15,Ｊサプライズライン, 66,酒井学, 0.3, 64,  -7,* 15, 8, 18.8, ⑮⑮, 4, 6,Ｇピンストライプ, 65,藤岡康, 0.5, 64,  -1,   1, 1,  2.2, ④④
 5,16,Ｅシゲルエイサｰ, 50,古川吉, 1.4, 57,* -3,  -2, 7, 15.7,①②②, 5, 9, ファイアｰシチｰ,,小坂忠,203.9,,,, 6, 17.8,⑫⑪⑩, 5,12,Ｃアイリッシュハｰプ, 71,松若風, 0.3, 65,   1,   3, 2,  7.0, ⑩⑩, 5,10,Ｃマコトカンパネッロ, 66,勝浦正, 0.5, 66,  -3,   5, 7, 17.1, ⑨⑧
 6, 9,Ｄコスモビオス, 51,柴田未, 1.6, 56,  -5,  -1, 5, 10.3,⑧⑦⑨, 6, 7, トｰセンハナミズキ,,小野寺,204.6,,,,12,282.6,⑭⑫⑪, 6, 8,Ｂテラノココロ, 73,小崎綾, 0.3, 65,   0,*  6, 5, 12.7, ⑪⑪, 6, 3,Ｅサンタナブルｰ, 66,川須栄, 0.5, 66,  -4,*  6, 5, 11.6, ⑪⑪
 7, 3,Ａメイショウテンロウ, 60,藤岡康, 1.7, 55,  -5,  -1, 1,  3.6,⑦⑨⑩, 7,14, クレバｰカイオウ,,鈴木慶,205.1,,,,10,127.4,⑤⑥④, 7,16,Ｄクロカミノオトメ, 71,松田大, 0.5, 63,   0,   3, 7, 13.2, ⑫⑫, 7,12,Ｄサンアルパイン, 66,津村明, 0.8, 63,*  1,  -3, 3,  9.1, ①①
 8,15,Ｎソラトブライオン, 38,丸山元, 2.9, 47,* -3, -14,16,182.8,⑥④⑤, 8, 5, テｰオｰレジェンド,,白浜雄,205.8,,,, 1,  2.1,②⑤⑥, 8,11,Ｏグッドラックミｰ, 52,古川吉, 0.6, 64,   7,  -6,14,141.1, ⑥⑥, 8, 2,Ｉメイショウオオラカ, 58,川島信, 1.0, 64,  -4,   3,10, 79.9, ⑩⑩
 9, 5,Ｊレイズユアハンズ, 43,木幡初, 3.3, 45,  -4, -16,13, 76.2,⑤⑥⑧, 9, 1, エイシンフランキｰ,,森一馬,205.9,,,, 8, 24.8,⑦⑧⑨, 9, 3,Ｋチョウアコガレ, 65,熊沢重, 0.6, 65,   6,  -5,16,222.5, ⑦⑦, 9, 1,Ｂヨイチナデシコ, 68,吉田隼, 1.2, 58,  -3,  -2, 8, 38.4, ⑧⑥
10, 1,Ｇライフトップスタｰ, 47,義英真, 3.5, 44, -11,  -5,12, 56.4,⑬⑭⑮,10,10, テイエムシシｰポス,,佐久間,206.1,,,, 4,  6.5,⑥③③,10, 2,Ｇコウエイテンペスタ, 69,義英真, 0.9, 61,*  9, -12, 6, 13.0, ③③,10, 8,Ｌクリノヤクマン, 38,丸山元, 1.4, 57,*  0,  -8, 9, 71.6, ②②
11,10,Ｈモアザンワｰズ, 47,城戸義, 3.6, 46,  -9,  -9,15,162.3,⑮⑬⑬,11,11, グンシン,,草野太,207.6,,,,13,301.8,③④⑤,11, 5,Ｎマルモグリフィス, 60,高倉稜, 0.9, 62,   1,  -2,15,202.8, ⑨⑨,11, 9,Ｊコｰリンバロック, 56,松田大, 1.8, 55,  -1,  -8,12,173.5, ⑥⑦
12, 6,Ｌピュアリｰズン, 42,川島信, 4.1, 44, -11, -10,10, 24.9,⑯⑮⑭,12,13, バｰジェス,,高野和,207.9,,,,14,311.6,⑬⑭⑬,12,13,Ｈシャンパンルｰジュ, 68,浜中俊, 1.2, 58,  -1,  -1, 3,  8.7, ⑬⑬,12, 7,Ｋナナチャン, 46,東川公, 4.3, 36, -10, -19,11,128.2, ⑫⑫
