15年11月 7日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年11月 7日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝2750m 3歳上未勝利 定量,,,,,,,,,,,,■ 7R  ダ1150m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,三春駒特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｋメイショウダッサイ, 40,義英真,, 60,   0,* -1,12, 69.5,⑬⑥⑤, 1, 8, ウソハッピャク,,五十嵐,,,,, 1,  2.9,①①①, 1,16,Ｅメランコリア, 67,西村太,, 70,*  8,   4, 5, 15.0, ④③, 1, 3,Ｂギブアンドテイク, 75,古川吉,, 67,  -2,   3, 6, 13.8,③⑤②
 2,11,Ｈアルセナｰレ, 45,勝浦正, 0.0, 58,*  2,* -4, 2,  4.7,①①①, 2, 7, ウインイルソｰレ,,石神深,181.8,,,, 2,  3.0,③③③, 2, 1,Ｃジュエルアラモｰド, 73,嘉藤貴, 0.6, 65,* 11,  -3, 3,  8.1, ①①, 2, 5,Ｅロｰドグリッタｰ, 71,津村明, 0.0, 65,*  0,  -2, 4,  8.7,①①①
 3, 1,Ａコスモカナディアン, 60,嘉藤貴, 0.1, 58,   1,* -2, 1,  3.3,④④②, 3,12, レッドフォルツァ,,上野翔,182.0,,,, 4,  8.5,⑧⑦⑦, 3, 6,Ｆアスタｰペニｰ, 67,国分恭, 0.6, 64,   5,   1, 6, 22.6, ⑤④, 3,13,Ｃヴァンデミエｰル, 72,西村太, 0.0, 76,  -7,* 17, 9, 19.9,⑮⑮⑮
 4,14,Ｎナポレオンズワｰド, 29,川須栄, 0.8, 55,*  1, -10, 5,  9.9,⑤③④, 4, 4, メイショウオヤシオ,,白浜雄,182.4,,,, 3,  6.2,②②②, 4,12,Ｇミカルベウス, 66,吉田隼, 0.6, 66,* 11,  -3, 4, 11.2, ②②, 4,11,Ａサブライムカイザｰ, 75,丸山元, 0.1, 67,  -2,   3, 1,  3.7,⑦⑦⑧
 5, 6,Ｂサンアンダｰソン, 59,岩部純, 1.2, 50,   0, -11, 3,  5.5,⑥⑤⑦, 5, 9, スズカシャトル,,林満明,182.6,,,, 8, 27.2,⑤④⑤, 5,10,Ｂモンサンビアンカ, 76,木幡初, 0.7, 59,  -6,* 10, 2,  4.6, ⑮⑮, 5, 9,Ｎマイネルランスタン, 61,黛弘人, 0.2, 68,  -3,   3,15,120.1,⑥⑧⑤
 6, 5,Ｇマジックダイオウ, 50,小坂忠, 1.4, 50,  -1,  -9,13, 73.7,⑭⑨⑥, 6, 2, ワｰルドカップ,,佐久間,182.9,,,, 6, 11.3,⑥⑥⑥, 6, 7,Ａオリエンタルダンス, 77,鮫島克, 0.9, 61,   7,  -3, 1,  1.9, ③⑤, 6, 8,Ｇキネオワｰルド, 70,勝浦正, 0.2, 72,  -5,* 12, 5, 12.7,⑭⑭⑭
 7,13,Ｆディｰエスレヴュｰ, 50,横山和, 1.7, 50,  -2, -11,11, 66.3,⑨⑩⑨, 7, 5, シベリアンタイガｰ,,草野太,183.8,,,, 5, 10.1,④⑤④, 7, 5,Ｊテイエムステｰタス, 63,古川吉, 0.9, 57,  -4,*  6, 9, 35.0, ⑭⑭, 7, 2,Ｄキッスアフィニティ, 71,石橋脩, 0.3, 69,  -5,   7, 3,  4.8,⑫⑫⑫
 8, 3,Ｄウインバｰニング, 53,井上敏, 1.8, 46,  -4,  -9, 7, 15.1,⑩⑫⑪, 8,10, ゼイロングトゥビｰ,,山本康,184.4,,,,12,140.3,⑦⑧⑧, 8,15,Ｏアシドベリｰ, 53,義英真, 0.9, 60,   2,   1,15,197.6, ⑩⑧, 8, 1,Ｉワクワクカンヲ, 69,伊藤工, 0.4, 66,  -4,   4,12, 39.6,⑪⑪⑩
 9, 8,Ｃトｰキョｰキッド, 54,吉田隼, 2.1, 45,   0, -17, 4,  5.8,⑮⑦⑩, 9, 1, リネンハイブリット,,蓑島靖,186.8,,,,10, 99.2,⑨⑨⑨, 9, 2,Ｈシゲルミマサカ, 65,加藤祥, 1.0, 59,   3,   0, 8, 28.3, ⑨⑨, 9,10,Ｌサトノファンタス, 64,吉田隼, 0.6, 66,  -5,   6,10, 33.2,⑬⑬⑬
10, 9,Ｊシゲルチヌダイ, 41,津村明, 2.1, 44,  -1, -15,15,200.5,⑧⑧⑧,10, 6, ヒダマリ,,江田勇,187.0,,,,11,102.7,⑪⑩⑩,10,11,Ｐレモンイエロｰ, 50,川須栄, 1.1, 59,   1,   1,11, 39.5, ⑪⑪,10, 7,Ｈサンタフェチｰフ, 69,中谷雄, 0.6, 62,  -3,  -2, 2,  4.4,⑩⑩⑨
11, 7,Ｅセプテンバｰダイナ, 51,藤懸貴, 2.2, 43,  -4, -13, 6, 11.5,⑫⑬⑫,11,11, ジョｰジジョｰジ,,大江原,187.7,,,, 7, 21.1,⑩⑪⑪,11, 9,Ｋキャプレット, 63,勝浦正, 1.1, 56,  -1,   3,13, 51.0, ⑬⑬,11,12,Ｏコスモボアソルテ, 57,嘉藤貴, 0.8, 57,*  0, -11,13, 59.7,④③③
12,10,Ｌアドマイヤデライト, 32,国分恭, 2.2, 44,*  2, -23, 8, 23.5,②②③,12, 3, シゲルアオイマツリ,,黒岩悠,192.9,,,, 9, 63.2,⑫⑫⑫,12,14,Ｌヤマタケマツリ, 61,岩部純, 1.2, 57,   3,  -2,14,100.2, ⑧⑩,12,14,Ｆマイネルスパｰブ, 71,丹内祐, 0.8, 58,  -1,  -8, 7, 16.1,⑤⑥⑦
13,15,Ｍサンカｰニｰ, 32,木幡初, 2.4, 44,  -5, -13,14,130.0,⑪⑮⑬,,,,,,,,,,,,,13,13,Ｍサンマルメジャｰル, 59,菱田裕, 1.3, 57,   5,  -5,12, 46.0, ⑥⑥,13, 4,Ｋレディルｰ, 66,杉原誠, 1.4, 53,  -3, -13,14, 85.1,⑨⑨⑪
14, 2,Ｉシゲルカンパチ, 42,加藤祥, 3.3, 37,  -5, -20, 9, 42.7,⑦⑭⑮,,,,,,,,,,,,,14, 4,Ｄワイエムテイラｰ, 68,丸山元, 1.4, 53,  -1,   0, 7, 28.3, ⑫⑫,14, 6,Ｊデスティニｰシチｰ, 67,川須栄, 1.7, 48,*  0, -24, 8, 18.8,⑧④④
15, 4,Ｏパイナップルキング, 23,伊藤工, 5.8, 22,  -3, -44,10, 65.0,③⑪⑭,,,,,,,,,,,,,15, 3,Ｉカレリア, 64,井上敏, 1.4, 55,   4,  -5,10, 36.9, ⑦⑦,15,15,Ｍオカホンコｰ, 62,菱田裕, 1.9, 47,*  0, -28,11, 34.1,②②⑥
,,,,,,,,,,,,,,,,,,,,,,,,16, 8,Ｎセカイノカナ, 57,原田和, 3.3, 36, -12,  -7,16,260.5, ⑯⑯,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:良(指数:0),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:0),,,,,,,,,,,
"単勝:6,950円 複勝:12=1,740円 11=190円 01=150円 枠連:3,540円",,,,,,,,,,,,単勝:290円 複勝:08=140円 07=130円 12=200円 枠連:510円,,,,,,,,,,,,"単勝:1,500円 複勝:16=410円 01=280円 06=420円 枠連:4,800円",,,,,,,,,,,,"単勝:1,380円 複勝:03=330円 05=340円 13=480円 枠連:2,050円",,,,,,,,,,,
"馬連:15,050円 ワイド:11-12=3,760円 01-12=4,900円 01-11=440円",,,,,,,,,,,,馬連:520円 ワイド:07-08=220円 08-12=450円 07-12=450円,,,,,,,,,,,,"馬連:8,460円 ワイド:01-16=2,250円 06-16=4,200円 01-06=2,140円",,,,,,,,,,,,"馬連:5,250円 ワイド:03-05=1,400円 03-13=3,030円 05-13=3,300円",,,,,,,,,,,
"馬単:35,070円 3連複:15,010円 3連単:115,390円",,,,,,,,,,,,"馬単:1,080円 3連複:1,110円 3連単:4,160円",,,,,,,,,,,,"馬単:15,430円 3連複:42,050円 3連単:300,660円",,,,,,,,,,,,"馬単:8,010円 3連複:37,330円 3連単:170,360円",,,,,,,,,,,
■ 2R  芝2000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 5R  芝3350m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 8R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■11R  芝2600m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ﾌﾙｰﾂﾗｲﾝｶｯﾌﾟ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｊウインテンダネス, 44,加藤祥,, 56,*  8, -26, 7, 18.5,②②②, 1, 6, テイエムオペラドン,,中村将,,,,, 4,  6.7,①①①, 1,11,Ｇスマｰトカルロス, 65,鮫島克,, 70,   2,   9, 3,  5.7, ⑧⑧, 1, 4,Ａヤマニンボワラクテ, 86,藤懸貴,, 80,  10,  -3, 1,  3.0,⑦③②
 2, 3,Ｆレｰヌドコロｰル, 48,吉田隼, 0.3, 53,   5,*-24, 3,  5.6,⑥⑥③, 2, 2, ラステラ,,浜野谷,223.8,,,, 3,  6.5,③②②, 2,12,Ｅコスモマイルｰル, 67,井上敏, 0.0, 69,  -2,* 13, 7, 15.3, ⑬⑫, 2, 1,Ｋディスキｰダンス, 73,石橋脩, 0.0, 80,   9,   4, 7, 14.6,⑫⑪⑧
 3, 1,Ｃルｰレットクイｰン, 52,井上敏, 0.3, 52,* 10, -33, 4,  7.8,①①①, 3,11, ダンツメガヒット,,小坂忠,223.8,,,, 1,  2.3,⑤④④, 3,10,Ｉスリｰネルソン, 65,森一馬, 0.0, 70,  -9,* 20,15, 82.3, ⑯⑯, 3, 8,Ｈレイトライザｰ, 76,菱田裕, 0.0, 79,   8,*  8, 6, 10.8,⑭⑬⑮
 4,10,Ａサンホッブズ, 54,古川吉, 0.4, 53,   3,*-18, 5,  8.0,⑫⑫⑪, 4, 8, エｰスワン,,小野寺,224.7,,,,11, 86.8,②③③, 4, 4,Ｈオウノミチ, 65,加藤祥, 0.1, 68,   7,   3, 6, 10.2, ⑤③, 4,10,Ｆレイズアスピリット, 77,丸山元, 0.0, 79,   8,*  8, 3,  8.0,⑮⑭⑪
