15年 9月 6日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 9月 6日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1500m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 7R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝1200m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,すずらん賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ａブレイブスマッシュ, 62,横山典,, 62,   1,*  1, 1,  1.5,④⑥②, 1,13,Ａデュアルフレイム, 67,勝浦正,, 61,   7,  -5, 1,  2.9,⑧③②, 1,10,Ｃエクシｰドリミッツ, 73,三浦皇,, 81,* 14,  -2, 1,  2.6, ①①, 1, 5,Ｃオデュッセウス, 56,三浦皇,, 61,* -5,  -2, 1,  3.7, ②②
 2, 5,Ｅメイショウアンカｰ, 49,四位洋, 0.8, 53,  -1,  -8, 2,  5.5,⑦⑦⑧, 2, 4,Ｂレイズユアハンズ, 67,福永祐, 0.0, 62,   5,* -3, 2,  4.8,⑦⑦④, 2, 1,Ａホスト, 77,丹内祐, 0.2, 75,   6,   3, 2,  4.0, ⑤③, 2, 2, フレンチイデアル,---,岩橋勇, 0.0, 61, -11,*  3, 8, 25.6, ⑧⑨
 3, 1,Ｃグランプリアクセル, 52,藤岡康, 0.8, 54,  -1,  -6, 4,  8.2,⑥⑧⑦, 3,12,Ｅラブトゥｰマッチ, 63,横山典, 0.6, 56,   1,*  0, 7, 11.6,⑫⑫⑪, 3, 7,Ｋムｰンドロップ, 61,井上敏, 0.2, 74,   1,*  9,12, 84.1, ⑫⑫, 3, 1,Ｅボｰダレス, 54,横山典, 0.1, 58,  -7,  -2, 2,  3.8, ③④
 4, 7,Ｂミスズスタｰ, 54,池添謙, 0.9, 52,  -3,  -4, 5, 20.6,⑩⑩⑨, 4, 7,Ｇマゼンタ, 60,菱田裕, 0.8, 57,   4,  -7, 6, 11.4,⑨⑧⑥, 4,12,Ｇカレンロｰザネｰラ, 70,津村明, 0.2, 77,* 12,  -2, 7, 16.3, ②②, 4,12,Ｄドナルチア, 55,菱田裕, 0.2, 61, -14,*  5, 5,  9.4, ⑬⑧
 5,11,Ｇポッドガゼｰル, 47,三浦皇, 1.0, 51,  -6,* -2, 8, 42.1,⑬⑬⑩, 5, 9,Ｌエｰデルフラウ, 46,加藤祥, 0.8, 56,   6, -10, 4,  8.5,⑥⑤⑤, 5, 4,Ｄノミネｰション, 73,福永祐, 0.2, 76,   9,   1, 3,  7.9, ④④, 5, 9, ジャｰニｰマン,---,桑村真, 0.3, 57, -12,   1, 7, 20.0, ⑨⑪
 6, 3,Ｈミュゼジュリエット, 44,菱田裕, 1.0, 54,*  7, -20, 6, 33.2,①①①, 6, 1,Ｈセイセイセイ, 58,桑村真, 0.9, 57,   3,  -6,12,182.2,⑪⑩⑨, 6, 5,Ｈエクスシア, 70,城戸義, 0.3, 74,   4,*  5,10, 69.0, ⑨⑨, 6,13,Ｈコパノディｰル, 37,阿部龍, 0.4, 57, -14,*  2,13,134.6, ⑫⑫
 7,10,Ｆヤマカツサファイヤ, 49,藤田伸, 1.9, 43,   3, -27, 7, 39.6,⑤③④, 7, 2,Ｊハッスルカフェ, 56,四位洋, 1.1, 56,   3,  -9,10, 39.8,⑬⑪⑩, 7,13,Ｂランウェイ, 77,加藤祥, 0.3, 74,   5,   3, 5, 10.3, ⑧⑥, 7, 7,Ａマダムクレアシオン, 59,福永祐, 0.7, 51,  -6,  -9, 3,  6.0, ④③
 8, 2,Ｊクラウンエイトドア, 32,黛弘人, 2.1, 42,   2, -26,10,184.5,③④⑥, 8, 3,Ｉダイニヨシゼン, 57,井上敏, 1.2, 53,   6, -15, 9, 33.6,②④⑦, 8, 6,Ｆハプスブルク, 72,杉原誠, 0.4, 73,   4,   4, 9, 23.7, ⑩⑩, 8,14, マラドｰナスピン,---,井上俊, 0.8, 51, -16,  -2,14,173.1, ⑭⑭
