15年 8月22日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 8月22日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 7R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■10R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,小樽特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｂマダムクレアシオン, 56,福永祐,, 57,   4,*-12, 4,  5.1, ⑥④, 1,10,Ａエスティルンバ, 66,横山典,, 63,  -3,*  8, 7, 10.2,⑫⑫⑨, 1, 4,Ａシップｰコウライ, 69,福永祐,, 61,* -1,  -4, 3,  4.3,④④①, 1, 3,Ｌアドマイヤゴッド, 62,丸山元,, 71,   7,*  4, 7, 15.3, ⑦⑥
 2, 1,Ｈシシャモスペシャル, 39,加藤祥, 0.1, 56,   5, -15, 7, 39.6, ③③, 2,13,Ｃエヴリホｰプ, 65,城戸義, 0.2, 65,   0,*  1, 3,  7.3,⑥⑤③, 2, 1,Ｂピアノコンチェルト, 66,ルメｰ, 0.1, 62,  -5,*  1, 1,  2.7,⑩⑪⑩, 2,16,Ｂエクシｰドリミッツ, 72,三浦皇, 0.1, 74,* 15,  -5, 2,  6.3, ①①
 3, 4,Ｆノアビジン, 46,田中健, 0.2, 57,*  8, -19, 6, 23.5, ①①, 3, 8,Ｇキタノマドンナ, 61,井上敏, 0.5, 60,*  2,  -6, 9, 13.8,②②②, 3,13,Ｄガニメｰド, 62,勝浦正, 0.4, 59,  -6,*  0, 5, 12.2,⑬⑬⑬, 3,15,Ｋコスモマイルｰル, 63,井上敏, 0.2, 67,   0,* 10,16,329.5, ⑮⑪
 4, 6,Ｄメイショウトキン, 49,藤岡康, 0.3, 53,   2, -15, 2,  3.7, ⑦⑦, 4,12,Ｂテップシｰ, 65,加藤祥, 0.5, 61,  -2,*  1, 1,  3.8,⑪⑨⑥, 4,11,Ｆマインリｰバｰ, 59,丸山元, 0.7, 55,  -4,  -9, 7, 24.5,⑫⑫⑫, 4, 1,Ｅダイワプロパｰ, 69,加藤祥, 0.2, 70,  11,  -2, 3,  6.5, ④②
 5, 2,Ｅタカイチモン, 47,城戸義, 0.4, 52,   2, -16, 5, 12.3, ⑤⑥, 5, 3,Ｊプラチナムスタング, 53,横山和, 1.6, 55,  -2,  -9,12,123.2,⑤⑧⑦, 5, 6,Ｈオｰルマイアイ, 57,藤岡康, 0.8, 54,  -3, -13, 2,  4.2,⑤⑦⑦, 5, 5,Ｈサウンドドゥイット, 66,松田大, 0.3, 68,   8,   1, 6, 11.0, ⑧⑨
 6, 5,Ａコウセイカルメン, 58,松田大, 0.6, 50,  -4,*-10, 1,  3.0, ⑩⑩, 6, 2,Ｋハマギク, 50,藤田伸, 1.8, 52,  -4,  -5, 8, 11.7,⑬⑬⑫, 6, 2,Ｍアグネスイヴァン, 51,古川吉, 0.8, 53,  -4, -12,14,156.3,⑦⑧⑤, 6, 2,Ｐイズモ, 55,柴山雄, 0.4, 70,* 14,  -7,12, 41.2, ②③
 7,11,Ｇスｰパｰラビット, 40,柴山雄, 0.8, 48,   5, -24, 8, 53.0, ④⑤, 7, 4,Ｍフロリアｰド, 47,丸田恭, 1.9, 49,*  3, -19, 6,  9.5,①①①, 7, 8,Ｃマイネルプロンプト, 62,黛弘人, 0.9, 53,* -1, -17, 4,  7.3,⑥⑤④, 7, 9,Ａアミｰキティア, 72,丸田恭, 0.5, 64,   7,  -2, 5, 10.1, ⑨⑩
 8, 7,Ｃミスズスタｰ, 55,池添謙, 1.2, 43,*  6, -31, 3,  4.9, ②②, 8, 9,Ｄマルトクビクトリｰ, 65,松田大, 2.3, 48,   0, -17, 5,  8.4,⑦⑥⑤, 8, 7,Ｋアキタノユキ, 56,丹内祐, 1.2, 48,  -3, -19, 9, 44.3,⑨⑥⑥, 8, 8,Ｍグランジゲレイロ, 60,福永祐, 0.6, 64,   9,  -5, 9, 22.1, ⑥⑦
