15年 8月 9日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 8月 9日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 4R  芝2900m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,別府特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｄレッドラウダ, 43,松若風,, 51,*  1, -17, 1,  1.9, ①①, 1, 7, ファイアｰシチｰ,,小坂忠,,,,, 2,  3.3,⑤②②, 1,16,Ａタガノカムイ, 65,川田将,, 64,* -4,  -2, 1,  1.6,④②②, 1, 2,Ｇアドマイヤナイト, 68,浜中俊,, 78,   4,   7, 2,  3.7, ④④
 2, 9,Ａウインクレド, 51,和田竜, 0.2, 49,*  0, -18, 2,  4.3, ②②, 2, 5, メイショウヒデタダ,,難波剛,193.2,,,, 3,  3.8,①①①, 2, 1,Ｃマイネルオルデン, 63,幸英明, 0.1, 68,  -7,*  6, 2,  5.9,⑮⑬⑦, 2, 3,Ｃアドマイヤクｰガｰ, 70,川田将, 0.3, 74,  -5,* 12, 7, 21.3, ⑩⑩
 3, 1,Ｆエスペランサリュウ, 32,国分恭, 0.4, 46,  -1, -19, 6, 16.8, ③③, 3, 1, アｰサｰバロｰズ,,林満明,193.9,,,, 1,  3.0,③③③, 3,13,Ｈミルクアロｰ, 58,小牧太, 0.2, 63,  -7,*  1, 4, 14.3,⑰⑧④, 3, 8,Ａオヒア, 80,酒井学, 0.3, 74,* 11,  -3, 1,  3.1, ②①
 4, 7,Ｈクｰルゲンノスケ, 30,国分優, 0.6, 40, -16,* -7,12,258.8, ⑪⑩, 4, 6, キングオブタイム,,北沢伸,194.6,,,, 4,  5.4,④④④, 4, 6,Ｄレレオｰネ, 60,パｰト, 0.3, 63,  -8,*  4, 3,  6.5,⑪⑭⑨, 4, 1,Ｄフェブノヘア, 70,太宰啓, 0.4, 72,  -1,   7, 5,  7.8, ⑦⑤
 5,12,Ｇグロｰスハック, 31,川田将, 0.8, 39, -14,*-11, 8, 40.1, ⑨⑨, 5, 3, トウケイムｰン,,黒岩悠,196.0,,,, 5, 11.4,②⑤⑤, 5, 5,Ｆチェイスザチャンス, 58,柴田未, 0.6, 58,  -7,  -3,11, 79.8,⑨⑩⑪, 5, 4,Ｈカシノワルツ, 67,義英真, 0.5, 71,  -5,* 10, 9, 41.5, ⑨⑧
 6,11,Ｅクリノセゴビア, 38,松山弘, 0.8, 39,  -5, -20, 3,  8.6, ⑦⑤, 6, 4, ロｰガンカズマ,,植野貴,196.2,,,, 7, 33.8,⑦⑦⑦, 6, 3,Ｇウインハインズ, 58,松山弘, 1.0, 56,  -7,  -7, 5, 19.0,⑩⑫⑬, 6, 9,Ｂデンコウヒノマル, 72,幸英明, 0.6, 70,  10,  -6, 4,  6.4, ③③
 7, 6,Ｂアフェクト, 50,パｰト, 0.9, 37,  -9, -18, 4, 11.1, ⑧⑦, 7, 2, サンレイロッキｰ,,森一馬,197.2,,,, 6, 16.2,⑥⑥⑥, 7,17,Ｏエイユｰビリｰヴ, 43,川須栄, 1.3, 47,* -4, -19,13,145.2,⑬④③, 7, 7,Ｅキタサンエピソｰド, 69,小牧太, 0.6, 70,   3,   0, 3,  5.9, ⑤⑥
 8, 5,Ｉタイセイマライカ, 28,幸英明, 1.2, 36,  -2, -28, 7, 28.9, ⑥⑧,,,,,,,,,,,,, 8,14,Ｍプレシャスロｰド, 49,酒井学, 1.6, 45,* -4, -23,10, 63.2,①③⑤, 8, 5,Ｆラｰストチカ, 68,松山弘, 0.7, 69,  -1,   3, 8, 36.1, ⑧⑨
 9, 8,Ｊメイショウヨイチ, 18,鮫島克, 1.6, 29,  -1, -35,10,151.1, ④⑥,,,,,,,,,,,,, 9, 2,Ｐメイショウアナベル, 42,太宰啓, 1.7, 45,  -9, -15,15,161.7,⑫⑯⑮, 9,10,Ｊクリノヤクマン, 58,川島信, 1.0, 65,   1,  -4,10,149.2, ⑥⑦
10, 3,Ｌカシノナイト,  8,義英真, 1.7, 29, -16, -22, 9,105.1, ⑩⑪,,,,,,,,,,,,,10,11,Ｉビュトンドｰル, 57,松若風, 1.7, 44,  -7, -19, 6, 19.1,③⑨⑧,10, 6,Ｉクｰファナイン, 64,和田竜, 2.5, 45,* 11, -32, 6,  8.8, ①②
11, 2,Ｋナムラホビット, 11,川須栄, 1.9, 29, -19, -20,11,171.7, ⑫⑫,,,,,,,,,,,,,11, 4,Ｌフェリシダｰデス, 52,三津谷, 1.7, 46,  -8, -15,12, 83.6,⑧⑮⑭,,,,,,,,,,,,
12,10,Ｃイイデシロ, 45,藤岡佑, 2.1, 23,  -1, -41, 5, 12.1, ⑤④,,,,,,,,,,,,,12,12,Ｅシャイニｰビｰム, 59,浜中俊, 1.8, 43,* -3, -28, 8, 39.4,⑯①①,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,13,10,Ｑジョイジョイ, 42,高倉稜, 1.9, 44,  -7, -23,16,166.9,⑦⑦⑥,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,14, 8,Ｒエイシンマｰゼリン, 39,和田竜, 1.9, 43,  -7, -23, 9, 53.3,⑥⑥⑩,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,15,15,Ｊテイエムマテンロウ, 54,義英真, 1.9, 42,  -6, -25, 7, 19.4,②⑤⑫,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16, 7,Ｋバトルハイスポット, 53,藤懸貴, 2.5, 37,  -7, -29,17,177.2,⑤⑪⑯,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,17,18,Ｎワンダｰスパイア, 44,国分恭, 2.5, 41, -11, -19,14,156.4,⑭⑰⑰,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-12 馬場:良(指数:0),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:0),,,,,,,,,,,
単勝:190円 複勝:04=110円 09=130円 01=240円 枠連:260円,,,,,,,,,,,,単勝:330円 複勝:07=170円 05=210円 枠連:0円,,,,,,,,,,,,単勝:160円 複勝:16=110円 01=150円 13=260円 枠連:470円,,,,,,,,,,,,"単勝:370円 複勝:02=150円 03=370円 08=140円 枠連:4,540円",,,,,,,,,,,
馬連:340円 ワイド:04-09=170円 01-04=540円 01-09=880円,,,,,,,,,,,,馬連:780円 ワイド:05-07=270円 01-07=160円 01-05=240円,,,,,,,,,,,,"馬連:490円 ワイド:01-16=250円 13-16=500円 01-13=1,400円",,,,,,,,,,,,"馬連:4,510円 ワイド:02-03=950円 02-08=270円 03-08=1,380円",,,,,,,,,,,
"馬単:520円 3連複:1,520円 3連単:3,530円",,,,,,,,,,,,"馬単:1,520円 3連複:460円 3連単:3,260円",,,,,,,,,,,,"馬単:620円 3連複:2,230円 3連単:6,470円",,,,,,,,,,,,"馬単:6,100円 3連複:4,010円 3連単:26,530円",,,,,,,,,,,
■ 2R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 5R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■11R  芝2000m 3歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,農林水産省賞典 小倉記念 ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｂコウエイラブリｰ, 70,幸英明,, 67,*  4,   1, 2,  3.7, ①①, 1, 6, パｰルフュｰチャｰ,---,川田将,, 50,* -8,  -9, 1,  1.9,③②②, 1, 6,Ａブロンクスシルバｰ, 74,浜中俊,, 68,   2,* 11, 1,  1.4,④③③, 1,15,Ｂアズマシャトル, 89,松若風,, 88,  19,*  1, 6,  8.8,⑫⑪⑬
 2,10,Ｄメイショウボノム, 67,鮫島克, 0.2, 65,*  1,   1, 3,  5.7, ②②, 2,10, トウケイイダテン,---,鮫島克, 0.2, 47, -10,* -7, 5, 13.9,⑥⑥④, 2, 7,Ｈメジャｰガラメキ, 57,川田将, 0.0, 68,*  2,   9, 2,  5.1,②②②, 2, 5,Ｐベルｰフ, 76,パｰト, 0.2, 87,  19,  -3, 2,  6.0,⑪⑩⑧
 3, 9,Ｌトシザラブリｰ, 47,酒井学, 0.5, 63,   0,   0, 6, 22.5, ④③, 3, 4, シゲルシｰラカンス,---,幸英明, 0.3, 48,  -9, -10, 6, 18.8,⑤⑤③, 3, 1,Ｃエイユｰラピス, 66,鮫島克, 0.3, 65,*  3,   5, 4, 11.4,①①①, 3, 3,Ｃウインプリメｰラ, 88,和田竜, 0.2, 87,* 22,  -9, 3,  6.8,③③②
 4, 2,Ｅノｰブルコスマｰ, 56,義英真, 0.8, 58,  -5,  -1, 7, 32.4, ⑤⑤, 4, 7, テイエムハヤブサ,---,国分恭, 0.4, 48, -11,* -7, 8, 41.2,⑧⑨⑧, 4, 8,Ｂエヴォリュｰション, 71,太宰啓, 1.1, 61,   0,   3, 3,  6.2,⑤⑤④, 4,10,Ｊクランモンタナ, 82,浜中俊, 0.2, 88,  18,*  2, 8, 20.7,⑭⑯⑰
 5, 5,Ｈヴェスペルティリオ, 54,和田竜, 0.8, 57, -13,*  5,10, 70.0, ⑨⑦, 5, 3, ジｰベロニカ,---,酒井学, 0.6, 45, -13,* -7, 9, 44.9,⑩⑫⑪, 5, 4,Ｇシゲルギオンマツリ, 58,和田竜, 1.7, 58,  -4,   6, 7, 41.8,⑧⑧⑧, 5, 6,Ａマロｰブルｰ, 90,川田将, 0.3, 86,  20,  -8, 1,  3.5,⑧⑥⑦
 6, 3,Ａタイキレガトゥス, 75,藤岡佑, 0.8, 56,  -8,   1, 1,  2.1, ⑦⑧, 6, 9, ポケットチャｰリｰ,---,和田竜, 0.7, 44, -10, -14, 7, 25.1,⑨⑦⑨, 6, 3,Ｆタガノレオｰネ, 64,松山弘, 2.3, 53,  -3,  -2, 6, 36.3,⑦⑦⑦, 6, 1,Ｅパッションダンス, 88,藤岡佑, 0.4, 84,  20,  -8, 4,  7.3,⑦⑨⑤
 7,11,Ｆテイエムオタカラ, 55,小牧太, 1.0, 56, -13,   3, 8, 34.9, ⑩⑨, 7, 1, ウインハｰトビｰト,---,松山弘, 0.9, 40,* -8, -23, 3,  8.7,①①①, 7, 5,Ｄダンシング, 64,幸英明, 2.6, 49,   0, -10, 5, 16.1,⑥④⑤, 7,12,Ｌマデイラ, 81,酒井学, 0.6, 84,  16,* -2,12, 62.4,⑯⑮⑭
 8, 1,Ｇドナソレイユ, 54,川田将, 1.1, 56,  -2,  -5, 5, 13.6, ③④, 8, 2, クロコダイルロック,---,浜中俊, 1.0, 39, -10, -17, 2,  4.3,⑦⑧⑦, 8, 2,Ｅメイショウマツシマ, 64,鮫島良, 3.4, 46,  -2, -13, 8, 62.9,③⑥⑥, 8, 2,Ｍオｰシャンブルｰ, 81,松山弘, 0.9, 83,  18, -10,10, 38.2,⑩⑫⑨
 9,12,Ｃグレｰトブレス, 69,秋山真, 1.1, 52, -20,*  7, 4,  9.6, ⑫⑫, 9,11, クリノヴェルサイユ,---,小牧太, 1.1, 39,* -7, -24, 4, 12.5,②③⑤,,,,,,,,,,,,, 9, 4,Ｎナリタスｰパｰワン, 81,武幸四, 0.9, 81,  16,  -6,15, 71.5,⑮⑭⑯
10, 8,Ｉノンリケット, 53,松若風, 1.2, 54, -16,   3,12,114.1, ⑪⑪,10, 8, メイショウミツタダ,---,川島信, 2.0, 30, -12, -29,10, 61.0,⑪⑩⑩,,,,,,,,,,,,,10,14,Ｋタガノグランパ, 82,鮫島克, 1.1, 78,  18, -12, 7, 17.4,⑬⑬⑪
11,14,Ｊロザムンデ, 51,太宰啓, 1.5, 51,  -5,  -7, 9, 63.3, ⑥⑥,11, 5, ワンアフタｰ,---,松若風, 2.9, 21, -12, -42,11, 75.0,⑫⑪⑫,,,,,,,,,,,,,11, 8,Ｆノボリディアｰナ, 84,幸英明, 1.1, 78,* 23, -25, 9, 20.9,①①①
12, 6,Ｋアドマイヤゼン, 50,松山弘, 2.5, 39, -31,   0,11,104.5, ⑬⑬,12,12, スナｰクレッド,---,太宰啓, 3.1, 21,  -9, -52,12,118.8,④④⑥,,,,,,,,,,,,,12,13,Ｈメイショウナルト, 82,秋山真, 1.2, 77,* 22, -23, 5,  7.6,④④④
13, 4,Ｍルｰナヴェント, 35,川須栄, 2.7, 38,  -9, -16,13,238.1, ⑧⑩,,,,,,,,,,,,,,,,,,,,,,,,,13,17,Ｉゼンノルジェロ, 82,熊沢重, 1.4, 74,  20, -23,13, 65.9,⑨⑧⑥
14,13, ツルミスカイ,---,川島信, 3.5, 27, -38,  -4,14,291.7, ⑭⑭,,,,,,,,,,,,,,,,,,,,,,,,,14, 9,Ｏフレｰジャパン, 77,国分恭, 1.5, 77,  15, -10,17,174.2,⑰⑰⑮
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15, 7,Ｇゲシュタルト, 82,川須栄, 2.2, 67,  20, -35,16,114.4,⑤⑤⑩
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,11,Ｑバッドボｰイ, 73,小牧太, 2.4, 67,* 22, -42,11, 50.8,②②③
