15年10月 4日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年10月 4日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝1200m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,勝浦特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12,14,Ｆファイアブランド, 48,木幡初, 3.7, 35,  -5, -18,15,314.8, ⑬⑬,12,11, ベルホルト,---,柴田善, 1.8, 31, -31,  -9, 7, 24.4, ⑭⑭,12,14,Ｌパイナワレア, 61,吉田豊, 1.1, 64,*  6, -14,11, 45.8,③③③,12,16,Ｃエビスグレイト, 76,ルメｰ, 0.8, 73,  -6,  11, 6, 11.9, ⑫⑬
13, 9,Ｅエフディサンゼン, 49,井上敏, 4.1, 31, -16, -13,13,220.7, ⑮⑮,13, 2, シモｰヌ,---,嶋田純, 1.9, 27, -17, -25,13, 85.8, ④⑥,13, 7,Ｎブルｰホｰル, 58,横山和, 1.3, 61,*  9, -19,10, 40.1,②②②,13,14,Ｈスカイキュｰティｰ, 73,川田将, 0.8, 73,  -5,   9,14, 51.2, ⑪⑪
14,15,Ｍペンドラゴン, 36,勝浦正, 4.1, 31,  -3, -25, 9, 53.8, ⑩⑪,14,13, スｰパｰエメラルド,---,大野拓, 2.8, 17, -16, -36, 6, 21.6, ⑦⑦,14, 6,Ｐガラハッド, 46,江田照, 1.5, 59,   4, -14,13, 99.9,⑧⑦⑨,14,10,Ｋマイネルエスパス, 70,柴田大, 0.9, 71,*  5,  -3, 7, 18.1, ③③
15,13,Ｏスｰパｰプレイ, 21,原田和, 4.9, 24,  -2, -32,12,203.2, ⑨⑫,15,16, バルドスカイ,---,菅原隆, 3.1, 13, -33, -24,16,242.9, ⑮⑮,15,12,Ｍサクラプレミア, 59,四位洋, 2.4, 50,  -2, -18,15,159.6,⑭⑬⑫,15, 9,Ｅブルジュオン, 76,吉田隼, 1.0, 70,  -8,   9,15, 52.9, ⑬⑩
16, 8,Ｐシャマシュ, 17,野中悠, 5.4, 19, -12, -27,16,405.4, ⑭⑭,16,14, ミョウジュ,---,嘉藤貴, 4.1, -1, -34, -36, 4, 14.2, ⑯⑯,16, 3,Ｏアイルビｰホｰム, 56,柴田善, 4.8, 26,   0, -57,14,125.5,⑥⑩⑯,16, 5,Ｏショウナンワダチ, 68,岩田康, 1.2, 69, -13,  12,12, 45.0, ⑮⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:稍重(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:53 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:0),,,,,,,,,,,
単勝:160円 複勝:07=110円 03=160円 10=140円 枠連:510円,,,,,,,,,,,,単勝:150円 複勝:15=110円 12=550円 04=200円 枠連:800円,,,,,,,,,,,,"単勝:610円 複勝:04=190円 08=140円 01=190円 枠連:1,140円",,,,,,,,,,,,"単勝:770円 複勝:03=340円 06=1,180円 12=770円 枠連:4,530円",,,,,,,,,,,
馬連:650円 ワイド:03-07=270円 07-10=190円 03-10=580円,,,,,,,,,,,,"馬連:1,910円 ワイド:12-15=1,000円 04-15=350円 04-12=2,730円",,,,,,,,,,,,"馬連:1,260円 ワイド:04-08=450円 01-04=720円 01-08=460円",,,,,,,,,,,,"馬連:17,580円 ワイド:03-06=5,340円 03-12=2,470円 06-12=9,040円",,,,,,,,,,,
