15年 4月19日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 4月19日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝2200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 7R  ダ1800m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  ダ1200m 4歳上ｵｰﾌﾟﾝ(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,京葉ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,16,Ｄセンコウノマイヒメ, 56,大野拓,, 64,*  4,  -4, 6, 12.3, ④④, 1, 9,Ａスプレンデレ, 74,福永祐,, 72,  -2,* 14, 2,  2.9,⑩⑪⑩, 1, 4,Ｂアポロケンタッキｰ, 73,和田竜,, 71,   9,*  3, 1,  3.7,⑦⑥④, 1,11,Ｂレｰザｰバレット, 90,横山典,, 80,  -8,* 25, 1,  2.9, ⑯⑯
 2,14,Ｃプラセンタ, 57,江田照, 0.1, 62,   1,* -2, 7, 16.4, ⑦⑦, 2,18,Ｅアンギアｰリ, 59,ルメｰ, 0.1, 70,  -2,*  9, 1,  1.9,⑧⑩⑨, 2,14,Ｆパワｰポケット, 69,浜中俊, 0.0, 71,* 11,  -1, 8, 20.9,①①①, 2,15,Ｇペイシャモンシェリ, 87,福永祐, 0.1, 80,   5,  13, 2,  6.2, ⑦⑤
 3, 8,Ｈタイセイゴッホ, 51,戸崎圭, 0.5, 58,   1,  -6, 5,  9.7, ⑥⑥, 3,14,Ｃマイネルフレッチャ, 65,柴田大, 0.2, 70,*  2,  -2, 4, 13.9,⑰③③, 3, 3,Ｎニットウスバル, 56,柴田善, 0.3, 68,   9,   0, 9, 27.4,④⑤②, 3,16,Ｅラヴィアンクレｰル, 87,デムｰ, 0.1, 79,   1,  16, 6, 12.1, ⑪⑨
 4,15,Ｌカナリ, 48,三浦皇, 0.8, 58,*  6, -13, 4,  9.2, ①①, 4, 6,Ｂヤギリヴィｰナス, 66,武豊  , 0.3, 67,*  2,  -3, 3,  5.7,①①①, 4,15,Ｇロｰドシャリオ, 69,岩田康, 0.5, 67,* 11,  -4, 2,  4.7,②②③, 4, 6,Ｌキクノストｰム, 83,戸崎圭, 0.1, 79,  -5,* 21,10, 33.5, ⑭⑭
 5, 1,Ｂラミアカｰサ, 60,井上敏, 0.8, 57,   1,  -8, 2,  4.2, ⑤⑤, 5, 3,Ｉスタｰキャスト, 52,大野拓, 0.9, 64,  -2,   0, 8, 78.4,⑨⑧⑥, 5,16,Ｅエグランティｰナ, 70,三浦皇, 0.5, 69,   6,*  4,11, 31.1,⑭⑮⑫, 5, 2,Ｊメイショウノｰベル, 85,蛯名正, 0.2, 79,   3,  13, 4,  8.1, ⑧⑦
 6, 4,Ｅナゲットレイツ, 54,岩部純, 0.9, 52, -11,*  1,12,109.8, ⑭⑬, 6, 1,Ｎノアブギｰ, 43,川島信, 0.9, 62,*  0,  -6,14,274.3,④⑤④, 6, 6,Ｍカラマ, 58,柴山雄, 0.6, 65,   7,   2, 6, 12.7,⑮⑬⑨, 5,12,Ｋマルカバッケン, 84,田中勝, 0.2, 79,  -3,  19,12, 37.5, ⑬⑫
 7,13,Ｉサンマｰシャル, 49,川島信, 0.9, 55,  -6,* -1,10, 89.4, ⑫⑪, 7, 7,Ｄレオアルテミス, 61,横山典, 0.9, 63,  -4,*  5, 6, 30.5,⑬⑫⑪, 7, 7,Ｊムｰンレンジャｰ, 68,武豊  , 0.6, 65,   7,   2, 3,  5.2,⑫⑫⑪, 7, 8,Ａサウンドガガ, 91,武豊  , 0.2, 78,*  6,  10, 3,  6.7, ③③
 8,11,Ｇクリｰミｰボイス, 51,デムｰ, 1.2, 54,*  5, -15, 1,  2.6, ③③, 8, 5,Ｈトドロキキシボジン, 53,菱田裕, 1.4, 58,  -4,  -2,17,299.5,⑪⑬⑬, 8, 5,Ｉアオイオンリｰワン, 68,戸崎圭, 0.7, 66,   5,*  4, 4,  7.2,⑯⑯⑬, 8, 3,Ｃタイセイファントム, 88,内田博, 0.3, 78,   6,  10,14, 47.6, ④⑥
