15年11月 7日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年11月 7日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 4R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 7R  ダ1300m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝2000m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ﾉﾍﾞﾝﾊﾞｰｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｆトモジャポルックス, 48,柴田善,, 55,  -2,  -4, 2,  5.0, ⑤⑤, 1, 2,Ａダイチラディウス, 63,石川裕,, 63, -17,* 18, 2,  6.7,⑥⑥⑥, 1,15,Ｎスモｰダリング, 60,戸崎圭,, 71,*  0,   8, 4, 11.1, ③③, 1,10,Ｂショウナンバッハ, 87,田辺裕,, 88,   4,* 22, 2,  3.8,⑩⑩⑩
 2, 5,Ｂスプリングガｰル, 58,江田照, 0.2, 54,  -4,* -3, 3,  7.0, ⑦⑥, 2, 9,Ｅキングオブアｰムズ, 43,北村宏, 0.0, 61, -15,  14, 1,  1.2,⑤⑤④, 2, 4,Ｄウェイトアンドシｰ, 71,大野拓, 0.0, 71,*  2,   7, 1,  2.2, ②②, 2, 7,Ｉマテンロウボス, 74,横山典, 0.3, 84,   6,  16, 4,  7.1,⑦⑨⑨
 3, 3,Ｃカラクプア, 58,戸崎圭, 0.4, 52,  -5,* -3, 1,  1.6, ⑪⑨, 3, 4,Ｄエンジニア, 43,内田博, 0.0, 63, -16,* 17, 3,  7.0,③④⑤, 3, 5,Ｌナンヨｰアイリッド, 64,柴田善, 0.0, 72,  -8,* 17,13, 67.1, ⑭⑭, 3, 9,Ｄカムフィｰ, 79,デムｰ, 0.4, 81,   5,  13, 3,  4.7,⑨⑧⑦
 4,12,Ａレッドリッジ, 61,田中勝, 0.4, 52,  -1,  -9, 4,  7.4, ③③, 4, 6,Ｃワイルドゲｰム, 47,横山典, 0.3, 55, -14,   8, 5, 22.1,①②②, 4,14,Ｍオｰプンザウェイ, 63,吉田豊, 0.2, 70,  -5,* 13, 5, 12.1, ⑩⑫, 4, 4,Ａサムソンズプライド, 91,吉田豊, 0.5, 80,*  8,   6, 1,  3.1,②②②
 5, 8,Ｄコパノミリアン, 53,幸英明, 0.6, 50,  -8,* -2, 6, 24.0, ⑩⑩, 5, 3,Ｈシュティルヴァルト, 35,田辺裕, 0.6, 56, -19,  14, 4, 17.3,⑦⑧⑨, 5, 1,Ｋマコトカンパネッロ, 66,幸英明, 0.4, 70,  -5,  11,10, 27.6, ⑪⑩, 5, 2,Ｇシャドウパｰティｰ, 77,内田博, 0.5, 81,   7,   9, 6, 10.3,⑤⑥⑤
 6,13,Ｇアッキｰ, 46,内田博, 1.0, 49,*  1, -17, 5, 20.0, ②②, 6, 1,Ｇナッツスタｰ, 42,江田照, 0.9, 52, -19,  10, 6, 29.4,⑨⑦⑧, 6,10,Ｇパトロクロス, 70,田辺裕, 0.4, 69,  -6,* 12, 2,  7.3, ⑬⑬, 6, 6,Ｅトｰホウストロング, 78,アッゼ, 0.6, 81,   5,  12, 8, 30.4,⑧⑦⑧
 7, 4,Ｅサンドルトン, 51,松岡正, 1.4, 44,  -5, -12, 7, 40.2, ⑧⑧, 7, 8,Ｂスカｰレットルビｰ, 51,柴田善, 1.1, 45, -15,  -2, 7, 50.9,④③③, 7,16,Ａディスティンダリア, 77,石川裕, 0.4, 69,  -2,   7, 3, 10.5, ⑤⑥, 7, 5,Ｊロジメジャｰ, 73,松岡正, 1.1, 74,*  8,  -5,10, 44.1,①①①
 8,11,Ｋレッドセバスチャン, 32,野中悠, 1.5, 43,  -8,  -8,12,224.9, ⑫⑪, 8, 5,Ｆクリンクリン, 43,柴山雄, 1.1, 41,*-10, -14, 8, 70.7,②①①, 8, 7,Ｂハナズウェポン, 75,デムｰ, 0.5, 67,  -3,   9, 6, 12.3, ⑧⑧, 8, 1,Ｃタイセイドリｰム, 83,戸崎圭, 1.4, 70,   6,  -3, 5,  8.6,④⑤④
