15年 1月17日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 1月17日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 4R  ダ1800m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  ダ1200m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,初春ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12,10,Ｋシンザンユウコク, 39,武士沢, 2.3, 39, -15,  -7,14,349.6, ⑫⑬,12, 4, ブレイクオブディｰ,---,三浦皇, 5.3, 30, -11, -24, 9, 41.8,⑮⑬⑫,12,10,Ｉネコタイショウ, 67,吉田豊, 3.3, 53,   2, -13, 6, 20.2,⑨⑫⑫,12,13,Ｃピンウィｰル, 83,田中博, 1.6, 68,  -7,  11,13, 96.6, ⑬⑫
13, 8,Ｎカンタベリｰマミｰ, 35,大野拓, 2.3, 41, -20,  -2,15,351.0, ⑯⑯,13, 3, コスモアルバトロス,---,柴田大, 5.5, 30, -11, -28,16,175.0,⑬⑫⑬,13, 3,Ｍトｰホウビｰスト, 58,的場勇, 3.5, 53,   4, -19,10, 35.3,②⑧⑩,13,10,Ｍロｰブドヴルｰル, 77,二本柳, 1.6, 69,   7,  -3,16,220.1, ⑥⑥
14, 7,Ｍケンリュウセイ, 35,田中勝, 2.6, 37, -19,  -7,12,106.7, ⑮⑮,14,13, アルファマリニン,---,松岡正, 5.6, 27,* -2, -46,10, 43.2,④③⑦,,,,,,,,,,,,,14, 2,Ｅシンキングマシｰン, 82,大野拓, 1.8, 66, -14,  16, 8, 23.7, ⑯⑯
15, 4,Ｏセイカコムルヴァン, 34,戸崎圭, 3.2, 31, -16, -15,11, 83.9, ⑭⑫,15,14, スカイロケット,---,横山典,15.2,-42, -18, -94, 3,  6.0,⑯⑯⑮,,,,,,,,,,,,,15, 4,Ｂエｰシングリズリｰ, 84,石橋脩, 2.0, 65,  11,  -9, 3,  6.4, ③④
16,16,Ｊスティｰルブルグ, 43,西田雄, 3.3, 31,  -9, -23,10, 36.8, ⑥⑪,16,11, ノウサツ,---,吉田豊,17.5,-59, -16, ---,14,104.0,⑤⑮⑯,,,,,,,,,,,,,16, 6,Ｐレモンチャン, 62,嘉藤貴, 3.4, 53,  10, -21,10, 34.4, ④⑧
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:重(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:重(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:重(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:重(指数:-3),,,,,,,,,,,
"単勝:1,010円 複勝:05=470円 15=210円 14=140円 枠連:3,190円",,,,,,,,,,,,"単勝:960円 複勝:09=250円 05=150円 02=170円 枠連:1,750円",,,,,,,,,,,,"単勝:1,060円 複勝:07=270円 13=180円 04=290円 枠連:1,340円",,,,,,,,,,,,単勝:340円 複勝:14=150円 07=170円 12=240円 枠連:820円,,,,,,,,,,,
"馬連:6,980円 ワイド:05-15=2,010円 05-14=1,040円 14-15=480円",,,,,,,,,,,,"馬連:2,330円 ワイド:05-09=820円 02-09=700円 02-05=320円",,,,,,,,,,,,"馬連:2,510円 ワイド:07-13=780円 04-07=1,410円 04-13=890円",,,,,,,,,,,,馬連:970円 ワイド:07-14=380円 12-14=610円 07-12=830円,,,,,,,,,,,
"馬単:10,720円 3連複:5,190円 3連単:49,810円",,,,,,,,,,,,"馬単:5,000円 3連複:2,760円 3連単:23,150円",,,,,,,,,,,,"馬単:5,270円 3連複:9,090円 3連単:57,190円",,,,,,,,,,,,"馬単:1,780円 3連複:2,570円 3連単:10,570円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 5R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 8R  ダ1200m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■11R  芝1600m 4歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ﾆｭｰｲﾔｰｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ａタマノブリュネット, 69,後藤浩,, 67,  -5,* 12, 3,  4.0,⑫⑧⑤, 1, 6,Ａヴェラヴァルスタｰ, 66,後藤浩,, 53,  -5,*  2, 1,  1.7,⑥⑥⑥, 1,10,Ｃエストゥペンド, 68,ベリｰ,, 64,   0,*  9, 2,  5.6, ⑬⑫, 1,15,Ｄコスモソｰンパｰク, 83,三浦皇,, 83,  10,*  4, 8, 16.4,⑦⑨⑩
 2,13,Ｈタマモボレロ, 48,蛯名正, 0.4, 65,* -4,*  8, 1,  3.3,⑩⑥②, 2, 9,Ｄミュゼゴｰスト, 54,田辺裕, 0.5, 51,  -7,* -2, 2,  5.6,⑦⑦⑦, 2,16,Ｋサクセスコｰド, 64,戸崎圭, 0.0, 65,*  8,   2, 9, 24.9, ④④, 2, 1,Ｆペイシャフェリス, 82,柴山雄, 0.0, 82,* 20, -12, 5,  9.4,①①①
 3,14,Ｂスラリｰアイス, 67,武士沢, 0.9, 59,* -4,   3, 6, 10.8,⑧④①, 3, 5,Ｂシｰドパｰル, 59,石川裕, 0.6, 51,  -6,* -2, 3,  8.6,⑫⑧⑧, 3,11,Ｇデルマオソマツ, 66,ブノワ, 0.1, 65,   2,   6, 5,  8.5, ⑩⑤, 3,11,Ａアｰデント, 85,戸崎圭, 0.0, 81,* 15,  -6, 3,  6.6,⑬③②
 4, 8,Ｃユアザイオン, 65,戸崎圭, 0.9, 60,  -5,   4, 4,  8.3,⑦⑦⑦, 4,13,Ｍクｰトネイ, 42,柴田大, 0.7, 49,* -4, -12,12,143.8,②②②, 4,14,Ｎナンヨｰルｰク, 62,江田照, 0.3, 62,   4,   3, 8, 16.3, ⑥⑦, 4, 2,Ｂリルダヴァル, 85,ベリｰ, 0.2, 80,  14,  -5, 6, 14.6,⑧⑥⑥
 5, 1,Ｄパルパルパピヨン, 60,田辺裕, 1.3, 59,  -6,   3, 5, 10.8,⑪⑫⑧, 5,15,Ｇパピｰラヴ, 50,柴山雄, 0.8, 47,* -4, -10, 8, 23.0,④④⑤, 5, 2,Ｄジョバイロ, 67,大野拓, 0.4, 62,  -3,*  8, 7, 14.2, ⑯⑮, 5,12,Ｉウインマｰレライ, 80,松岡正, 0.2, 81,  14,  -6, 4,  6.8,⑥⑤④
 6, 9,Ｎヴィンテｰジドｰル, 33,江田照, 1.9, 52,* -4,  -5,11, 79.2,⑤⑤⑥, 6, 4,Ｉディｰプフォレスト, 45,三浦皇, 0.8, 49,  -6,  -5, 5, 17.2,⑨⑩⑨, 6, 7,Ｍディアジｰスタｰ, 62,田中勝, 0.4, 63,  -3,*  8,10, 30.6, ⑮⑯, 6, 7,Ｅフレイムヘイロｰ, 83,大野拓, 0.3, 79,  11,  -3,15, 91.2,④⑦⑨
 7,12,Ｆダイメイエンパイア, 49,大野拓, 2.4, 51,  -6,  -7,14,280.3,⑭⑪⑨, 7,14,Ｃカスクストレングス, 55,蛯名正, 0.9, 48,  -8,  -5, 4, 10.5,⑩⑫⑪, 7, 4,Ｂコアレスキング, 72,吉田豊, 0.5, 60,   1,   3, 6, 10.3, ⑪⑪, 7,16,Ｏランリョウオｰ, 72,ブノワ, 0.4, 79,   6,*  5,12, 47.0,⑯⑮⑭
 8, 3,Ｅトｰセンラブリｰ, 57,横山典, 2.4, 48,  -5,  -8, 2,  3.5,⑥⑩⑩, 8, 7,Ｏウインブルｰロｰズ, 37,ベリｰ, 0.9, 49,  -8,* -2, 7, 19.3,⑭⑮⑫, 8,13,Ｏハルコマチ, 62,松岡正, 0.5, 61,   2,   3,14, 77.1, ⑨⑩, 8, 6,Ｃサトノギャラント, 83,蛯名正, 0.4, 80,  10,   0, 1,  3.2,⑫⑪⑧
 9,15,Ｉウインフォｰエバｰ, 46,ブノワ, 3.2, 45,* -3, -18, 8, 42.2,②②④, 9, 1,Ｈトップインパクト, 46,松岡正, 1.0, 48,  -4, -11,11, 70.9,⑤⑤④, 9, 5,Ａパイメイメイ, 72,横山典, 0.6, 59,   4,   0, 1,  3.7, ⑤⑥, 9,10,Ｊアルフレｰド, 76,吉田豊, 0.6, 77,   5,*  2, 2,  5.6,⑮⑭⑮
