15年10月11日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年10月11日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-13,,,,,■ 4R  ダ1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  ダ1400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,ﾃﾚﾋﾞ静岡賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12, 5,Ｊカシノナイト, 29,野中悠, 2.1, 31, -16,  -6,13,155.4, ⑮⑮,12, 8, ウラワザ,---,横山典, 2.7, 44,  -1, -18, 9, 25.4, ⑬⑫,,,,,,,,,,,,,12,14,Ｆビッグリバティ, 82,嘉藤貴, 0.9, 74,   3,   7,13, 68.6, ⑥⑥
13, 8,Ｍサプｰルコンゴ, 25,石橋脩, 2.3, 31,  -8, -17,14,215.1, ⑩⑪,13,11, ゴｰランクシャス,---,江田照, 3.1, 42,   3, -29,13, 97.8, ⑧⑧,,,,,,,,,,,,,13,10,Ｋゲマインシャフト, 78,北村宏, 0.9, 76,  -3,  14, 9, 33.0, ⑭⑭
14,16,Ｌポルカ, 27,木幡初, 2.3, 32,   0, -28,15,289.4, ③⑤,14, 2, サンアンダｰソン,---,丹内祐, 3.5, 41,   5, -35,14,149.4, ③④,,,,,,,,,,,,,14,11,Ｄアルボナンザ, 82,四位洋, 0.9, 77,  -4,* 17, 5, 10.3, ⑯⑯
15,12,Ｂクラウンネロ, 48,三浦皇, 2.9, 27,  -4, -28, 2,  5.6, ⑦⑨,15, 5, シゲルハマダイ,---,蛯名正, 6.6, 22, -22, -18,12, 92.0, ⑯⑯,,,,,,,,,,,,,15, 9,Ｃシグナルプロシｰド, 83,柴山雄, 1.0, 74,  -1,  12, 8, 23.2, ⑩⑩
16, 7,Ｐカシノアラジン,-26,井上敏, 9.5,-34, -16, -71,16,329.9, ⑯⑯,16, 1, ユカオクン,---,野中悠, 7.5, 17, -19, -30,16,187.8, ⑮⑮,,,,,,,,,,,,,16, 4,Ｍコウユｰサムライ, 77,丹内祐, 1.4, 72,  -2,  10,15,147.9, ⑬⑬
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:稍重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:+8 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:稍重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:稍重(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:稍重(指数:-2),,,,,,,,,,,
単勝:150円 複勝:01=110円 15=200円 06=590円 枠連:680円,,,,,,,,,,,,"単勝:6,080円 複勝:07=1,150円 03=190円 16=230円 枠連:2,050円",,,,,,,,,,,,"単勝:880円 複勝:06=240円 10=1,740円 07=970円 枠連:6,840円",,,,,,,,,,,,"単勝:860円 複勝:01=340円 16=370円 08=590円 枠連:1,180円",,,,,,,,,,,
"馬連:610円 ワイド:01-15=350円 01-06=980円 06-15=2,220円",,,,,,,,,,,,"馬連:18,530円 ワイド:03-07=5,010円 07-16=6,700円 03-16=920円",,,,,,,,,,,,"馬連:20,470円 ワイド:06-10=4,780円 06-07=3,320円 07-10=14,660円",,,,,,,,,,,,"馬連:6,150円 ワイド:01-16=2,260円 01-08=2,430円 08-16=3,280円",,,,,,,,,,,
