15年11月28日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年11月28日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 4R  芝1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 7R  芝1600m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  ダ1200m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,貴船ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ｈプラネットブルｰ, 49,岩田康,, 59,*  6, -13, 8, 24.2,⑨②②, 1, 6,Ａファインニｰドル, 58,藤岡康,, 66,  -2,*  0, 2,  4.3, ⑧⑤, 1, 8,Ｂイレイション, 75,アッゼ,, 81,  11,   0, 2,  3.9, ⑥⑥, 1,11,Ａメイショウオセアン, 84,池添謙,, 84,*  9,  11, 4,  7.1, ③②
 2, 2,Ｄベルウッドエフディ, 53,幸英明, 0.0, 61,   4,* -9, 7, 20.4,③⑤⑤, 2, 7,Ｇスペｰドクイｰン, 50,ルメｰ, 0.0, 66,  -2,*  2, 1,  2.6, ⑦⑦, 2,13,Ｄアルパｰシャン, 72,四位洋, 0.1, 80,   4,*  9, 1,  3.5, ⑪⑫, 2, 3,Ｈブルｰストｰン, 79,岩田康, 0.2, 82,   7,  12, 7, 16.6, ⑥④
 3, 3,Ｆゴテツ, 52,池添謙, 0.0, 62,   3,* -7, 4,  8.8,⑭⑨⑥, 3,10,Ｃハリｰ, 55,戸崎圭, 0.2, 63,  -5,*  3, 3,  4.5, ⑩⑨, 3, 6,Ｆメイショウヤマホコ, 69,義英真, 0.4, 76,   8,  -2, 9, 32.4, ⑨⑨, 3, 4,Ｃビリオネア, 80,岡田祥, 0.2, 84,  -4,* 23, 6, 15.6, ⑭⑬
 4,10,Ａハギノグランコｰト, 59,川須栄, 0.3, 59,*  5, -15, 1,  2.4,⑥③③, 4, 8,Ｉウイングダイチャン, 47,川田将, 0.5, 62,*  3, -13, 5, 10.5, ③③, 4,18,Ａガルデルスリｰル, 75,デムｰ, 0.9, 70,  -2,*  7, 3,  4.1, ⑭⑭, 4,16,Ｆパｰティｰドレス, 79,ルメｰ, 0.3, 82,   0,  17, 3,  5.0, ⑪⑪
 5, 4,Ｎホッコｰフウガ, 40,国分優, 0.4, 57,*  6, -18, 9, 32.5,①①①, 5, 5,Ｂプラチナメモリｰ, 55,デムｰ, 0.8, 58,  -5,  -2, 6, 12.8, ⑨⑩, 5,17,Ｌアスクジョｰダン, 64,戸崎圭, 0.9, 69,   7,  -8, 7, 23.6, ⑩⑩, 5, 7,Ｊアンリヴィｰルド, 76,川須栄, 0.4, 82, -10,* 26,11, 44.7, ⑯⑮
 6, 7,Ｃキクノシュペｰル, 55,デムｰ, 1.0, 52,   4, -18, 2,  4.4,⑧⑦④, 6, 3,Ｈベストワｰクス, 47,松山弘, 1.0, 56,*  3, -19, 8, 45.6, ②②, 6,10,Ｊウェｰブキング, 65,川田将, 0.9, 70,* 12, -17, 8, 26.0, ⑤④, 6, 2,Ｄスマｰトアヴァロン, 80,武豊  , 0.4, 80,  -3,* 19, 1,  3.1, ⑬⑫
 7,14,Ｂカフジプリンス, 58,シュタ, 1.8, 50,   0, -17, 5, 11.3,⑫⑬⑫, 7,15,Ｊクリノサンレオ, 47,幸英明, 1.1, 53, -10,  -3,10, 60.3, ⑫⑬, 7,15,Ｈダブルイｰグル, 68,和田竜, 0.9, 74,  -6,* 14,14,135.2, ⑯⑯, 7,12,Ｉグランプリナイト, 79,シュタ, 0.9, 76,   2,  10, 9, 27.6, ⑩⑩
 8, 5,Ｅマジックダイオウ, 52,小坂忠, 1.9, 48,   3, -23,12,173.4,⑪⑧⑧, 8, 1,Ｅカイ, 51,小牧太, 1.2, 53,  -3, -13, 4,  7.7, ⑥⑧, 8, 5,Ｏグレイスミノル, 60,松山弘, 1.0, 69,* 15, -22,13,125.3, ①①, 8,14,Ｅアｰスゼウス, 79,戸崎圭, 1.0, 75,* 12,  -1, 5, 11.4, ①①
 9, 1,Ｉエスプリベルテ, 48,高倉稜, 2.3, 48,   0, -23,13,209.3,⑬⑪⑩, 9, 2,Ｆヤマニンラファｰル, 50,田中健, 1.3, 51,   1, -19, 7, 30.7, ④④, 9, 3,Ｎビアンコカンドｰレ, 62,川須栄, 1.0, 70,   4,  -3,16,252.6, ⑫⑪, 9,15,Ｂエイシンロｰリン, 81,幸英明, 1.1, 75,   7,   4, 2,  4.6, ⑤⑤
10,13,Ｍモズジュピタｰ, 41,藤懸貴, 2.4, 46,  -1, -19,14,369.4,⑩⑭⑭,10,14,Ｌハハノンキダネ, 41,加藤祥, 1.7, 45, -11,  -9,13,355.4, ⑭⑭,10, 4,Ｇブラックバｰド, 69,鮫島克, 1.0, 69,* 12, -18, 4,  8.2, ④③,10, 6,Ｍテイクファイア, 73,国分恭, 1.5, 71,   4,   3,15,133.8, ⑨⑦
11,12,Ｏメイショウコドウ, 37,太宰啓, 2.6, 46,  -2, -20,11,161.0,⑮⑮⑬,11,12,Ｄトウケイダンディ, 51,松若風, 1.7, 45,  -1, -24, 9, 52.1, ⑤⑥,11,11,Ｉブルロｰネ, 67,松若風, 1.2, 65,* 14, -24,10, 53.3, ②②,11, 9,Ｌセトノミッシｰ, 75,松山弘, 1.9, 68,   5,  -1,12, 85.6, ⑦⑧
12, 8,Ｇギャディス, 49,小牧太, 2.6, 45,   5, -34, 6, 13.9,②④⑦,12,11,Ｋアミｰラ, 44,武豊  , 1.8, 46,*  3, -30,12,116.4, ①①,12, 7,Ｒメイショウウケヅキ, 47,幸英明, 1.4, 67,   3,  -6,15,170.9, ⑬⑬,12,13,Ｇルミナスウイング, 79,アッゼ, 2.1, 65,   8,  -7, 8, 21.8, ④③
13, 9,Ｌクラップス, 42,鮫島克, 2.7, 43,   1, -28,15,371.0,⑤⑩⑨,13, 9,Ｎランドハイパワｰ, 26,北村友, 2.1, 41,  -9, -18,11, 71.4, ⑪⑫,13,16,Ｐカプリチオｰソ, 58,川島信, 1.5, 65,  11, -22,17,266.6, ⑦⑦,13, 8,Ｏナリタシｰズン, 70,高倉稜, 2.4, 64,  -9,   7,16,435.3, ⑮⑯
