15年10月24日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年10月24日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  芝1600m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  ダ1300m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  ダ1600m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,秋嶺ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｄデフィノワｰル, 54,石川裕,, 58,  -6,* -3, 3,  5.4, ⑦⑦, 1, 2, ファイアクリスタル,---,田辺裕,, 58, -16,*  3, 7,  9.4, ⑥⑤, 1,13,Ｍリタｰンラルク, 63,北村宏,, 77,  -6,* 18,11, 49.9, ⑭⑬, 1, 9,Ｅモｰニン, 85,ルメｰ,, 82,* 15,*  6, 1,  2.1, ③③
 2, 6,Ｆシゲルクロダイ, 49,吉田豊, 0.1, 53,  -5,  -5, 4,  5.5, ⑧⑤, 2,15, フェイズベロシティ,---,戸崎圭, 0.1, 59, -20,*  9, 3,  7.1, ⑮⑰, 2, 2,Ｐディスティンダリア, 49,石川裕, 0.0, 76,*  1,   9,12, 50.6, ②②, 2, 2,Ｄプロトコル, 85,柴田大, 0.4, 78,  15,   4, 7, 18.8, ⑤④
 3, 8,Ｇパイロット, 49,北村宏, 0.3, 55,  -8,* -3, 8, 14.3, ⑨⑨, 3,10, ライトリｰチュｰン,---,蛯名正, 0.1, 60, -20,*  8, 2,  5.9, ⑫⑭, 3, 1,Ｉフロｰラルダンサｰ, 65,井上敏, 0.0, 73,*  2,   7,13, 62.8, ①①, 3,14,Ｃヒルノデイバロｰ, 85,横山典, 0.7, 72,* 16,  -2, 5, 15.9, ②②
 4, 4,Ｊリワｰドリリアン, 39,内田博, 0.4, 52,  -5,  -8, 9, 65.7, ③③, 4,12, バトルグランドリイ,---,池添謙, 0.2, 52,*-13,  -6,10, 22.8, ②②, 4, 6,Ｆカシノスティｰヴ, 69,柴山雄, 0.2, 72,*  0,   8, 4,  8.7, ④④, 4, 7,Ｇアルタイル, 84,松岡正, 0.9, 74,  11,*  6, 2,  4.4, ⑫⑬
 5, 5,Ｃビレッジゴｰルド, 55,岩田康, 0.5, 51,* -3, -11, 6,  9.5, ②②, 5,14, ヘラルドスクエア,---,デムｰ, 0.3, 53, -17,   1, 6,  8.5, ⑪⑧, 5, 4,Ｄメイショウカノン, 71,蛯名正, 0.5, 71,  -1,   7, 2,  3.2, ⑤⑤, 5,10,Ａノボバカラ, 85,戸崎圭, 1.0, 73,  15,  -1, 3,  5.9, ④⑥
 6, 2,Ａホワイトシャドウ, 58,デムｰ, 0.6, 50,  -5, -10, 1,  4.2, ④④, 6, 1, ステイインハｰト,---,吉田豊, 0.3, 54,*-14,  -4, 1,  5.7, ③③, 6,10,Ｈリンガスヴィグラス, 68,柴田善, 0.8, 67,  -1,   5, 5, 11.1, ⑥⑥, 6,15,Ｏコアレスキング, 77,勝浦正, 1.0, 72,  13,   1,15,223.9, ⑨⑨
 7,12,Ｈノｰブルポセイドン, 49,横山典, 0.6, 49, -10,* -1, 2,  5.2, ⑫⑪, 7,17, エタｰナルブｰケ,---,福永祐, 0.3, 54, -17,   2, 5,  8.3, ⑩⑩, 7,12,Ｃアサクサレｰサｰ, 71,ルメｰ, 1.1, 66,  -2,   3, 1,  2.7, ⑧⑩, 7, 8,Ｉプラントハンタｰ, 83,柴山雄, 1.1, 72,  10,*  5,13,176.6, ⑮⑭
 8, 7,Ｅニシノライト, 50,江田照, 1.5, 44,  -6, -16,10, 73.6, ⑥⑥, 8,16, ブラボｰリリック,---,北村宏, 0.4, 53, -16,  -3, 9, 17.0, ⑦⑦, 8, 7,Ａエンドレスシャイン, 73,吉田豊, 1.1, 65,  -2,   5, 6, 19.2, ⑨⑧, 8,11,Ｋシグナルプロシｰド, 83,井上敏, 1.2, 71,  10,   4,11, 61.7, ⑭⑮
