15年 7月25日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 7月25日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝2770m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 4R  芝3380m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  ダ1150m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,いわき特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7, ウメジマダイオｰ,,石神深,,,,, 1,  3.1,③①①, 1, 5, オジュウチョウサン,,石神深,,,,, 2,  3.5,⑤④③, 1,11,Ｃグリｰングリｰン, 63,江田照,, 63,  -1,   4, 5,  9.3, ⑤④, 1, 9,Ｄタブレットピｰシｰ, 75,田中勝,, 84,  -5,* 21, 7, 13.1,⑧⑪⑨
 2, 2, マスソングウインド,,蓑島靖,183.9,,,, 2,  3.6,②②②, 2, 1, カシマシンセイ,,山本康,224.5,,,, 1,  2.6,④②②, 2,14,Ｂナミノリゴリラ, 64,木幡初, 0.1, 64,*  2,   1, 3,  7.1, ②②, 2, 8,Ａマイネオｰラム, 78,松岡正, 0.0, 80,  -1,  11, 1,  2.8,②③②
 3, 5, ニシノファブレッド,,原田和,185.0,,,, 6, 11.1,⑨⑤⑥, 3, 3, マイネルゼｰラフ,,五十嵐,225.9,,,, 5,  6.7,①①①, 3, 6,Ｇタケショウビクタｰ, 56,石橋脩, 0.4, 60,   0,   1, 7, 14.6, ④③, 3, 1,Ｆゴットフリｰト, 73,田辺裕, 0.1, 77,  -3,  12, 3,  6.3,③④⑤
 4, 8, インキュベｰタｰ,,金子光,185.7,,,,10, 58.8,①③③, 4, 2, タマモショパン,,熊沢重,226.6,,,, 4,  5.7,③⑤④, 4, 1,Ｄコンコルダンス, 59,蛯名正, 0.6, 59,  -3,   1, 4,  8.4, ⑥⑥, 4, 3,Ｇネコタイショウ, 73,オｰル, 0.1, 81,  -3,* 17, 6, 11.6,④⑨⑦
 5, 3, テイエムリキオｰ,,高野和,186.0,,,, 4,  8.1,⑤⑥⑤, 5, 6, カントリｰスノｰ,,草野太,226.6,,,, 6, 17.9,⑦⑥⑥, 5, 4,Ａヒカリピオニｰ, 66,戸崎圭, 0.6, 58,  -9,   6, 1,  2.8, ⑪⑪, 5, 7,Ｈラスヴェンチュラス, 71,内田博, 0.2, 74,*  2,   3, 8, 19.5,⑪①①
 6, 4, コスモトゥルｰラヴ,,浜野谷,186.1,,,, 3,  5.5,④④④, 6, 4, ルペｰルノエル,,高田潤,226.8,,,, 3,  5.6,⑥⑦⑦, 6,13,Ｉレイニングバイオ, 55,田辺裕, 0.8, 56,  -6,   2, 8, 15.8, ⑩⑧, 6,11,Ｃフェイマスエンド, 75,北村宏, 0.6, 73,  -2,   7, 2,  6.1,⑨⑦⑧
 7,10, トキノアイチヨ,,江田勇,187.0,,,, 9, 40.0,⑥⑦⑦, 7, 8, エｰスワン,,小野寺,226.9,,,, 7, 45.9,②③⑤, 7,12,Ｌサンコｰルドウェル, 47,的場勇, 1.1, 53, -20,* 11,13,189.0, ⑮⑮, 7, 4,Ｅフジマサエンペラｰ, 73,蛯名正, 0.7, 71,  -3,   4, 4,  6.6,⑥⑤③
 8, 9, ジェイケイホｰム,,五十嵐,188.0,,,, 8, 25.1,⑧⑨⑨, 8, 7, サンマルボス,,高野和,231.1,,,, 8,101.4,⑧⑧⑧, 8, 8,Ｋケイジｰスワロｰ, 50,岩部純, 1.1, 54,  -6,  -1, 9, 47.6, ⑨⑦, 8, 6,Ｉルナプロスペクタｰ, 70,戸崎圭, 0.7, 72,  -5,  10, 5,  6.6,⑩⑩⑩
 9, 1, トｰセンリュｰ,,小野寺,188.4,,,, 7, 13.3,⑩⑩⑩,,,,,,,,,,,,, 9, 5,Ｆハｰモニｰノヴェル, 57,内田博, 1.2, 52,  -9,   1, 6, 12.4, ⑫⑫, 9,10,Ｂドラゴンレジェンド, 76,伊藤工, 0.9, 67,  -1,   0, 9, 22.7,⑦⑥④
10, 6, シゲルキシュウ,,草野太,189.0,,,,11, 85.3,⑦⑧⑧,,,,,,,,,,,,,10,10,Ｅポンテアンジェロ, 58,石川裕, 1.2, 54,*  2,  -9, 2,  4.0, ①①,10, 2,Ｋアンシャックルド, 62,江田照, 1.0, 66,  -4,   4,11,162.2,①⑧⑪
11,11, グロシュラライト,,熊沢重,191.9,,,, 5, 10.1,⑪⑪⑪,,,,,,,,,,,,,11,16,Ｊサクセスクイｰン, 52,田中勝, 1.4, 52,  -3,  -5,11, 97.2, ⑧⑩,11, 5,Ｊヤヤラｰラ, 70,石川裕, 1.0, 63,*  0,  -4,10, 60.1,⑤②⑥
,,,,,,,,,,,,,,,,,,,,,,,,12, 7,Ｈアスカアンジュ, 55,吉田豊, 1.6, 49,   0, -10,10, 55.2, ③⑤,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,13, 3,Ｏデルフト, 41,大野拓, 1.6, 51, -11,   1,14,196.8, ⑭⑭,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,14, 2,Ｍプルミエプリ, 44,西田雄, 2.2, 44,  -9,  -7,16,299.3, ⑬⑬,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,15, 9,Ｐアイガットリズム, -4,伴啓太, 2.7, 38, -37,* 12,15,290.9, ⑯⑯,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16,15,Ｎアンジェロビアンコ, 42,横山和, 2.9, 41,  -2, -18,12,186.7, ⑦⑨,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:稍重(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:1),,,,,,,,,,,
単勝:310円 複勝:07=140円 02=150円 05=220円 枠連:530円,,,,,,,,,,,,単勝:350円 複勝:05=130円 01=110円 03=170円 枠連:0円,,,,,,,,,,,,"単勝:930円 複勝:11=280円 14=260円 06=400円 枠連:2,440円",,,,,,,,,,,,"単勝:1,310円 複勝:09=280円 08=140円 01=190円 枠連:1,840円",,,,,,,,,,,
馬連:590円 ワイド:02-07=260円 05-07=540円 02-05=560円,,,,,,,,,,,,馬連:360円 ワイド:01-05=180円 03-05=520円 01-03=330円,,,,,,,,,,,,"馬連:3,250円 ワイド:11-14=980円 06-11=1,560円 06-14=1,420円",,,,,,,,,,,,"馬連:1,900円 ワイド:08-09=670円 01-09=1,330円 01-08=420円",,,,,,,,,,,
"馬単:1,160円 3連複:1,230円 3連単:3,740円",,,,,,,,,,,,"馬単:860円 3連複:780円 3連単:3,320円",,,,,,,,,,,,"馬単:6,080円 3連複:11,560円 3連単:58,100円",,,,,,,,,,,,"馬単:4,840円 3連複:3,530円 3連単:28,720円",,,,,,,,,,,
■ 2R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 5R  芝1800m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 8R  芝2600m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■11R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ福島,,,,,,,,,,,,,,,,,,,,,,,,白河特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ａモアニレフア, 64,木幡初,, 64,   5,* -5, 3,  4.7,⑦⑧⑧, 1, 5, ゲッカコウ,---,松岡正,, 48,*-19,  -2, 4,  9.3,⑩①①, 1, 9,Ｆクロニクルスカイ, 67,内田博,, 76,* 17,*-19, 7, 14.5,⑤②②, 1, 5,Ｃゴｰルドペガサス, 71,蛯名正,, 76,*  5,   5, 1,  1.8, ①①
 2, 5,Ｃイロジカケ, 59,柴田善, 0.0, 62,   6,* -7, 4,  7.4,⑨⑦⑥, 2,13, リップルトウショウ,---,大野拓, 0.0, 46,*-19,  -2, 7, 15.3,②②②, 2, 3,Ｉキッスアフィニティ, 63,北村宏, 0.7, 72,* 17, -29, 1,  2.9,①①①, 2, 6,Ｄマンハッタンヘンジ, 70,石橋脩, 0.2, 73,*  5,   2, 2,  4.8, ②②
 3,12,Ｎクｰルオボロ, 45,津村明, 0.6, 57,*  8, -16,10, 53.0,②②②, 3,10, ジェラシｰ,---,戸崎圭, 0.0, 49, -22,*  5, 1,  4.0,⑧⑧⑥, 3,12,Ｊウインセイヴィア, 62,石川裕, 1.4, 66,* 15, -31, 3,  6.8,④③③, 3, 8,Ｅボブキャット, 70,内田博, 0.2, 72,   2,   5, 3,  6.2, ⑤④
 4,15,Ｆシｰドパｰル, 56,田辺裕, 0.9, 56,*  8, -17, 2,  3.9,④③③, 4, 4, キｰウエスト,---,田中勝, 0.1, 47, -20,   0, 2,  4.0,⑦⑤③, 4, 7,Ｅマスタｰプラマｰ, 68,伴啓太, 1.4, 67,  14, -27, 6, 11.5,⑧⑥⑤, 4, 4,Ａヤサカオディｰル, 76,的場勇, 0.3, 71,   1,   5, 6, 13.9, ④③
 5, 9,Ｂクインズアベンチャ, 61,嘉藤貴, 1.2, 54,   7, -19, 1,  3.8,③④④, 5, 3, エミノマユアク,---,吉田豊, 0.1, 49, -22,*  3, 5, 12.0,③⑥⑦, 5, 4,Ｂマイネルアクロス, 71,松岡正, 1.4, 69,  14, -30, 4,  7.5,⑦④④, 5, 3,Ｂファンデルワｰルス, 72,田辺裕, 0.4, 69,  -2,   6, 4,  8.2, ⑥⑥
 6,11,Ｄスカイトップ, 59,松岡正, 1.3, 53,   4, -14,14,165.4,⑫⑪⑩, 6, 7, シャイニングアロｰ,---,木幡初, 0.2, 47, -23,*  4,12, 84.8,⑤⑩⑩, 6,11,Ｌフォワｰドカｰル, 60,宮崎北, 1.6, 66,  11,*-22,11, 48.0,⑩⑨⑥, 6,11,Ｇスｰパｰアｰス, 68,江田照, 0.4, 70,  -8,* 13, 8, 63.6, ⑪⑪
 7,14,Ｋヴァンドデセｰル, 49,吉田豊, 1.4, 52,*  9, -23, 6, 12.0,①①①, 7,11, カネトシヴェロｰナ,---,田辺裕, 0.2, 45, -21,  -1, 3,  4.4,①④④, 7, 5,Ｇジャングルパサｰ, 66,江田照, 2.2, 61,  11, -30, 8, 19.5,⑪⑩⑦, 7, 1,Ｊカシノワルツ, 66,二本柳, 0.4, 70,  -3,   8, 7, 39.1, ⑧⑧
 8, 8,Ｈルｰシｰイズマイン, 55,野中悠, 1.8, 50,   6, -23, 5, 11.9,⑤⑥⑦, 8, 8, コパノビジン,---,石川裕, 1.1, 34, -25,  -6, 9, 36.8,⑭⑫⑪, 8, 2,Ｃストロングバルドル, 70,伊藤工, 2.3, 63,   9,*-23, 9, 20.4,⑨⑪⑩, 8, 7,Ｈキングクリチャン, 67,西田雄, 0.7, 65,  -2,   2,10,131.7, ⑦⑦
