15年12月27日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年12月27日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-9,,,,,■ 4R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2500m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝2500m 3歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,ｸﾞｯﾄﾞﾗｯｸﾊﾝﾃﾞｷｬｯﾌﾟ,,,,,,,,,,,,有馬記念 ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12, 6,Ｏヤッパリエンカデス,  5,伴啓太, 2.8, 29,  -6, -20,15,315.6, ⑯⑮,12,12, オラシオン,---,内田博, 1.9, 36, -10, -25,11, 53.2,⑧⑥⑨,12, 8,Ｍプレイヤｰハウス, 73,浜中俊, 1.4, 66,   5, -11, 9, 18.4,⑤⑥⑥,12, 3,Ｂラストインパクト, 95,菱田裕, 0.6, 87,  11,  15, 9, 20.6,⑨⑪⑨
13,14,Ｍジュンイワカ, 22,武士沢, 2.9, 29,   6, -32,12,229.9, ⑦⑨,13, 5, セラグリｰン,---,丸山元, 2.2, 33, -17, -18,14, 98.3,⑬⑬⑫,13,11,Ｌギブアンドテイク, 73,柴田善, 1.4, 65,*  6, -14,13, 64.9,④④③,13, 2,Ｈヒットザタｰゲット, 89,小牧太, 0.7, 86,  11,  13,13, 55.4,⑧⑩⑬
14,13,Ｉディｰプコレット, 36,石川裕, 3.0, 27,   1, -29, 8, 80.8, ⑬⑫,14, 6, キマリ,---,井上敏, 2.4, 31, -17, -19,12, 64.0,⑭⑮⑮,14, 1,Ｅセセリ, 79,川田将, 1.4, 65,*  6, -16, 5,  9.0,①①①,14,14,Ｋダｰビｰフィズ, 87,大野拓, 0.9, 86,  12,  12,16,138.8,⑬⑬⑪
15,11,Ｋドラゴンザムライ, 26,井上敏, 3.3, 23,  -1, -29,13,271.5, ⑮⑯,15, 8, ファストムｰン,---,武士沢, 2.5, 33, -15, -23,15,186.3,⑩⑫⑬,15, 9,Ｐオリジナルスマイル, 49,大野拓, 1.5, 70,   1,   2,16,152.3,⑯⑯⑯,15, 1,Ｐオｰシャンブルｰ, 83,石川裕, 2.4, 72,  11,  -5,15,122.8,⑫⑯⑯
16, 4,Ｌモリカイソウ, 24,木幡初, 3.8, 20,   1, -35,16,333.0, ⑪⑭,16, 7, ルｰセントアイズ,---,岩田康, 3.8, 16, -20, -35, 5, 25.3,⑦⑯⑯,16,16,Ｎマイネルシュライ, 72,柴田大, 1.5, 66,   5, -14,14,139.7,⑦⑤⑤,16,12,Ｄリアファル, 91,ルメｰ, 2.5, 68,* 14, -19, 3,  5.6,②②⑦
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+9 ﾚｰｽｱｶﾞﾘ指数:-13 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:94 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:2),,,,,,,,,,,
単勝:110円 複勝:08=100円 12=140円 10=140円 枠連:370円,,,,,,,,,,,,単勝:550円 複勝:10=140円 14=110円 16=180円 枠連:290円,,,,,,,,,,,,"単勝:2,800円 複勝:05=610円 15=210円 07=400円 枠連:2,040円",,,,,,,,,,,,"単勝:1,700円 複勝:07=410円 09=290円 11=340円 枠連:5,010円",,,,,,,,,,,
馬連:440円 ワイド:08-12=190円 08-10=190円 10-12=470円,,,,,,,,,,,,馬連:440円 ワイド:10-14=210円 10-16=580円 14-16=280円,,,,,,,,,,,,"馬連:8,950円 ワイド:05-15=2,380円 05-07=4,320円 07-15=1,700円",,,,,,,,,,,,"馬連:6,840円 ワイド:07-09=1,760円 07-11=2,300円 09-11=1,720円",,,,,,,,,,,
