15年 8月 1日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 8月 1日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-13,,,,,■ 4R  芝2900m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝1800m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,不知火特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｂファビラスヒｰロｰ, 46,幸英明,, 47,*  6, -21, 2,  5.4, ①①, 1, 6, アドマイヤレイ,,西谷誠,,,,, 4,  4.6,①①①, 1, 2,Ｂビｰトゴｰズオン, 75,浜中俊,, 71,* 12,  -2, 2,  4.5,④③②, 1, 7,Ｃサンライズタイセイ, 76,パｰト,, 85,  12,*  7,10, 21.7,⑧⑧⑤
 2, 5,Ｄゼットフｰリ, 30,松山弘, 0.1, 44,   3,*-20, 3,  5.5, ③③, 2, 5, スズカロジック,,北沢伸,194.5,,,, 3,  4.5,③②②, 2,12,Ｄモンシュシュ, 70,藤岡佑, 0.1, 68,  11,  -1, 7, 19.6,⑨④③, 2, 9,Ｅサンセットスカイ, 76,武豊  , 0.4, 81,   7,*  9, 9, 16.6,⑫⑬⑫
 3, 8,Ｆシゲルシロアマダイ, 24,国分恭, 0.3, 41,   1,*-19, 8,136.2, ⑥⑥, 3, 3, ミヤジエムジェイ,,小坂忠,194.8,,,, 2,  4.1,②③③, 3, 9,Ｌエヴォリュｰション, 66,太宰啓, 0.6, 68,  10,  -3,13,122.2,⑥⑦⑥, 3, 8,Ｋジュヒョウ, 72,浜中俊, 0.6, 79,   9,   4, 2,  6.0,⑪⑪⑩
 4, 4,Ｃクリノセゴビア, 41,川田将, 0.6, 37,   2, -25, 1,  1.7, ⑤⑤, 4, 8, タピエス,,難波剛,194.9,,,, 5, 22.2,⑥④④, 4, 3,Ｅネオヴァシュラン, 70,武豊  , 0.6, 66,* 13, -10, 4,  5.7,①①①, 4,12,Ｂブリュネット, 77,川須栄, 0.6, 77,  13,  -5, 5,  9.9,⑥⑥②
 5, 7,Ｅシゲルイブリカマス, 25,酒井学, 1.0, 31,  -8, -21, 6, 78.0, ⑦⑦, 5, 2, エイシンフランキｰ,,森一馬,195.0,,,, 1,  2.2,⑤⑥⑤, 5,13,Ｈスズカシャｰマン, 68,秋山真, 0.8, 65,   5,*  3, 6, 11.8,⑬⑭⑬, 5,14,Ｌエクストレミティｰ, 71,幸英明, 0.8, 77,  10,  -2,11, 30.9,⑩⑩⑧
 6, 3,Ａリルｰジュ, 49,浜中俊, 1.1, 31,*  4, -34, 4,  6.3, ②②, 6, 7, アスタｰコリント,,林満明,195.5,,,, 7, 40.4,④⑤⑥, 6,15,Ａフジインザスカイ, 78,川島信, 0.8, 66,  12,  -7, 3,  5.0,⑤⑤⑤, 6,13,Ｍキリシマホｰマ, 67,小牧太, 0.8, 78,   6,*  8, 4,  7.4,⑭⑭⑭
 7, 6,Ｈアカルイハピｰ,-11,松若風, 1.3, 27, -11, -22, 7,128.7, ⑧⑧, 7, 1, ミスタｰビッグ,,平沢健,196.5,,,, 6, 29.3,⑦⑦⑦, 7, 4,Ｋジュｰンヴィエナ, 67,義英真, 1.0, 66,   7,  -1, 9, 36.3,⑫⑪⑪, 7, 4,Ｉゴットラウディｰ, 73,北村友, 1.0, 74,  14, -12, 8, 12.8,④④③
 8, 1,Ｇアレッチ, 12,国分優, 1.5, 24,   2, -37, 5, 19.2, ④④, 8, 4, ラディアｰレ,,黒岩悠,205.4,,,, 8, 45.0,⑧⑧⑧, 8, 6,Ｉポロタン, 67,岩崎翼, 1.1, 66,   5,*  1,11, 86.3,⑭⑬⑧, 8,11,Ｄメイショウオトコギ, 76,秋山真, 1.1, 72,  13, -11,13, 92.1,⑦⑦⑥
