15年 4月12日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 4月12日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  ダ1800m 3 歳500万 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 7R  芝1600m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝2400m 4歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,大阪―ﾊﾝﾌﾞﾙｸｶｯﾌﾟ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｃテイエムジンソク, 65,竹之下,, 70,   1,* 12, 7, 31.6,④④④, 1, 8,Ｂタガノクレイオス, 77,菱田裕,, 75,   8,   8, 2,  3.0,⑤⑤⑤, 1, 4,Ｌキリシマホｰマ, 73,小牧太,, 89,  -6,* 23, 5, 12.0, ⑥⑧, 1, 9,Ｌサトノシュレン, 52,柴田善,, 88,* 15,  11, 8, 38.5,①①①
 2,15,Ｂコパノチャｰリｰ, 66,武豊  , 0.3, 66,*  2,*  8, 2,  3.5,⑥③②, 2,10,Ａマルカウォｰレン, 81,福永祐, 0.0, 75,   7,* 11, 1,  2.4,⑥⑦⑦, 2,13,Ｎレインフォｰル, 72,太宰啓, 0.0, 87,* -1,  16,14, 60.1, ①①, 2, 5,Ｅレコンダイト, 83,デムｰ, 0.0, 93,  11,* 25, 2,  5.1,⑩⑨⑨
 3,10,Ａタムロミラクル, 74,デムｰ, 1.4, 60,*  3,  -1, 1,  1.7,⑤⑥③, 3,11,Ｅモルトベｰネ, 75,松山弘, 0.2, 76,   8,   9, 6, 16.5,⑦⑥⑥, 3, 3,Ｏタガノエンブレム, 72,川田将, 0.3, 84,  -5,  18, 6, 15.4, ⑦⑥, 3, 1,Ｃハギノハイブリッド, 84,福永祐, 0.1, 88,  13,  17, 3,  5.6,⑥⑥⑥
 4,14,Ｄチャップリン, 63,川田将, 1.4, 61,   1,   1, 4, 12.6,⑧⑧⑥, 4, 3,Ｄドラゴンバロｰズ, 75,武豊  , 0.3, 73,   6,* 11, 8, 21.0,⑨⑨⑨, 4, 8,Ｍタマモネイヴィｰ, 72,松山弘, 0.4, 86,  -8,* 22,11, 41.5, ⑪⑪, 4, 7,Ｄマテンロウボス, 83,四位洋, 0.4, 88,  13,  15, 1,  2.3,⑦⑦⑦
 5, 7,Ｅフェブカリエンテ, 63,太宰啓, 1.5, 63,  -2,*  6, 3, 12.1,⑮⑭⑪, 5,12,Ｇサｰサルヴァトｰレ, 67,北村友, 0.4, 72,   6,   9, 3,  7.6,⑧⑧⑧, 5, 1,Ｉノｰブルコロネット, 74,池添謙, 0.5, 79,* -4,  13, 7, 18.0, ②④, 5, 2,Ｂホｰカｰテンペスト, 85,浜中俊, 0.5, 84,  13,  11, 4,  6.7,⑤⑤⑤
 6, 3,Ｊレッツイットラン, 56,菱田裕, 2.0, 56,*  3,  -8, 5, 18.0,①①①, 6, 5,Ｈヒデノインペリアル, 66,幸英明, 0.6, 71,*  9,   1, 5, 14.0,④④③, 6,11,Ｄサンセットスカイ, 75,菱田裕, 0.5, 85, -11,* 25,10, 38.5, ⑮⑯, 6,12,Ｆマジェスティハｰツ, 82,森一馬, 0.7, 84,  11,  12, 5,  6.9,⑧⑧⑧
 7,13,Ｉコンゴウヒｰロｰ, 56,藤岡康, 2.1, 53,   0,  -3,11,119.3,⑦⑨⑨, 7, 4,Ｃヒルノデンハｰグ, 75,鮫島良, 0.7, 70,* 10,  -1, 4,  7.8,①①①, 7, 7,Ｐマイティｰスコｰル, 70,鮫島良, 0.7, 77,* -4,   9,16,235.6, ⑤③, 7,11,Ｈヴィクトリｰスタｰ, 80,酒井学, 0.9, 80,* 14,   2,10, 71.0,④④③
 8, 9,Ｋシンゼンライカｰ, 50,吉田豊, 2.3, 53,   0,  -4,14,233.2,⑩⑩⑩, 8, 2,Ｉマッシヴランナｰ, 63,藤岡佑, 1.1, 65,*  9,  -3, 9, 73.3,③③④, 8, 6,Ｈホッコｰアムｰル, 74,藤岡佑, 0.7, 78,  -7,  15,12, 46.5, ⑨⑨, 8, 3,Ｉカルドブレッサ, 80,ルメｰ, 0.9, 83,  11,  12, 6, 21.3,⑨⑩⑩
