15年 3月21日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 3月21日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝3000m 4歳上未勝利 定量,,,,,,,,,,,,■ 7R  芝2000m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝2200m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,熊野特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ａトミケンシャルゴｰ, 63,勝浦正,, 65,*  2,*  8, 5, 14.2,①①①, 1,13, シゲルシモウサ,,草野太,,,,, 4,  9.9,⑥①①, 1, 8,Ｃパワｰウｰマン, 59,松田大,, 61,   0,  -5, 4,  5.1,⑤⑤⑥, 1, 5,Ｆサウンドメモリｰ, 75,松岡正,, 81,   6,*  9, 9, 16.9,③③④
 2, 1,Ｈケルンダッシュ, 48,国分恭, 0.8, 61,   0,   3, 2,  3.0,⑦③④, 2,11, クリノキングムｰン,,平沢健,200.4,,,, 7, 34.3,④⑥⑥, 2,12,Ｎゴｰルドエッセンス, 40,藤岡康, 0.0, 63,  -1,*  2, 5, 14.0,⑫⑫⑬, 2,12,Ａサイモンラムセス, 81,藤岡康, 0.1, 80,*  7,   6, 3,  6.2,⑫④③
 3, 4,Ｉエンリケ, 47,小崎綾, 0.9, 60,*  1,   1, 7, 21.3,②②②, 3, 3, ピタゴラスコンマ,,金子光,200.6,,,, 6, 30.5,⑪⑨⑦, 3,14,Ａミッキｰカｰニバル, 64,小崎綾, 0.1, 59,  -2,* -1, 2,  3.9,⑬⑬⑪, 3, 9,Ｃロｰハイド, 75,松山弘, 0.6, 76,   3,*  7, 1,  3.1,⑭⑪⑩
 4,10,Ｂフェブカリエンテ, 63,高倉稜, 1.0, 63,  -3,*  9, 1,  2.0,⑭⑫⑩, 4, 5, タニノタキシｰド,,小坂忠,201.0,,,, 2,  4.8,⑨②③, 4,17,Ｂグランディフロｰラ, 63,バルジ, 0.1, 59,  -1,  -4, 3,  4.3,⑩⑩⑧, 4, 8,Ｊレッドグルック, 71,津村明, 0.6, 74,   4,   3, 6, 10.3,⑦⑥⑦
 5, 8,Ｄヤマイチキセキ, 58,松山弘, 1.1, 61,  -1,   5, 3, 10.8,⑩⑧⑧, 5,14, パスティ,,山本康,201.2,,,, 5, 16.4,⑤⑤②, 5,15, ミッキｰポｰチ,---,松若風, 0.2, 60,  -4,*  1, 9, 37.6,⑰⑭⑰, 5, 1,Ｄストｰリｰセラｰ, 75,横山典, 0.7, 73,   3,*  7, 4,  8.2,⑧⑫⑪
 6,12,Ｍアライドメジャｰズ, 45,丸山元, 1.4, 58,  -2,   4,12,138.3,⑧⑨⑨, 6, 6, エイシンフランキｰ,,田村太,201.4,,,,10, 55.3,⑭⑪⑩, 6, 7,Ｅヒメキヨヒダカ, 56,津村明, 0.4, 56,*  2, -14,12, 52.5,③③③, 6, 6,Ｈスリｰヴェロｰチェ, 72,水口優, 0.9, 73,   3,   4,12, 73.6,⑥⑨⑨
 7, 9,Ｆカノｰヴァ, 52,バルジ, 2.2, 51,   0,  -8, 4, 12.9,③④⑤, 7, 1, ウインボナンザ,,熊沢重,202.2,,,, 3,  6.7,⑧⑦⑨, 7, 3,Ｉシビックハｰト, 53,高倉稜, 0.4, 59,  -2,  -5,10, 46.4,⑪⑪⑫, 7, 4,Ｂジュｰヴルエｰル, 76,バルジ, 1.1, 70,   4,  -1, 7, 11.9,⑤⑧⑧
 8,15,Ｅアングルゴア, 54,鮫島克, 2.6, 48,   0, -11, 8, 51.1,④⑤③, 8,10, ウインイルソｰレ,,石神深,203.1,,,,13,148.2,⑫⑫⑫, 8, 5,Ｄコンチャフラメンカ, 58,松山弘, 0.5, 57,*  2, -15, 1,  3.6,④④④, 8,11,Ｅフロリダパンサｰ, 75,高倉稜, 1.1, 70,*  7,  -9, 5, 10.0,④②②
