15年 3月22日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 3月22日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 4R  芝3000m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1400m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝1400m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,豊橋特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｊアグネスアｰニャ, 49,古川吉,, 64,* -4,*  8, 6, 21.3,②②②, 1, 3, イフウドウドウ,,難波剛,,,,, 1,  1.9,②①①, 1, 5,Ａキョウエイマグマ, 76,吉田隼,, 72,   3,* 13, 4,  5.3, ⑭⑫, 1, 2,Ａコウセン, 79,丸山元,, 77,  16,  -8, 2,  4.1, ⑤③
 2, 2,Ａティンバレス, 63,藤岡康, 0.2, 61,* -4,*  5, 1,  1.4,①①①, 2, 1, ドクタｰルキア,,浜野谷,201.1,,,, 3,  5.2,⑤③③, 2, 2,Ｂダテノハクトラ, 75,松若風, 0.1, 74,* 12,  -1, 1,  3.4, ②②, 2,10,Ｃチョコレｰトバイン, 73,古川吉, 0.4, 72,  10,* -3, 1,  3.5, ⑬⑫
 3,11,Ｃブリｰズヴェｰル, 58,小崎綾, 0.9, 58,* -4,   0, 5, 18.9,③③③, 3, 2, メテオｰロ,,金子光,201.9,,,,11, 83.1,③⑥⑤, 3, 8,Ｃサンライズアルブル, 75,小崎綾, 0.2, 72,   7,   6, 3,  5.2, ⑩⑧, 3, 1,Ｋフェルメッツァ, 67,藤岡康, 0.4, 70,   6,*  0, 4,  8.6, ⑮⑯
 4,13, ナムラケイト,---,松山弘, 1.5, 57, -10,*  4, 2,  5.7,⑫⑬⑪, 4, 6, キングブラｰボ,,中村将,202.1,,,, 2,  5.0,⑦④④, 4,12,Ｆナリタロック, 71,高倉稜, 0.2, 73,   8,   4, 2,  4.7, ⑧⑦, 4,13,Ｅコスモラパン, 72,丹内祐, 0.5, 72,  14, -11, 7, 19.7, ⑨⑦
 5,14,Ｋバラブシュカ, 49,藤懸貴, 1.5, 54,* -5,  -4, 4, 18.2,⑤④⑤, 5,13, シゲルハリマ,,熊沢重,203.0,,,, 4,  9.2,⑥②②, 5, 9,Ｎペリｰホワイト, 64,木幡初, 0.2, 72,   7,   5, 9, 36.0, ⑪⑩, 5, 7,Ｈトシストロング, 68,松山弘, 0.6, 71,  14, -14, 3,  7.7, ⑥⑥
 6, 7,Ｅシゲルオカメマツリ, 55,北村友, 1.6, 52,  -6,  -4, 3, 14.7,④⑤④, 6, 4, アスタｰコリント,,林満明,203.8,,,, 8, 34.1,④⑦⑥, 6, 3,Ｌケンブリッジベスト, 66,杉原誠, 0.7, 63,  -2,* 13,13,190.9, ⑮⑮, 6,12,Ｒゴットロブロイ, 58,竹之下, 0.6, 68,   9,  -8,10, 26.5, ⑩⑪
 7, 1,Ｄシゲルギオンマツリ, 56,丸山元, 2.0, 51,  -6,  -6,10, 40.4,⑧⑦⑦, 7,10, トライアゲイン,,高野和,205.1,,,, 6, 19.7,⑩⑧⑧, 7,10,Ｄキｰブランド, 75,義英真, 1.1, 65,* 11,  -8, 5,  8.5, ④④, 7,15,Ｌハイベストバイオ, 66,国分恭, 0.6, 71,* 17, -17,14, 32.5, ③⑤
 8, 9,Ｂエナジャイズ, 58,熊沢重, 2.1, 49,  -6,  -8, 9, 30.7,⑦⑥⑥, 8, 7, エトラ,,佐久間,205.7,,,, 7, 28.8,⑧⑩⑨, 8,15,Ｊチｰフテン, 68,嘉藤貴, 1.1, 66,* 12,  -8,11, 43.3, ③③, 8,17,Ｄヒシワイルド, 73,伊藤工, 0.7, 67,   9,  -8, 8, 24.7, ⑪⑩
