15年 5月23日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 5月23日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 4R  芝1600m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 7R  ダ1600m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  ダ2100m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,是政特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｆオンユアマｰク, 51,北村宏,, 57,*  3, -12, 7, 24.6, ②②, 1, 6,Ｅスタｰファセット, 57,宮崎北,, 66,  -3,*  1, 8, 26.4, ⑤⑤, 1, 4,Ａアサクサスタｰズ, 76,ルメｰ,, 77,   9,*  7, 2,  4.9, ⑥⑤, 1, 4,Ｃプリンスダム, 81,ルメｰ,, 78,   8,  10, 3,  5.0,③⑤⑤
 2, 5,Ｃジョンブドｰル, 57,柴田善, 0.2, 55,  -3,  -5, 4,  5.1, ⑩⑧, 2,11,Ｌロｰトリンゲン, 50,蛯名正, 0.1, 64,*  1,  -8, 2,  5.5, ②②, 2,14,Ｄマッチレスヒｰロｰ, 73,横山典, 0.1, 75,* 10,   3, 1,  1.9, ④④, 2, 6,Ｆファイヤｰロック, 79,福永祐, 0.0, 79,   8,  10, 6, 11.3,⑤④④
 3, 6,Ｂマラカイトスタｰ, 60,三浦皇, 0.3, 55,*  2, -15, 1,  3.4, ①①, 3,12,Ｉハｰベストソング, 52,嘉藤貴, 0.1, 62,* 13, -27,10, 53.3, ①①, 3, 3,Ｍゴドリｰ, 59,蛯名正, 0.6, 74,   2,* 12, 5, 12.3, ⑭⑭, 3, 5,Ｂエルズミｰア, 84,三浦皇, 0.0, 77,*  8,   7, 2,  4.6,②②②
 4, 9,Ｅルｰシｰイズマイン, 54,野中悠, 0.6, 52,  -3,  -9, 8, 27.5, ⑧⑦, 4,10,Ｃダイワスキャンプ, 64,三浦皇, 0.3, 67, -10,* 10, 3,  6.5, ⑪⑫, 4, 8,Ｂディアグリスタｰ, 75,柴山雄, 1.0, 69,   5,   3, 6, 16.0, ⑬⑪, 4, 7,Ｈヘルツフロイント, 78,北村宏, 0.0, 79,   7,  12, 5,  6.8,⑥⑨⑧
 5, 1,Ｉブランダルジャン, 50,石橋脩, 0.6, 52,  -4,  -7, 3,  4.5, ⑨⑩, 5,17,Ｄトレｰスオンアイス, 62,ルメｰ, 0.4, 61,  -4,  -2, 4,  6.6, ⑦⑦, 5,12,Ｆアンリキャトル, 73,北村宏, 1.3, 68,   8,  -4, 7, 22.5, ⑪⑦, 5, 2,Ａシンボリハミルトン, 84,横山典, 0.2, 79,   3,* 19, 1,  4.5,⑯⑯⑮
 6, 4,Ａダリグラム, 63,武士沢, 0.8, 51,  -5,  -7, 2,  3.7, ⑫⑫, 6, 9,Ｊウインエスパシオ, 52,柴田大, 0.4, 60,   0, -10, 5, 15.2, ④③, 6, 9,Ｉトミケンスラｰヴァ, 70,武豊  , 1.3, 67,   9,  -6,10, 58.6, ③③, 6, 8,Ｅランブリングマン, 80,田中勝, 0.5, 77,   3,* 15, 9, 30.3,⑫⑭⑬
 7,11, キャンドルアｰト,---,木幡初, 0.8, 54,  -9,*  0,10, 54.3, ⑭⑬, 7,16,Ｈキャンドルスピン, 52,田中勝, 0.7, 59,  -3,  -9,11,105.3, ⑥⑥, 7,16,Ｇエスティレジェンド, 71,江田照, 1.4, 66,* 12, -10, 9, 37.6, ②②, 7,12,Ｊオリオンザムｰン, 77,柴田大, 0.7, 75,   5,  10,13, 55.6,⑭⑬⑪
 8,14,Ｄヒルプリンセス, 54,宮崎北, 1.1, 48,*  2, -21, 6, 17.2, ③③, 8, 4, ダイワパフォｰム,---,北村宏, 0.8, 58,  -7,  -4, 6, 17.2, ⑧⑧, 8, 6,Ｊオｰルデフィｰト, 68,田中勝, 1.6, 66,   6,  -3, 8, 34.6, ⑩⑨, 8,13,Ｍマキノクィｰン, 75,松岡正, 0.8, 73,   6,   7,16,214.4,⑪⑪⑩
