15年 6月14日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 6月14日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-13,,,,,■ 4R  芝3110m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  ダ1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,三宮特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,16,Ｇダンシング, 53,幸英明,, 54,   4,  -5, 5, 11.1, ⑤⑤, 1, 2, オｰルアズワン,,森一馬,,,,, 2,  2.8,⑥⑥⑥, 1,10,Ｅサンタエヴィｰタ, 72,川田将,, 81,* 12,*  3, 8, 24.6,⑤④④, 1,11,Ｉテイクファイア, 74,国分恭,, 84,   7,  11,11,101.0, ③③
 2, 3,Ａタイキラトナンジュ, 71,浜中俊, 0.0, 56,*  8, -10, 1,  3.5, ①①, 2, 3, タイタン,,植野貴,211.9,,,, 3,  4.1,②③②, 2,11,Ｉアドマイヤシャイ, 71,岩田康, 0.2, 77,* 13,  -2, 3,  6.2,②②②, 2, 6,Ａブルドッグボス, 84,幸英明, 0.2, 81,*  9,   7, 1,  1.5, ②②
 3, 4,Ｋエイシンパサｰト, 37,太宰啓, 0.2, 51, -10,* 11, 8, 33.4, ⑭⑪, 3, 6, カッパドキア,,西谷誠,212.2,,,, 1,  2.6,⑤④④, 3, 8,Ｄココ, 74,鮫島克, 0.8, 73,* 12,  -6, 2,  3.4,③③③, 3, 8,Ｄモルジアナ, 79,菱田裕, 0.5, 78,   6,   7, 4,  7.8, ④⑤
 4,13,Ｃウインエアフォｰス, 56,池添謙, 0.3, 52,   5,  -9, 3,  5.0, ③③, 4, 5, アグネスハイヤｰ,,難波剛,212.8,,,, 4,  7.8,④⑤⑤, 4, 7,Ａメイショウブｰケ, 79,幸英明, 0.8, 75,   9,*  0, 1,  3.0,⑬⑬⑨, 4, 9,Ｂポメグラネイト, 84,浜中俊, 0.7, 76,  -2,* 13, 2,  6.5, ⑫⑪
 5, 8,Ｈディプロイディ, 52,川島信, 0.3, 50,  -3,   0,11, 45.0, ⑨⑧, 5, 7, テイエムシシｰポス,,佐久間,213.0,,,, 6, 21.6,③①①, 5,12,Ｈロゼラニ, 71,高倉稜, 1.2, 73,  11,  -7, 9, 34.4,⑥⑤⑤, 5,15,Ｇセイユウスマイル, 75,太宰啓, 0.7, 77,* 16,  -4, 9, 61.0, ①①
 6,14,Ｅツオイガナ, 54,加藤祥, 0.6, 48,   0,  -6, 2,  4.5, ⑧⑦, 6, 1, リアリｰサムシング,,林満明,213.4,,,, 7, 30.4,①②③, 6, 5,Ｇオｰシャンブルグ, 71,池添謙, 1.4, 72,   8,* -1, 5, 11.6,⑫⑭⑯, 6, 2,Ｃレアヴェントゥｰレ, 80,藤田伸, 0.8, 76,   6,   4, 3,  7.0, ⑤④
 7,12,Ｂアドマイヤジャズ, 58,和田竜, 0.8, 49,*  6, -14, 4,  5.7, ②②, 7, 4, ミヤコデラックス,,五十嵐,213.4,,,, 5, 14.1,⑦⑦⑦, 7, 6,Ｋラゴディラゴライ, 70,蛯名正, 1.4, 71,   8,  -3,10, 39.4,⑭⑮⑪, 7,16,Ｅヤマニンメンヒル, 77,北村友, 0.8, 75,  -2,* 12, 6, 29.4, ⑪⑫
 8, 5,Ｄタイキクロスビｰ, 55,松若風, 0.9, 48,   5, -14, 7, 13.4, ④④,,,,,,,,,,,,, 8,15,Ｂタガノベルｰガ, 77,加藤祥, 1.7, 67,  11, -12, 4,  9.9,⑯⑧⑥, 8,13,Ｎヒカルランナｰ, 70,長岡禎, 1.1, 72,  -8,* 15, 8, 42.9, ⑯⑯
 9,15,Ｌクリノサン, 11,小坂忠, 1.2, 44, -11,*  5,16,317.7, ⑬⑭,,,,,,,,,,,,, 9, 4,Ｎモントボｰゲン, 65,松山弘, 1.8, 68,  10, -11,12, 69.3,④⑥⑦, 9,10,Ｆレギス, 76,松山弘, 1.3, 72,   4,   3, 7, 35.4, ⑧⑦
10,11,Ｆスピｰルダンジュ, 54,国分優, 1.4, 42,  -2,  -9,10, 44.0, ⑩⑨,,,,,,,,,,,,,10, 3,Ｌクロカミノオトメ, 69,松若風, 2.8, 62,   8, -15,13,123.9,⑪⑫⑮,10, 1,Ｋドナリサ, 72,大野拓, 1.3, 71,  -5,  11,13,188.8, ⑭⑬
