15年 1月25日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 1月25日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝3000m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝2000m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■10R  芝1600m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,西尾特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｍゲットクロｰサｰ, 39,小牧太,, 63,* -6,* 12, 4,  8.7,②②②, 1, 5, ラガｰトモヒｰロ,,北沢伸,,,,, 1,  2.7,②①①, 1, 9,Ｂカラフルブラッサム, 78,武豊  ,, 82,  10,*  4, 1,  2.6,⑨⑨⑨, 1, 4,Ｉダンツクロノス, 70,秋山真,, 80,  10,*  5, 4,  6.8,⑪⑩⑧
 2,13,Ｃガラドリエル, 62,藤岡康, 0.5, 58,* -7,   9, 5,  9.7,④③③, 2, 6, プレスリｰ,,中村将,203.9,,,, 5, 12.8,⑦⑥⑤, 2, 3,Ｆマイネリベルタス, 71,和田竜, 0.1, 82,  12,*  0, 9, 32.9,⑦⑧⑤, 2, 1,Ｐランドオザリｰル, 44,松山弘, 0.1, 81,  14,  -4,13, 46.4,②④③
 3, 4,Ｅウエバフラッシュ, 59,松田大, 0.8, 57,* -6,   5, 3,  8.6,①①①, 3,12, キｰプトライン,,原田和,204.0,,,, 2,  4.4,④③②, 3, 2,Ｃウインリバティ, 77,バルジ, 0.4, 77,* 13,  -7, 4,  7.9,④⑤④, 3, 6,Ｈコリｰヌ, 70,小牧太, 0.1, 80,  11,   1, 5, 10.6,⑧⑦⑥
 4,14,Ａピアレスピンク, 68,和田竜, 1.5, 55,  -8,   3, 1,  2.4,⑥⑤⑤, 4, 9, メイショウヤマナミ,,田村太,204.3,,,, 9, 24.3,⑧⑦⑥, 4, 8,Ｅリボントリコロｰル, 72,勝浦正, 0.6, 77,   9,* -2, 3,  5.9,⑩⑩⑩, 4,12,Ｋアサクサティアラ, 68,小崎綾, 0.2, 79,  13,  -2, 3,  5.6,⑥⑥⑦
 5, 7,Ｂヤマノルミナス, 64,秋山真, 1.8, 50,  -8,   2, 5,  9.7,⑤⑥⑥, 5,11, シゲルシモウサ,,草野太,204.9,,,, 6, 17.4,③⑤⑧, 5,14,Ｌスペランツァデｰア, 65,松山弘, 0.8, 76,   8,* -2,11, 34.1,⑪⑪⑫, 5,14,Ｅアドマイヤメテオ, 72,藤岡康, 0.3, 79,   9,*  2, 1,  4.2,⑩⑪⑪
 6,16,Ｌエナジャイズ, 39,長岡禎, 2.0, 52, -14,   9, 8, 28.5,⑬⑪⑩, 6, 7, クレバｰアポロ,,鈴木慶,206.0,,,, 4,  8.9,⑫⑫⑩, 6, 4,Ａガルデルスリｰル, 78,小崎綾, 0.9, 70,* 13, -17, 2,  3.6,②②②, 6,10,Ｃフミノスナイパｰ, 74,黛弘人, 0.4, 78,   7,*  4, 7, 17.0,⑫⑫⑫
 7, 3,Ｄゲルズ, 61,武豊  , 2.1, 47,  -8,  -3, 2,  4.9,③④④, 7, 1, グレイトハスラｰ,,植野貴,206.3,,,,12, 34.5,⑥②④, 7, 6,Ｇマサノマリリン, 69,長岡禎, 1.2, 69,  12, -16, 7, 24.6,⑤⑥⑥, 7, 5,Ｊコスモイノセント, 69,木幡初, 0.5, 75,* 17, -14,12, 34.8,③②②
 8,12,Ｏクインズアベンチャ, 39,大野拓, 2.2, 49, -10,   1,11, 74.8,⑩⑦⑦, 8, 2, エトラ,,佐久間,206.5,,,, 3,  7.2,⑤⑧⑦, 8, 5,Ｍマダムジルウェット, 65,秋山真, 1.4, 67,   8, -10,10, 33.8,⑬⑫⑪, 8,15,Ｄタイセイマジック, 73,中谷雄, 0.5, 76,   7,*  2, 8, 19.2,⑬⑬⑬
