15年 6月21日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 6月21日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  芝2970m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  ダ1800m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,灘ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｇタガノディナｰ, 51,鮫島克,, 61,   1,*  4,12, 91.3, ⑧⑥, 1,10, トニｰポケット,,熊沢重,,,,, 3,  4.9,②③③, 1,14,Ｂバトルムｰングロウ, 72,岩崎翼,, 72,   9,   2, 6, 17.4, ④⑤, 1, 3,Ａテイエムダイパワｰ, 90,藤岡佑,, 81,* 12,   9, 2,  3.8,③③③
 2,16,Ｄタイセイメテオ, 55,小牧太, 0.3, 58,  -2,*  4, 4,  9.8, ⑩⑧, 2, 9, グレイトハスラｰ,,平沢健,198.5,,,, 9, 37.7,③②②, 2,10,Ｄポップオｰヴァｰ, 70,デムｰ, 0.0, 73,* 12,   0, 2,  4.5, ②②, 2, 1,Ｃグッドマイスタｰ, 89,デムｰ, 0.1, 82,  10,* 11, 3,  4.9,⑧⑧⑦
 3, 3,Ａメイショウサンゾウ, 69,秋山真, 0.4, 58,*  8,  -7, 2,  3.2, ②②, 3, 3, ヤマノサファイア,,植野貴,198.7,,,, 4,  6.7,①①①, 3,12,Ｇネオヴィクトリア, 65,川島信, 0.2, 69,   4,   5, 5, 17.1, ⑨⑧, 3, 4,Ｈスズカヴィグラス, 85,秋山真, 0.2, 80,* 13,   5,10, 55.7,②②②
 4, 1,Ｉティｰエスアルスト, 46,義英真, 0.4, 58,   3,  -2, 9, 46.5, ④④, 4, 1, アｰサｰバロｰズ,,林満明,199.7,,,, 7, 12.0,④④④, 4, 1,Ｅギャラクシｰエクス, 68,義英真, 0.2, 73,* 15,  -5, 4, 10.4, ①①, 4, 8,Ｄショウナンアポロン, 88,幸英明, 0.2, 82,* 13,   4, 4,  6.8,①①①
 5,11,Ｂダシヌケ, 66,デムｰ, 0.5, 55,   2,  -2, 1,  2.4, ⑥⑤, 5, 4, アドマイヤバｰトン,,西谷誠,200.0,,,, 1,  3.9,⑧⑧⑨, 5, 2,Ｃケイリンボス, 71,中谷雄, 0.3, 64,  -6,* 14, 3,  4.9, ⑭⑬, 5,10,Ｅタガノゴｰルド, 86,中井裕, 0.3, 84,   8,* 14, 7, 16.0,⑫⑬⑭
 6, 2,Ｊカワキタキャッスル, 45,国分恭, 0.8, 57,*  9, -11,11, 86.9, ①①, 6, 8, ファイアｰシチｰ,,小坂忠,200.1,,,, 2,  4.0,⑨⑨⑧, 6, 8,Ｆチェネレントラ, 66,藤岡佑, 0.4, 65,   2,   5,12, 67.8, ⑩⑩, 6, 6,Ｍタイガｰシｰド, 83,川島信, 0.4, 81,  10,   8,16,210.5,⑥⑦⑤
 7,15,Ｅエレディｰタ, 54,藤岡佑, 0.8, 54,*  7, -10, 7, 28.5, ③③, 7, 7, コアレスドラｰド,,難波剛,200.3,,,, 5,  9.1,⑤⑥⑤, 7,13,Ｉタマモイヤリング, 62,藤懸貴, 0.5, 64,   5,   0, 8, 33.3, ⑦⑦, 7,11,Ｂランウェイワルツ, 90,松若風, 0.7, 81,   9,   9, 1,  3.7,⑬⑪⑪
 8,12,Ｈロザムンデ, 49,岩崎翼, 1.0, 50,  -6,   1, 8, 42.3, ⑪⑩, 8, 2, ニシノファブレッド,,浜野谷,201.6,,,, 8, 15.8,⑥⑦⑦, 8, 6,Ｎオウノミチ, 49,佐藤友, 0.5, 64,   2,   4, 7, 24.1, ⑪⑪, 8,13,Ｐマイネルハルカゼ, 82,佐藤友, 0.9, 77,* 12,   1,13, 81.3,④④④
