15年10月24日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年10月24日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝3250m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 4R  芝2850m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝2400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,萬代橋特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7, パスティ,,上野翔,,,,,12, 65.7,⑦③①, 1, 5, ゴｰルデンヒｰロｰ,,平沢健,,,,, 3,  4.8,②①①, 1, 9,Ｂピｰスオブジャパン, 77,鮫島克,, 76,   0,  16, 1,  3.4, ⑥⑥, 1, 9,Ｊウインスペクトル, 63,丹内祐,, 80,* -1,  14, 7, 12.9,①①①
 2,13, ユキノスライダｰ,,難波剛,210.6,,,, 6, 17.8,⑧⑦⑦, 2, 4, レッドヴィｰヴォ,,上野翔,188.1,,,, 1,  2.4,⑥③⑤, 2, 2,Ｇマンインザムｰン, 64,杉原誠, 0.0, 75,*  2,  12, 5, 11.6, ②②, 2,12,Ａチャパラ, 82,松田大, 0.6, 85,  -6,* 26, 1,  2.8,⑤⑤⑤
 3,10, オｰルアズワン,,北沢伸,210.9,,,, 5, 11.9,⑪⑥⑤, 3, 2, マイネルマｰク,,山本康,188.9,,,, 4,  7.3,⑧⑦⑥, 3,10,Ｃスタｰリｰウインド, 76,松若風, 0.0, 78,  -3,* 24, 2,  4.1, ⑩⑩, 3, 5,Ｃプレストウィック, 77,津村明, 0.8, 82,  -8,* 25, 2,  3.4,⑧⑧⑧
 4, 1, アラビアンドラゴン,,平沢健,211.3,,,,13, 93.6,⑫⑪⑪, 4, 9, テイエムリキオｰ,,高野和,189.7,,,, 5,  9.9,④⑤③, 4, 1,Ｅハッピｰウィルス, 69,伴啓太, 0.0, 77,   0,  18, 3,  4.3, ⑦⑦, 4, 8,Ｂストｰリｰセラｰ, 79,吉田隼, 0.9, 80,  -8,  23, 4,  9.3,⑦⑦⑦
 5,11, コアレスドラｰド,,植野貴,211.4,,,, 4, 10.1,⑤⑤④, 5, 7, シップウハヤト,,小坂忠,190.0,,,, 8, 26.7,⑪④②, 5, 8,Ｄヴォルスング, 75,木幡初, 0.6, 70,  -2,  11, 7, 19.7, ⑧⑧, 5, 4,Ｅトウケイアロｰ, 76,松若風, 1.1, 74,* -5,  13, 3,  7.3,②②②
 6, 6, メイショウアラワシ,,森一馬,211.9,,,, 8, 20.0,⑨⑩⑩, 6, 6, テｰオｰレジェンド,,西谷誠,190.8,,,, 2,  4.6,③⑥⑦, 6, 7,Ｊダノンサイクロン, 55,藤懸貴, 0.6, 73,*  2,   3, 9, 54.9, ①①, 6, 3,Ｄアドマイヤウイング, 77,丸山元, 1.2, 76,  -6,  16, 8, 14.3,③③③
 7, 3, マイネルミランダス,,山本康,211.9,,,, 9, 25.1,④②③, 7,11, ヤギリヒマワリ,,大江原,191.8,,,,11,182.2,⑨⑧⑧, 7, 3,Ａエインセル, 78,加藤祥, 1.0, 64,*  2,  -2, 4,  4.6, ④④, 7, 6,Ｆキタサンキンボシ, 72,荻野琢, 1.2, 76,  -6,  16, 6, 12.4,④④④
 8, 4, タマモプラネット,,小坂忠,212.3,,,, 1,  2.5,①①②, 8, 1, ステキステキ,,石神深,191.9,,,, 6, 20.2,⑩⑨⑨, 8, 5,Ｉシンボリシャガｰル, 60,小野寺, 1.2, 63,   1,  -2,10, 89.2, ③③, 8, 2,Ｋサトノダイレンサ, 62,鮫島克, 1.4, 80,  -9,  23, 5, 10.8,⑩⑬⑪
 9, 9, トウケイゴｰルド,,黒岩悠,213.1,,,, 3,  6.1,⑩⑧⑧, 9, 3, ケントヒｰロｰ,,森一馬,194.2,,,, 7, 20.9,⑤⑩⑩, 9, 6,Ｆシュヴァリエ, 67,義英真, 1.3, 62,   1,  -4, 6, 17.6, ⑤⑤, 9,13,Ｉテンカイチ, 66,原田和, 1.5, 78,  -9,  20,13,238.1,⑪⑩⑩
10, 2, マイネルゼｰラフ,,石神深,214.0,,,,10, 32.4,②④⑥,10,10, スリｰプレシャス,,草野太,194.3,,,,10, 54.3,⑦②④,10, 4,Ｈアサクサリｰダｰ, 64,横山和, 1.6, 59,  -3,  -1, 8, 21.3, ⑨⑨,10,10,Ｍゼロレボルシオン, 55,黛弘人, 1.5, 74,  -8,  14,12,114.1,⑥⑥⑥
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11, 1,Ｇステラストリｰム, 67,長岡禎, 1.6, 79, -10,  22,11, 92.1,⑬⑫⑬
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,11,Ｈトウカイエンプレス, 67,伴啓太, 1.7, 76, -10,  20,10, 82.4,⑫⑪⑫
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13, 7,Ｌツクバインドラ, 55,丸田恭, 1.9, 70,  -9,  13, 9, 81.6,⑨⑨⑨
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:6),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:良(指数:6),,,,,,,,,,,
"単勝:6,570円 複勝:07=1,930円 13=600円 10=370円 枠連:5,490円",,,,,,,,,,,,単勝:480円 複勝:05=140円 04=120円 02=230円 枠連:640円,,,,,,,,,,,,単勝:340円 複勝:09=140円 02=240円 10=160円 枠連:930円,,,,,,,,,,,,"単勝:1,290円 複勝:09=250円 12=130円 05=130円 枠連:780円",,,,,,,,,,,
"馬連:45,600円 ワイド:07-13=8,770円 07-10=8,900円 10-13=2,670円",,,,,,,,,,,,馬連:700円 ワイド:04-05=250円 02-05=580円 02-04=490円,,,,,,,,,,,,"馬連:2,570円 ワイド:02-09=760円 09-10=270円 02-10=880円",,,,,,,,,,,,"馬連:2,030円 ワイド:09-12=540円 05-09=780円 05-12=250円",,,,,,,,,,,
"馬単:107,140円 3連複:120,080円 3連単:1,419,890円",,,,,,,,,,,,"馬単:1,630円 3連複:1,950円 3連単:9,540円",,,,,,,,,,,,"馬単:3,650円 3連複:2,630円 3連単:16,540円",,,,,,,,,,,,"馬単:5,030円 3連複:2,100円 3連単:18,080円",,,,,,,,,,,
■ 2R  ダ1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 5R  芝1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 8R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-14,,,,,■11R  ダ1200m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,妙高特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｅレディｰトゥｰゴｰ, 39,松田大,, 62,* -2,*  5, 2,  4.0,①①①, 1, 9,Ｇコスモヴェッキオ, 43,丹内祐,, 47,* -2,  -2, 7, 23.4, ①①, 1, 1,Ａタマモマズルカ, 74,吉田隼,, 71,* -5,* 16, 1,  3.7,①①①, 1, 9,Ｂアスタｰストｰム, 80,鮫島克,, 80,* 13,   5,12, 48.6, ②②
 2, 2,Ｂサンアンダｰソン, 42,岩部純, 0.7, 56,  -4,*  2, 4, 29.4,③③③, 2, 8,Ｄヨカグラ, 46,北村友, 0.2, 48,  -7,*  6, 3,  5.4, ⑥⑥, 2, 6,Ｃコマクサ, 73,丸山元, 0.7, 66,  -6,  13, 2,  5.1,④②③, 2, 3,Ｊシャラク, 74,丸田恭, 0.3, 78,* 13,   1,13, 60.9, ①①
 3, 4,Ａリｰガルオフィス, 54,吉田隼, 1.5, 51,* -3,  -6, 1,  1.3,②②②, 3, 7,Ａダンツペレット, 54,松若風, 0.2, 47,  -4,   2, 1,  2.2, ④④, 3, 7,Ｋレオナビゲｰト, 57,黛弘人, 0.9, 65,* -5,  10, 9, 22.6,②③②, 3, 1,Ａキタサンサジン, 81,松田大, 0.4, 77,  11,   3, 1,  1.8, ③③
 4, 5,Ｄディｰエスレヴュｰ, 41,横山和, 1.8, 51,  -5,  -6, 8, 52.0,④④④, 4, 4,Ｃトラストルｰク, 46,鮫島克, 0.2, 47,  -5,   2, 4,  6.0, ③③, 4, 2,Ｄマルカロゼッタ, 73,荻野琢, 0.9, 67,  -9,* 16, 6, 10.6,⑦⑧⑦, 4,14,Ｉカフジテイク, 75,高倉稜, 0.6, 73,  -1,* 12, 2,  6.4, ⑬⑬
 5, 9,Ｆマジックダイオウ, 39,小坂忠, 2.0, 50,  -8,  -1, 5, 32.8,⑧⑦⑦, 5, 3,Ｆディクタム, 44,吉田隼, 0.3, 47,  -8,*  8, 2,  5.3, ⑦⑦, 5, 5,Ｉレアルイモン, 63,二本柳, 0.9, 67,  -9,* 17, 3,  5.6,⑨⑩⑨, 5,10,Ｅキｰプレイヤｰ, 77,嶋田純, 0.8, 72,   8,   2, 6, 17.4, ⑦⑦
 6, 8,Ｇロｰドディロング, 38,木幡初, 2.3, 48,  -9,  -2, 6, 43.3,⑤⑧⑧, 6,10,Ｈクリンクリン, 42,伴啓太, 0.5, 43,* -3,  -7,10, 82.0, ②②, 6,10,Ｂコピｰライタｰ, 74,加藤祥, 1.1, 64,  -7,  10, 7, 14.5,③④④, 6,15,Ｃアドマイヤシャドウ, 79,北村友, 0.9, 70,   4,   5, 7, 18.2, ⑪⑪
