15年 8月16日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 8月16日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-12,,,,,■ 4R  芝2900m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1200m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  ダ1700m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,西部日刊ｽﾎﾟｰﾂ杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｂゼンノハｰデｰス, 40,北村友,, 46,*  0, -15, 2,  4.1, ①①, 1, 2, メイショウヤマナミ,,熊沢重,,,,, 3,  5.8,①①①, 1, 4,Ｇトウカイセンス, 68,浜中俊,, 73,   2,* 13, 1,  3.8, ⑧⑦, 1, 3,Ｆメイショウワコン, 78,川田将,, 80,* 14,   8, 3,  8.0,③②①
 2,11,Ｃクｰルマギｰ, 40,浜中俊, 0.2, 42,  -3, -13, 3,  4.8, ⑤④, 2, 9, スノｰドン,,高田潤,194.4,,,, 1,  2.2,⑤⑥⑥, 2, 8,Ａネオヴィクトリア, 74,川田将, 0.1, 72,   6,   7, 4,  7.2, ⑤⑤, 2,11,Ｃモズライジン, 81,中谷雄, 0.4, 78,   9,* 14, 1,  3.2,⑭⑧⑤
 3, 7,Ｄティノ, 38,鮫島克, 0.2, 44,* -2, -14, 4,  8.2, ②③, 3, 7, カフェシュプリｰム,,西谷誠,194.7,,,, 4,  5.9,④②②, 3, 9,Ｋボストンサクラ, 64,岩崎翼, 0.3, 69,*  8,   2,11, 41.2, ③③, 3,16,Ｄプリンスダム, 80,浜中俊, 0.5, 77,   9,* 13, 2,  4.0,⑦⑦⑦
 4,12,Ａマｰブルフレンテ, 46,松山弘, 0.2, 41,  -8,*-10, 1,  3.7, ⑧⑥, 4, 3, テイエムオドロキ,,小坂忠,195.1,,,, 9, 90.9,③③③, 4,12,Ｉルアンジュ, 67,松山弘, 0.5, 67,  -7,* 14, 2,  4.2, ⑯⑬, 4,12,Ａメモリｰシャルマン, 82,国分優, 0.9, 74,   5,* 15, 4,  8.4,⑮⑭⑪
 5, 1,Ｅアンデンモント, 37,国分優, 0.4, 38,  -6, -13, 6, 15.9, ⑥⑤, 5, 1, ハクユウドルフィン,,難波剛,195.2,,,, 2,  4.1,⑥⑤④, 5,16,Ｍキミニヒトメボレ, 60,北村友, 0.5, 66,   2,   6,10, 28.8, ⑨⑨, 5, 9,Ｇメイショウドゥｰマ, 78,松若風, 1.3, 75,   4,* 15, 7, 14.7,⑯⑯⑮
 6, 6,Ｋテイエムオｰルマル, 26,太宰啓, 0.6, 39,* -1, -21,14,205.4, ③②, 6, 5, サトノジェミニ,,白浜雄,196.4,,,, 7, 25.8,②④⑤, 6, 2,Ｈタガノビｰンズ, 67,和田竜, 0.5, 68,  -6,* 14, 5,  9.9, ⑮⑰, 6,13,Ｅサウススタｰマン, 79,北村友, 1.6, 68,* 13,  -4, 6, 12.5,④③③
 7, 4,Ｆウインランブル, 30,和田竜, 0.8, 33,  -6, -19, 7, 16.0, ⑦⑨, 7, 8, ハドソンシチｰ,,林満明,197.3,,,, 8, 42.2,⑧⑧⑧, 7,14,Ｂエルノルテ, 70,松若風, 0.7, 63,  -2,   7, 3,  7.1, ⑪⑫, 7,14,Ｌタンスチョキン, 75,秋山真, 1.8, 66,   7,   4,12, 43.4,⑫⑫⑧
 8,15,Ｌマイネルカリスト, 22,川田将, 0.8, 32, -15,*-11, 9, 37.5, ⑭⑬, 8, 4, コウザンフォルテ,,植野貴,197.7,,,, 5, 10.8,⑦⑦⑦, 8,15,Ｄグッドレインボｰ, 69,鮫島克, 0.7, 63,  -8,* 12, 7, 15.1, ⑰⑮, 8,10,Ｋパフュｰムボム, 76,国分恭, 1.9, 69,   7,   4,11, 40.5,⑪⑩⑫
 9, 9,Ｉリｰゼントフォルテ, 28,中谷雄, 0.9, 31, -16,*-11, 5, 10.6, ⑬⑭, 9, 6, サンライズブルｰ,,北沢伸,214.6,,,, 6, 16.0,⑨⑨⑨, 9,10,Ｆクｰルジョジョ, 69,太宰啓, 0.8, 63,  -3,   8, 9, 23.2, ⑭⑭, 9, 7,Ｐジョディｰズロマン, 66,酒井学, 2.2, 67,   7,   1,15,132.7,⑨⑪⑩
10, 5,Ｎアミｰラ, 15,岡田祥, 0.9, 33,  -5, -21,10, 50.5, ④⑦,,,,,,,,,,,,,10,17,Ｎデイドリｰム, 59,藤懸貴, 0.9, 61,   4,  -2,12, 47.6, ⑦⑧,10, 2,Ｉタガノスマイル, 76,岩崎翼, 2.3, 64,* 14, -12, 5,  9.2,②①②
11, 2,Ｊトオイショウワノ, 27,岩崎翼, 1.0, 30, -12, -14,11, 57.3, ⑪⑪,,,,,,,,,,,,,11, 1,Ｅタガノレベッカ, 69,秋山真, 1.0, 60,   7,  -6, 8, 22.9, ④④,11, 8,Ｍアスタｰフレンチ, 73,太宰啓, 2.5, 64,   6,   0,13, 44.9,⑩⑬⑭
12,13,Ｈカシノナイト, 28,義英真, 1.0, 29, -12, -16,15,211.0, ⑫⑫,,,,,,,,,,,,,12, 7,Ｃグリュｰヴァイン, 70,酒井学, 1.0, 60,* 10,  -9, 6, 10.2, ②②,12, 6,Ｈエイヴィアンボス, 76,松山弘, 2.7, 62,  11,  -9, 9, 26.2,⑥⑥⑥
13, 3,Ｍメイショウルルド, 19,川島信, 1.3, 26, -11, -22, 8, 23.1, ⑩⑧,,,,,,,,,,,,,13,11,Ｏキクノサｰジ, 53,国分恭, 1.1, 59,  -1,   1,16,197.7, ⑩⑪,13, 1,Ｎトウカイメリｰ, 72,義英真, 2.7, 63,   8,  -4,14, 97.3,⑧⑨⑨
14, 8,Ｇアカルイハピｰ, 29,松若風, 1.4, 25, -18, -15,12,129.4, ⑮⑮,,,,,,,,,,,,,14, 3,Ｐウｰマン, 47,柴田未, 1.3, 56,   3,  -6,15,191.1, ⑥⑥,14,15,Ｂバコパ, 81,和田竜, 2.9, 60,* 14, -15,10, 36.3,⑤④④
15,14,Ｏカシノマオウ,-11,酒井学, 2.8,  8,  -6, -45,13,170.7, ⑨⑩,,,,,,,,,,,,,15,13,Ｊヤマニンナジャｰハ, 66,岡田祥, 1.4, 55,  -4,   0,14, 78.5, ⑫⑩,15, 4,Ｏサンデｰミノル, 71,高倉稜, 3.5, 59,   5,  -5,16,187.1,⑬⑮⑯
,,,,,,,,,,,,,,,,,,,,,,,,16, 6,Ｑスイｰトポｰラ, 41,義英真, 1.8, 49,  -4,  -6,17,204.0, ⑬⑯,16, 5,Ｊミキノノボリリュウ, 76,熊沢重, 5.1, 47,  13, -33, 8, 24.9,①⑤⑬
,,,,,,,,,,,,,,,,,,,,,,,,17, 5,Ｌオフェｰリアシチｰ, 63,国分優, 2.7, 38,* 10, -30,13, 56.5, ①①,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
