15年 5月10日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 5月10日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 7R  ダ1600m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  ダ2100m 4歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ﾌﾞﾘﾘｱﾝﾄｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ａジｰガｰルｰジュ, 65,田辺裕,, 66,  -2,*  9, 2,  3.9, ⑩⑦, 1, 5,Ｆフォルサ, 57,武豊  ,, 65,* -4,   0, 3, 10.1,①①②, 1,11,Ｅオニノシタブル, 71,江田照,, 75,  -2,* 18, 3,  4.8, ⑨⑨, 1,10,Ａドコフクカゼ, 95,岩田康,, 89,  15,  13, 1,  2.3,⑧⑥⑥
 2,11, ショウナンマラｰク,---,北村宏, 0.4, 64,  -1,*  4, 6, 11.5, ⑦⑤, 2, 3,Ａケルンダッシュ, 71,横山典, 0.1, 65,  -7,*  6, 2,  3.8,⑦⑦⑦, 2,14,Ｇルヴァンカｰ, 71,武豊  , 0.1, 74,*  1,  12, 4,  5.8, ②②, 2,14,Ｍソリタリｰキング, 85,戸崎圭, 0.0, 90,  14,* 15, 6, 20.4,⑩⑨⑨
 3,10,Ｈボンヌヴェル, 49,浜中俊, 1.2, 59,  -5,   3, 7, 15.6, ⑫⑪, 3, 2,Ｄブリエアヴェニｰル, 60,田辺裕, 0.2, 65,* -4,   0, 4, 12.1,③③③, 3, 7,Ｂディアグリスタｰ, 73,戸崎圭, 0.4, 72,  -4,* 17, 8, 22.4, ⑪⑪, 3,11,Ｐアンコイルド, 82,田辺裕, 0.3, 88,  15,  12,13, 80.7,⑪⑦⑦
 4, 9,Ｄカスミチャン, 57,戸崎圭, 1.2, 57,*  0,  -4, 1,  3.3, ②②, 4, 9,Ｂアンギアｰリ, 68,ルメｰ, 0.2, 62,* -2,  -4, 1,  1.4,⑥④①, 4, 5,Ａアサクサスタｰズ, 75,ルメｰ, 0.4, 72,*  0,  11, 1,  3.3, ③③, 4, 4,Ｇカゼノコ, 88,浜中俊, 0.4, 89,  13,* 16, 2,  4.8,⑫⑬⑬
 5, 7,Ｃクインズアベンチャ, 60,横山典, 1.2, 55,*  1,  -5, 4,  8.2, ①①, 5,10,Ｃマイネルインプレス, 61,柴田大, 0.7, 60,  -5,  -4, 5, 16.0,④⑤⑤, 5,12,Ｍフィラｰレ, 58,松田大, 0.5, 72,  -1,  13, 9, 32.1, ⑧⑦, 5, 5,Ｉキクノソル, 88,三浦皇, 0.6, 86,  14,  11, 5, 11.8,⑤⑧⑧
 6, 1,Ｂペンタプリズム, 62,三浦皇, 1.2, 59,  -3,   0, 3,  4.4, ⑧⑨, 6, 6,Ｈトｰセンルミナス, 51,内田博, 0.9, 58,  -6,  -5, 6, 58.8,⑤⑥⑥, 6,13,Ｋブラックシェンロン, 65,田辺裕, 0.8, 69,  -2,  11,10, 78.3, ⑦⑧, 6, 8,Ｄナリタポセイドン, 90,武士沢, 0.6, 86,  12,* 15, 7, 30.1,⑯⑯⑯
 7, 5,Ｇヒットザフロアｰ, 49,ルメｰ, 1.5, 56,  -2,  -3, 5,  9.1, ④⑥, 7, 1,Ｇテイエムソラトブ, 56,幸英明, 1.2, 57,  -9,  -3, 8,140.8,⑧⑧⑧, 7, 4,Ｉロジテｰスト, 69,松岡正, 0.8, 68,  -1,   9, 6, 17.5, ⑤④, 7, 6,Ｂレッドグランザ, 94,田中勝, 0.8, 85,* 15,   5, 4,  6.5,③④③
 8, 4,Ｅウインアシュリン, 52,柴田大, 1.9, 54,  -1,  -8, 8, 19.1, ③③, 8, 8,Ｊサンフラワｰ, 45,武士沢, 1.4, 54,* -4, -17, 7, 98.6,②②④, 8, 3,Ｈトップアドバンス, 70,武士沢, 1.2, 67,  -5,  13,11,127.3, ⑬⑬, 8,12,Ｅヴォｰグトルネｰド, 90,横山典, 0.9, 84,  14,   9, 3,  6.3,⑭⑫⑩
 9, 3,Ｆカゼニモマケズ, 51,武士沢, 2.4, 49,  -2, -10, 9, 59.3, ⑥⑧, 9, 7,Ｅヤワタオリオン, 57,江田照, 1.8, 50,  -8, -10, 9,155.4,⑨⑨⑨, 9, 8,Ｃトゥｰルモンド, 73,吉田豊, 1.3, 64,  -1,   6, 7, 18.1, ⑥⑥, 9, 3,Ｃダイヤノゲンセキ, 93,柴山雄, 1.0, 82,  13,   9,11, 70.8,⑨⑩⑪
10, 2,Ｉホホエムオンナ, 48,柴山雄, 3.3, 42,  -4, -15,12,202.5, ⑪⑩,,,,,,,,,,,,,10, 6,Ｄゴｰルドリｰガル, 73,内田博, 1.5, 63,*  0,   2, 2,  4.0, ④⑤,10, 7,Ｌクラシカルノヴァ, 88,幸英明, 1.3, 82,  13,   7,15,208.0,⑦⑪⑫
11, 6,Ｊパｰプルカクタス, 42,村田一, 3.4, 41,  -1, -22,11,136.0, ⑤④,,,,,,,,,,,,,11, 1,Ｆポップアップハｰト, 71,岩田康, 1.9, 60,  -4,   4, 5,  8.9, ⑫⑫,11,13,Ｋメテオロロジスト, 88,ルメｰ, 1.4, 81,  15,   1,12, 74.1,⑥⑤⑤
12, 8,Ｋクインズアダマン, 40,内田博, 4.7, 33,  -7, -24,10, 81.2, ⑨⑫,,,,,,,,,,,,,12, 9,Ｌファイアボｰル, 63,柴山雄, 2.1, 59,  -7,   8,14,244.1, ⑭⑭,12,16,Ｆメイショウイチオシ, 89,武幸四, 1.5, 81,* 15,  -2,10, 43.5,④①①
,,,,,,,,,,,,,,,,,,,,,,,,13, 2,Ｊマスソングウインド, 69,村田一, 2.2, 58,  -3,   0,12,164.2, ⑩⑩,13,15,Ｊサンマルデュｰク, 88,江田照, 1.6, 79,  13,   5,14,159.5,⑬⑭⑭
,,,,,,,,,,,,,,,,,,,,,,,,14,10,Ｎメイプルレジェンド, 53,田中勝, 2.4, 56,*  1,  -8,13,215.1, ①①,14, 9,Ｎジャンナ, 84,柴田大, 2.4, 76,  12,   0,16,267.8,⑮⑮⑮
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15, 1,Ｈベルサリエｰレ, 88,武豊  , 2.6, 74,  15,  -8, 8, 35.0,①②④
