15年 2月 7日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 2月 7日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1300m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 4R  芝3000m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ2100m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝2400m 4歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,箱根特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ａノｰフェイト, 59,田中勝,, 60,  -4,* -1, 1,  1.9, ⑩⑥, 1, 1, ハヤブサゴッド,,草野太,,,,, 3,  6.0,①①①, 1, 6,Ｄグラスプリマ, 76,蛯名正,, 76,   5,* 10, 5, 14.0,⑨⑦⑦, 1, 2,Ｅダｰビｰフィズ, 81,蛯名正,, 83,  13,* 12, 2,  5.1,⑧⑨⑧
 2, 7,Ｂリリｰグランツ, 57,吉田豊, 0.1, 57,  -8,*  2, 4, 10.1, ⑪⑪, 2, 5, ヒラボクインパクト,,石神深,203.5,,,, 1,  2.0,④②②, 2,16,Ｂトゥインクル, 78,ベリｰ, 0.2, 74,*  8,   4, 2,  4.6,⑦③③, 2,12,Ａエイシンアロンジｰ, 86,川田将, 0.0, 81,  13,   9, 1,  1.7,⑥⑥⑥
 3, 8,Ｄコｰリンブリリアン, 55,石橋脩, 0.4, 56,* -3,  -5, 3,  8.3, ④⑤, 3, 8, イフウドウドウ,,難波剛,203.8,,,, 2,  5.8,⑤④③, 3, 7,Ａメイスンキャプテン, 79,田辺裕, 0.3, 75,   6,   7, 1,  2.6,⑭⑨⑧, 3, 7,Ｍアンプラグド, 74,石橋脩, 0.0, 81,* 14,   6,11, 41.7,③③②
 4, 2,Ｃトエハタエ, 57,横山和, 0.4, 57,* -3,  -6, 2,  4.1, ②②, 4,14, ワンダｰバライル,,佐久間,204.1,,,,11, 92.0,⑥⑤④, 4,10,Ｆタイセイボルト, 73,吉田豊, 0.6, 73,   4,* 11,12, 43.0,⑯⑬⑬, 4,10,Ｄサトノレオパｰド, 82,北村宏, 0.1, 81,  11,* 13, 5, 20.6,⑫⑪⑪
 5, 3,Ｈスマイルハッピｰ, 48,嘉藤貴, 0.5, 55,  -5,  -4,10,111.1, ⑥⑦, 5, 9, シップウハヤト,,小坂忠,204.7,,,, 5, 11.6,⑨⑥⑥, 5,15,Ｌリムショット, 67,横山和, 0.6, 75,   5,   7,11, 39.7,⑪⑫⑫, 5, 4,Ｇディスキｰダンス, 77,戸崎圭, 0.1, 80,  11,* 14, 7, 31.2,⑩⑫⑫
 6,10,Ｇプラセンタ, 51,柴山雄, 0.9, 51,* -1, -12, 8, 31.5, ⑤①, 6, 3, ドクタｰルキア,,浜野谷,205.7,,,, 9, 30.6,⑦⑧⑦, 6,12,Ｅマルマロス, 74,三浦皇, 0.9, 71,   7,   0, 4, 10.4,④⑥⑤, 6,11,Ｋヘルデンテノｰル, 75,吉田豊, 0.2, 80,  11,* 11, 4, 19.7,⑬⑬⑬
 7,11,Ｐトｰセンプリズム, 18,江田照, 1.1, 48, -11,  -3,15,347.9, ⑬⑬, 7, 4, ハルカフジ,,西谷誠,205.8,,,, 7, 26.1,⑩⑩⑩, 7,13,Ｏオｰルデフィｰト, 64,木幡初, 1.2, 69,   5,   1,16,289.0,⑩⑪⑩, 7, 6,Ｏストｰミング, 73,田中勝, 0.4, 77,* 15,  -3, 3,  6.3,①①①
 8,15,Ｌマｰスクィｰン, 39,後藤浩, 1.1, 47,  -9,  -6,11,134.3, ⑫⑫, 8,13, パスティ,,山本康,205.9,,,, 8, 26.7,③③⑤, 8, 1,Ｉポｰラメソッド, 71,大野拓, 1.3, 68,   7,  -4, 9, 20.6,③④④, 8,13,Ｂレイトライザｰ, 82,横山典, 0.4, 76,  11,   7, 6, 25.6,⑪⑩⑩
