15年 4月26日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 4月26日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  芝1600m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 7R  芝2400m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■10R  ダ1800m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,上賀茂ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,16,Ａアスタキサンチン, 63,川須栄,, 68,*  7,*  1, 1,  1.9, ①①, 1, 5,Ａマイアベｰア, 64,川田将,, 65,* -4,  -3, 1,  1.9, ②②, 1,10,Ｂマッチボックス, 75,四位洋,, 78,   6,*  7, 2,  4.2,⑥⑤⑥, 1,14,Ｆエノラブエナ, 85,小牧太,, 88,   7,* 20, 3,  4.8,⑪⑪⑧
 2,13,Ｅコウエイラブリｰ, 52,戸崎圭, 1.0, 57,   3,  -5, 3,  5.4, ④③, 2,11,Ｃセイントバロｰズ, 63,岩田康, 0.3, 65, -11,*  6, 3,  8.2, ⑭⑫, 2, 2,Ｆウェｰブゴｰルド, 70,川田将, 0.2, 77,   6,*  4, 5,  7.2,④⑥⑤, 2, 1,Ａテイエムダイパワｰ, 88,古川吉, 0.1, 84,* 11,  11, 1,  3.7,①①①
 3, 6,Ｂケンブリッジアロｰ, 62,岩田康, 1.1, 57,   3,  -4, 2,  4.5, ⑥⑤, 3, 6,Ｊアグネスエンジェル, 54,藤田伸, 0.3, 63,  -8,*  0,15,237.4, ⑧⑧, 3, 3,Ｅフロリダパンサｰ, 71,高倉稜, 0.3, 74,* 13, -19, 4,  6.1,②②②, 3,12,Ｍメイショウソラｰレ, 83,岩田康, 0.3, 83,   8,  14, 9, 21.1,⑩⑨⑤
 4, 4,Ｆエンジェルキッス, 45,松山弘, 1.4, 55,   2,  -5, 5, 16.9, ⑧⑥, 4, 9,Ｌティｰエスバラ, 52,松山弘, 0.4, 60,* -4,  -8,11,137.5, ③③, 4, 9,Ｃカレングラスジョｰ, 75,ルメｰ, 0.5, 73,   7,  -3, 3,  5.9,⑤④④, 4, 4,Ｈエクストラゴｰルド, 85,ルメｰ, 0.4, 81,* 10,  11, 4,  6.9,②④②
 5,15,Ｄダンシング, 52,幸英明, 2.0, 50,   3, -14, 4,  9.4, ⑤④, 5, 2,Ｉケンブリッジナイン, 55,幸英明, 0.4, 60,* -2, -10, 6, 15.1, ①①, 5, 8,Ｇチェイスザゴｰルド, 70,和田竜, 0.7, 71,   4,  -1, 9,108.4,⑧⑨⑦, 5, 8,Ｅチェスナットバロン, 85,戸崎圭, 0.4, 83,   7,  15, 7, 17.6,⑦⑩⑩
 6, 1,Ｃマイティｰフライ, 53,和田竜, 2.1, 48,  -8,*  1, 7, 33.6, ⑭⑭, 6, 4,Ｂベッライリス, 64,浜中俊, 0.6, 61,  -9,*  1, 2,  4.6, ⑪⑪, 6, 5,Ｊエリタｰジュゲラン, 66,藤岡康, 0.7, 72,   5,   0, 8, 55.8,⑦⑦⑧, 6,13,Ｉグランフィデリオ, 85,鮫島良, 0.6, 83,   7,  16,12, 83.6,⑫⑫⑬
 7, 9,Ｌテイエムオタカラ, 22,小牧太, 2.3, 46,  -5,  -5,10, 60.4, ⑫⑪, 7,15,Ｅウインベントゥｰラ, 63,和田竜, 0.6, 61,  -9,*  0, 4,  8.5, ⑫⑬, 7, 7,Ｈデンコウウンリュウ, 69,幸英明, 0.8, 72,   5,   1,10,127.7,⑩⑩⑩, 7, 3,Ｋセイスコｰピオン, 84,国分優, 0.6, 83,   4,* 20,11, 45.1,⑮⑯⑯
 8,10,Ｇグランマｰロン, 44,岩崎翼, 2.3, 47,  -3,  -8, 8, 42.9, ⑩⑩, 8,10,Ｄビバリｰヒルズ, 63,ルメｰ, 0.7, 57,  -6,  -7, 5, 10.1, ⑦⑥, 8, 4,Ｄジュｰヴルエｰル, 74,松田大, 1.5, 65,   7, -18, 7, 15.3,③③③, 8, 6,Ｄミッキｰスマホ, 86,松田大, 0.7, 82,   9,  10, 2,  4.6,④⑥⑥
