15年 9月27日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 9月27日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  ダ1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝1600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,外房特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12, 4,Ｊナリノストレイト, 34,柴山雄, 5.5, 27,   3, -49, 2,  7.4,①⑤⑦,12,14, レオベロｰナ,---,岩部純, 4.0, 28, -18, -19,15,217.2, ⑬⑫,12, 9,Ｎシｰロア, 61,柴山雄, 0.5, 65, -10,   5,14, 59.3, ⑩⑩,12, 7,Ｃサトノプレジデント, 77,柴山雄, 0.9, 65, -20,  14, 3,  5.8,⑯⑮⑮
13, 3,Ｎライクアファルコン,  2,井上敏, 5.7, 27,  -7, -31,14,291.1,⑬⑭⑭,13, 4, ホｰミｰ,---,吉田豊, 4.3, 24, -16, -23, 5,  9.7, ⑨⑩,13,12,Ｄランパスキャット, 72,田辺裕, 0.6, 65, -15,   9, 8, 16.2, ⑮⑭,13, 6,Ｏレッドマニッシュ, 62,勝浦正, 0.9, 63, -16,   8,14,120.4,⑩⑩⑨
14, 6,Ｍタイキカイザｰ, 18,北村宏, 6.3, 27,   2, -54, 7, 21.6,⑥⑧⑩,14, 8, ブラｰヴロワ,---,宮崎北, 4.5, 23, -40,  -3,14,146.9, ⑯⑯,14, 2,Ｋコウユｰココロザシ, 62,村田一, 0.6, 64,  -6,   0,13, 53.7, ⑤⑤,14,10,Ｍルナプロスペクタｰ, 68,岩田康, 1.5, 57, -17,   3, 6, 12.0,⑪⑪⑫
,,,,,,,,,,,,15,12, トミケンブリクセム,---,勝浦正, 5.0, 19, -10, -35,10, 70.6, ④④,15,13,Ｊアルマダクロス, 63,池添謙, 0.9, 60, -14,   4,12, 48.7, ⑬⑬,15,13,Ｎキングクリチャン, 66,嶋田純, 1.5, 53,*-13,  -4,16,160.4,④⑥⑦
,,,,,,,,,,,,16,13, リュミヌ,---,村田一, 6.0, 12, -23, -29,16,307.5, ⑮⑮,16, 7,Ｐクリノメンタンピン, 45,嶋田純, 1.3, 57, -21,   7,16,203.7, ⑯⑯,16,14,Ｐカロッサル, 61,丹内祐, 1.9, 52, -21,   3,15,143.9,⑮⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-12 馬場:重(指数:-8),,,,,,,,,,,,ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:重(指数:-8),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:稍重(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-16 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-1),,,,,,,,,,,
"単勝:950円 複勝:11=420円 12=2,930円 09=670円 枠連:28,490円",,,,,,,,,,,,単勝:300円 複勝:11=140円 05=200円 07=230円 枠連:730円,,,,,,,,,,,,"単勝:5,940円 複勝:08=1,210円 06=400円 11=290円 枠連:6,790円",,,,,,,,,,,,単勝:930円 複勝:08=270円 05=170円 15=220円 枠連:760円,,,,,,,,,,,
"馬連:27,700円 ワイド:11-12=5,670円 09-11=1,470円 09-12=7,150円",,,,,,,,,,,,"馬連:1,060円 ワイド:05-11=450円 07-11=580円 05-07=950円",,,,,,,,,,,,"馬連:36,370円 ワイド:06-08=8,170円 08-11=6,330円 06-11=2,190円",,,,,,,,,,,,"馬連:2,150円 ワイド:05-08=770円 08-15=1,130円 05-15=470円",,,,,,,,,,,
"馬単:47,230円 3連複:86,610円 3連単:475,650円",,,,,,,,,,,,"馬単:1,720円 3連複:2,900円 3連単:9,910円",,,,,,,,,,,,"馬単:71,210円 3連複:104,130円 3連単:849,800円",,,,,,,,,,,,"馬単:5,580円 3連複:4,130円 3連単:30,330円",,,,,,,,,,,
■ 2R  芝1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 5R  芝2000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■11R  芝2200m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,産経賞ｵｰﾙｶﾏｰ ＧⅡ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ａアドマイヤモラｰル, 51,岩田康,, 56,  -7,  -6, 1,  1.5,⑦⑦⑥, 1,12, アメリカンヘブン,---,岩田康,, 55, -25,* 12, 1,  3.6,⑥⑤④, 1, 8,Ｇソルプレｰサ, 66,嘉藤貴,, 70,*  9,  -1, 4, 12.7, ③③, 1, 3,Ｅショウナンパンドラ, 88,池添謙,, 94,  13,* 20, 3,  7.6,⑩⑨⑧
 2, 5,Ｊラスカルグレイ, 36,内田博, 0.1, 52,* -3, -15, 6, 18.2,①①①, 2, 3, ケイアイダイチャン,---,内田博, 0.3, 54, -27,* 12, 2,  3.7,⑦⑦⑥, 2,12,Ａホスト, 78,丹内祐, 0.0, 71,   6,   2, 1,  2.0, ⑤⑤, 2, 4,Ａヌｰヴォレコルト, 91,岩田康, 0.2, 93,  14,* 14, 1,  2.8,⑤⑦⑤
 3,13,Ｇダイチラディウス, 41,石川裕, 0.2, 57, -14,*  3,10, 85.0,⑫⑭⑬, 3, 2, シュペルミエｰル,---,北村宏, 0.5, 53, -29,* 13, 3,  5.4,⑫⑨⑩, 3,11,Ｅツインプラネット, 69,伊藤工, 0.0, 70,* 10,  -1, 8, 19.8, ①①, 3, 9,Ｂミトラ, 91,柴山雄, 0.5, 88,  14,   8, 7, 16.5,⑥⑤⑥
 4,12,Ｄカキツバタチグサ, 48,大野拓, 0.2, 56, -13,*  0, 4, 11.8,⑮⑫⑦, 4, 8, カゲムシャ,---,嘉藤貴, 0.7, 49, -26,   6,13,132.6,⑧⑧⑦, 4, 3,Ｆドラゴンスパン, 68,蛯名正, 0.2, 69,   6,   1, 5, 16.4, ④④, 4, 6,Ｋロゴタイプ, 82,デムｰ, 0.5, 87,* 16,   7, 2,  4.1,③③③
 5, 2,Ｃアポロノホウリン, 50,勝浦正, 0.3, 52,  -9,  -9, 3,  7.8,⑤⑥⑨, 5, 1, ダイワリアクション,---,デムｰ, 0.9, 45, -28,   6, 4,  6.3,⑨⑩⑧, 5,10,Ｈブルｰミｰフラワｰ, 66,内田博, 0.5, 66, -11,* 14,10, 31.1, ⑮⑮, 5,14,Ｊマリアライト, 83,蛯名正, 0.8, 88,  13,  10, 4, 11.1,⑫⑪⑩
 6,10,Ｆアルマラナキラ, 43,三浦皇, 0.3, 52,* -6, -13,12, 89.4,③⑤③, 6, 4, レギオン,---,吉田隼, 0.9, 38,*-24,  -5, 6, 12.6,①①①, 6, 5,Ｂカネｰタ, 73,石川裕, 0.7, 65,   2,  -1, 3,  6.3, ⑦⑦, 6,13,Ｍメイショウナルト, 82,大野拓, 0.9, 85,* 16,   0,14, 79.4,④④④
