15年 8月 9日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 8月 9日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 7R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝1000m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,驀進特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ａクｰドラパン, 51,田辺裕,, 63, -12,*  6, 1,  1.7, ⑧⑨, 1, 1,Ｆシュンクルｰズ, 56,蛯名正,, 70, -16,* 13, 4,  7.0, ⑫⑪, 1,12,Ａムｰンレンジャｰ, 78,柴田善,, 83,  10,* 13, 1,  2.4,⑧⑤④, 1, 3,Ｂプリンセスムｰン, 73,北村友,, 78,  -7,* 18, 3,  5.7,   
 2, 5,Ｈコスモレティクルム, 32,柴田大, 0.3, 60, -12,*  3, 6, 20.5, ⑨⑧, 2,16,Ｈハネムｰンソング, 55,伴啓太, 0.2, 65, -11,   5, 7, 23.2, ⑥⑥, 2, 7,Ｂメイプルレインボｰ, 76,長岡禎, 0.6, 79,  11,*  7, 5,  9.2,④②②, 2, 4,Ａモルジアナ, 75,北村宏, 0.0, 79,  -3,* 15, 1,  3.4,   
 3, 7,Ｄテンプルツリｰ, 41,嘉藤貴, 0.7, 54, -11,  -6, 5, 14.0, ⑥⑦, 3,12,Ｅレッドアフレイム, 57,石橋脩, 0.2, 65,  -9,   4, 3,  6.3, ⑤⑤, 3, 4,Ｆスズカリバｰ, 71,戸崎圭, 1.5, 72,* 16, -11, 6, 11.7,①①①, 3,15,Ｈファンファｰレ, 67,戸崎圭, 0.2, 74,*  7,   6, 5,  8.1,   
 4,10,Ｉクインズクオｰツ, 27,蛯名正, 0.9, 55, -15,  -1, 7, 24.4, ⑪⑪, 4, 9,Ｂシゲルカゼノボン, 62,松岡正, 0.3, 62,* -4,  -3, 1,  2.5, ①①, 4,11,Ｋカズノテナンゴ, 69,吉田豊, 2.6, 65,   8,  -6, 7, 18.3,⑩⑧⑤, 4,11,Ｆラインミｰティア, 68,的場勇, 0.3, 74,  -5,  13, 7, 18.3,   
 5, 8,Ｋパイロット, 24,北村宏, 0.9, 53, -15,  -1, 9, 61.2, ⑩⑩, 5, 4,Ｇゴウキ, 56,江田照, 0.4, 60,  -8,   0, 8, 23.6, ④④, 5, 6,Ｅサリレモンド, 72,デムｰ, 2.8, 63,   8,  -8, 3,  6.5,⑥⑥⑦, 5,14,Ｅヨシカワクン, 70,江田照, 0.6, 67,*  7,   0, 4,  7.9,   
 6, 6,Ｃシェアｰド, 47,内田博, 1.0, 47,* -8, -15, 2,  6.4, ②③, 6,18,Ｋアンダリュｰサイト, 52,宮崎北, 0.6, 62, -21,* 10,12, 96.0, ⑯⑭, 6, 2,Ｇジェイケイニュｰス, 70,柴田大, 2.9, 67,   3,   3,11, 43.8,⑮⑭⑭, 6, 5,Ｎブレイヴフィｰト, 52,柴田大, 0.6, 69,  -9,  11,15,143.0,   
 7, 4,Ｂマイネルロタシオン, 47,松岡正, 1.3, 43,* -8, -21, 4, 10.8, ①①, 7, 3,Ｍチャｰミングマオ, 47,田辺裕, 0.6, 61, -14,   4, 9, 36.8, ⑨⑩, 7, 5,Ｈカシノカｰム, 70,西田雄, 3.1, 64,   7,  -7,12,102.4,⑨⑩⑩, 7, 8,Ｊショウナンランパダ, 65,岩田康, 0.6, 68,  -3,   7, 8, 24.5,   
 8, 1,Ｇサムライ, 35,石川裕, 1.3, 41, -11, -17, 8, 27.6, ③②, 8,14,Ａトリノレｰジョ, 62,岩田康, 0.8, 56,* -5,  -8, 2,  3.6, ②②, 8, 8,Ｊデルマカマイタチ, 69,石川裕, 3.2, 67,   4,  -2,13,163.4,⑭⑫⑫, 8, 6,Ｄロマネクイｰン, 71,柴田善, 0.7, 67,  -5,   7, 6, 15.8,   
