15年 1月24日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 1月24日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■ 4R  芝3000m 4歳上未勝利 定量,,,,,,,,,,,,■ 7R  ダ1800m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝1400m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,なずな賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｄテイエムシャンパン, 56,藤岡康,, 63,*  2,*  3, 3,  6.4, ③③, 1,13, カウウェラ,,浜野谷,,,,, 5, 13.1,③①①, 1, 7,Ｂソロデビュｰ, 73,小崎綾,, 69,  -2,* 11, 1,  2.5,③③③, 1, 3,Ａフミノムｰン, 70,勝浦正,, 75,  14,* -7, 1,  4.2, ⑨⑥
 2, 6,Ｅサウスリバティｰ, 56,小崎綾, 0.3, 61,*  2,   0, 5,  9.5, ②②, 2,14, ダイワデッセｰ,,高田潤,204.2,,,, 1,  1.8,⑩⑦④, 2, 9,Ｃモンシュシュ, 72,松田大, 0.3, 67,* -1,   6, 2,  3.5,①①①, 2, 1,Ｂシンボリタピット, 70,吉田隼, 0.4, 70,* 18, -19, 3,  5.5, ①①
 3, 5,Ｂイサチルホｰプ, 61,国分優, 0.5, 59,*  3,  -1, 2,  4.8, ①①, 3, 9, オジュウチョウサン,,山本康,204.3,,,, 2,  5.8,⑤④③, 3, 2,Ｅヒムカ, 69,吉田隼, 0.5, 65,  -3,  10, 6, 17.6,⑥⑥⑥, 3, 8,Ｌムｰンクレスト, 59,国分優, 0.7, 66,  10,*-11, 5, 11.5, ⑫⑬
 4, 1,Ａワンラヴワンハｰト, 64,丸山元, 0.5, 58,  -4,*  5, 1,  2.3, ⑨⑧, 4, 2, カシノランナウェイ,,黒岩悠,205.3,,,, 6, 15.1,⑫⑩⑩, 4,10,Ｆシェイプリｰ, 69,長岡禎, 0.7, 67,  -6,* 13, 8, 54.8,⑩⑩⑩, 4, 2,Ｇマイネルグルマン, 64,津村明, 1.0, 63,  16, -22, 7, 12.9, ④④
 5, 4,Ｇセンコウノマイヒメ, 51,木幡初, 0.7, 57,  -1,  -1,11, 53.4, ⑤④, 5, 6, ウメジマダイオｰ,,石神深,205.8,,,, 3,  6.3,⑨⑨⑧, 5, 6,Ｄチャｰムドヴェｰル, 72,古川吉, 0.9, 66,  -6,  11, 4,  7.1,⑦⑧⑧, 5,11,Ｄマイネルエスパス, 66,丹内祐, 1.1, 62,  12, -19, 8, 14.2, ⑪⑩
 6, 3,Ｃペイシャピュア, 56,井上敏, 1.3, 51,  -5,  -2,12, 55.6, ⑪⑩, 6, 5, トｰセンロｰツェ,,小野寺,206.3,,,,11,133.3,⑬⑪⑪, 6, 3,Ｈビジュｰトウショウ, 67,荻野琢, 0.9, 65,  -3,   6, 3,  6.1,⑤⑤⑤, 6, 4,Ｊナムラマミｰ, 60,松田大, 1.2, 63,  16, -24,10, 24.1, ③③
 7,14,Ｉトｰホウバｰド, 48,松田大, 1.4, 50,  -6,  -1, 4,  8.3, ⑫⑪, 7, 7, マイネルドメニカ,,上野翔,207.2,,,,10, 86.3,⑧⑥⑦, 7, 8,Ｇサンエルピス, 69,丸山元, 1.5, 62,  -5,   5, 7, 20.7,⑧⑦⑦, 7,13,Ｎコスモピｰコック, 52,熊沢重, 1.2, 61,  15, -24, 6, 12.5, ⑧⑦
 8, 9,Ｆナリタサウス, 53,古川吉, 1.5, 50,   0,  -7, 7, 23.6, ⑥⑥, 8,12, サンマルスピリット,,金子光,207.4,,,, 9, 71.1,④⑤⑥, 8, 5,Ａストレｰトラブ, 76,藤岡康, 1.6, 60,  -6,   7, 5,  7.3,⑨⑨⑨, 8, 9,Ｃヤマニンマンドｰル, 69,田中健, 1.2, 61,  11, -18, 2,  5.3, ⑭⑫
