15年 3月29日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 3月29日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  ダ1400m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 7R  芝2000m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝1400m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,心斎橋ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,16,Ｂエｰティｰロゼッタ, 60,藤田伸,, 57,   0,   0, 1,  2.3,⑤⑤③, 1,15,Ｃタイガｰボス, 58,バルジ,, 61,  -1,*  0, 6, 14.7, ⑥④, 1, 1,Ｅマイネルフレスコ, 69,バルジ,, 72,   6,*  3, 5,  9.0,⑤⑦⑧, 1, 1,Ｅピｰクトラム, 82,小崎綾,, 84,   7,* 11, 6, 13.3, ⑪⑫
 2,13,Ｅユウキエナｰジｰ, 56,岡田祥, 0.0, 59,   0,   1, 7, 20.0,⑨⑥④, 2,14,Ａトップリバティ, 67,松田大, 0.1, 62,*  1,  -4, 2,  3.2, ④③, 2, 7,Ｃショウナンアトラス, 75,小崎綾, 0.0, 70,   5,*  6, 7, 10.9,⑨⑨⑩, 2,16,Ａエイシンスパルタン, 91,藤岡佑, 0.1, 86,* 15,   1, 1,  3.0, ③③
 3, 3,Ｏドラゴンラヴ, 38,藤岡佑, 0.1, 53,*  2,  -3, 5, 19.2,①①①, 3,13,Ｄダノンブライト, 57,川田将, 0.1, 63,*  1,  -5, 1,  3.1, ③②, 3, 2,Ｆディｰプウェｰブ, 69,川田将, 0.1, 70,   8,  -2, 2,  4.7,⑦⑧⑤, 3,11,Ｄフロアクラフト, 82,シュタ, 0.3, 81,   8,*  6, 2,  5.6, ⑩⑪
 4, 5,Ａスズカセルリアン, 64,太宰啓, 0.2, 59,  -3,*  4, 3,  5.9,⑩⑩⑧, 4, 6,Ｂケイエスミラｰジュ, 60,小崎綾, 0.2, 60,  -3,* -1, 4,  8.0, ⑧⑨, 4, 3,Ｉピサノナイトレイ, 65,藤岡佑, 0.1, 68,   8,  -2, 8, 30.2,③⑤③, 4, 4,Ｎプリンセスジャック, 77,鮫島良, 0.4, 82,* 14,  -2,11, 38.0, ⑤⑤
 5,11,Ｍノアズアｰク, 40,小牧太, 0.2, 55,*  1,  -3, 6, 19.3,②②②, 5, 7,Ｊメイショウケンザン, 50,鮫島良, 0.5, 59,  -2,  -3,11, 57.6, ⑨⑦, 5, 4,Ｄロｰレルトルネｰド, 75,松山弘, 0.2, 69,*  9,  -6, 1,  3.0,①①①, 5,12,Ｆヤマノレオ, 81,小牧太, 0.4, 81,  11,   2, 8, 22.4, ⑧⑦
 6,12,Ｋタイセイマリｰン, 47,義英真, 0.4, 53,   0,  -2,13,175.4,④④⑤, 6,16,Ｉタガノロブロイ, 53,小牧太, 0.6, 57,  -3,  -4, 3,  5.5, ⑦⑧, 6,10,Ｂマイネルプレッジ, 75,柴田未, 0.3, 67,   8,  -6, 3,  4.9,⑧④④, 6, 5,Ｇマンボネフュｰ, 81,松山弘, 0.5, 81,  11,   0, 3,  5.7, ⑥⑥
 7,14,Ｃパｰプルオンリｰ, 59,国分恭, 0.7, 55,  -5,*  5, 9, 28.2,⑯⑯⑭, 7, 8,Ｏタイキフロンティア, 33,岩崎翼, 0.9, 56,  -2,  -8, 9, 32.7, ⑤⑥, 7, 8,Ｊトスカニｰニ, 61,小牧太, 0.5, 65,*  9, -10, 9, 60.4,④③②, 7, 7,Ｌタガノエトワｰル, 78,川田将, 0.5, 80,   9,   4, 4,  6.5, ⑫⑨
 8, 6,Ｇアルテミスアロｰ, 53,小崎綾, 1.0, 50,  -4,  -1,11, 38.6,⑬⑫⑪, 8,11,Ｇツジスｰパｰサクラ, 53,藤田伸, 1.5, 50,  -4,  -9, 7, 26.4, ⑩⑩, 8, 6,Ｇチョウアコガレ, 68,岩崎翼, 1.1, 60,   4,  -7,10, 78.6,⑩⑩⑨, 8, 2,Ｂロノ, 87,バルジ, 0.5, 81,  11,   1, 5, 12.5, ⑦⑧
