15年 5月 2日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 5月 2日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 4R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 7R  ダ1400m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■10R  ダ2100m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,春光ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ｋクリッパｰルｰト, 42,三浦皇,, 64,  -1,*  1, 4,  8.2, ③③, 1, 6,Ｑジュンツバサ,  2,北村宏,, 68,  -2,*  2, 7, 31.4,⑬⑪⑫, 1, 9,Ｎインスタイル, 60,岩田康,, 66,* -5,  10, 2,  4.7, ②②, 1, 4,Ｃクラｰジュドｰル, 87,川田将,, 86,   9,* 16, 1,  2.8,④⑤⑤
 2, 4,Ｅセレスティｰヌ, 51,大野拓, 0.5, 61,  -5,*  5,11,108.5, ⑫⑪, 2, 2,Ｃサトノメサイア, 61,岩田康, 0.0, 67,  -2,*  4, 1,  1.5,⑭⑬⑪, 2,13,Ｌトレノカチドキ, 62,三浦皇, 0.2, 67,  -6,  10,10, 39.8, ③④, 2, 7,Ｂキャニオンバレｰ, 88,武豊  , 0.1, 83,* 12,  10, 3,  4.1,①①①
 3,12,Ｄマラカイトスタｰ, 57,岩田康, 0.5, 58,*  1,  -6, 5,  8.6, ②②, 3, 8,Ａダイワスキャンプ, 63,三浦皇, 0.2, 66,   2,  -6, 2,  6.1,⑧⑤⑤, 3,15,Ａダイチヴュルデ, 71,戸崎圭, 0.4, 65,  -9,* 12, 1,  2.6, ⑩⑪, 3,13,Ｄアドマイヤランディ, 87,岩田康, 0.2, 84,   8,* 17, 2,  3.8,⑦⑦⑧
 4,15,Ｂユアザイオン, 63,戸崎圭, 0.6, 57,  -2,  -1, 1,  1.8, ⑧⑦, 4,12,Ｄハナイチゲ, 59,柴田大, 0.4, 63,*  4, -13, 9, 42.9,②②②, 4,12,Ｉサマｰラヴ, 64,柴山雄, 0.4, 64,  -8,  10,13,113.9, ⑦⑧, 4, 9,Ｌスギノハルバｰド, 81,北村宏, 0.3, 83,* 11,  10, 6, 15.9,③③③
 5,16,Ｌメガミチャン, 39,武豊  , 0.8, 57,  -1,  -6, 3,  8.0, ⑤⑤, 5, 1,Ｅトｰカティヴ, 55,江田照, 0.5, 60,   1,  -9, 8, 40.6,⑪⑦⑦, 5, 4,Ｅグラスティファニｰ, 69,石橋脩, 0.5, 62,* -4,   4,11, 78.9, ①①, 5, 3,Ｉハスラｰ, 84,和田竜, 0.5, 81,* 11,   8,10, 44.0,②②②
 6, 8,Ｃイヌイジェニｰ, 57,村田一, 1.0, 57,  -7,*  3, 6, 19.7, ⑯⑬, 6,10,Ｋエタｰナルクライ, 51,内田博, 0.5, 61,   1,  -9, 3, 10.5,⑨⑧⑧, 6, 2,Ｇモリトハリウッド, 67,吉田豊, 0.6, 62,  -9,  10, 6, 15.6, ⑪⑩, 6, 8,Ｍセイカフォルテ, 80,田辺裕, 0.5, 82,* 12,   9,13,195.8,⑤④④
 7, 2,Ｈゴｰルドリボン, 46,井上敏, 1.1, 55,  -4,  -3,13,132.4, ⑩⑨, 7, 9,Ｈテキスタイルアｰト, 54,横山典, 0.6, 58,*  4, -18, 4, 12.7,①①①, 7,14,Ｂポｰルシッタｰ, 70,田辺裕, 0.6, 64, -11,* 12, 5,  8.6, ⑭⑬, 7,14,Ｇグレイレジェンド, 85,戸崎圭, 0.8, 81,   8,  14, 8, 34.4,⑧⑨⑨
 8, 7,Ｉレッドラヴァルス, 46,田辺裕, 1.6, 52,   0, -12, 9, 69.7, ④④, 8, 7,Ｆニシノインシュアラ, 54,柴田善, 0.6, 60,*  3, -14,12, 61.9,⑤③③, 8, 6,Ｈジャズコンボ, 65,和田竜, 0.7, 63,  -6,   6,12, 87.8, ⑤③, 8,11,Ａギャザｰロｰジズ, 89,柴山雄, 1.0, 80,   7,  14, 7, 17.4,⑩⑪⑪
