15年 9月12日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 9月12日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-18,,,,,■ 4R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 7R  ダ1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  ダ2000m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鳥取特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ａスｰパｰライナｰ, 62,福永祐,, 60,*  1,*  2, 1,  1.1,②②②, 1, 2,Ｐアスクティタｰン, 40,岡田祥,, 71,*  7,  -4, 8, 36.5,①①①, 1, 8,Ｇサカジロヴィグラス, 69,義英真,, 75,* 10,   3, 6, 32.5, ②②, 1, 8,Ｄスリｰタイタン, 80,福永祐,, 81,  11,*  5,11, 40.3,⑨⑧⑦
 2, 1,Ｍケイティブレイブ, 16,国分優, 0.4, 56,*  2,* -3,12,106.2,①①①, 2, 7,Ａデザフィｰオ, 66,幸英明, 0.3, 70,   5,*  0, 4,  9.0,⑪⑧⑥, 2,10,Ｄテｰオｰヘリオス, 73,浜中俊, 0.0, 75,   7,   7, 2,  4.7, ⑤⑤, 2, 6,Ｇスワｰヴカイザｰ, 80,小牧太, 0.0, 82,  11,*  5, 4,  8.5,⑥⑥⑤
 3, 2,Ｌタイセイブルグ, 17,松若風, 1.6, 52,  -2,  -5,11, 80.6,⑧⑥⑦, 3, 1,Ｄビｰビｰボヌｰル, 64,デムｰ, 0.9, 64,   3,* -2, 2,  2.7,⑨⑫⑦, 3, 3,Ａエイシンラナウェｰ, 81,デムｰ, 0.1, 74,   9,   4, 1,  1.5, ③④, 3,13,Ｅミキノハルモニｰ, 80,城戸義, 0.3, 82,  11,*  6, 8, 21.8,⑫⑩⑨
 4,14,Ｃモルトカズマ, 43,藤岡康, 2.0, 46,*  0, -15, 7, 43.9,③③③, 4,12,Ｃカフジエンパイア, 65,国分優, 1.1, 62,   5, -10, 3,  8.6,⑦③④, 4,13,Ｍゴマスリオトコ, 64,鮫島克, 0.3, 72,   0,* 10,13,202.1, ⑪⑫, 4, 5,Ｆトウケイウイン, 80,太宰啓, 0.8, 79,  12,   0, 2,  6.6,⑧⑨⑩
 5, 9,Ｋカフジプリンス, 19,岩田康, 2.0, 46,  -3,  -8, 5, 35.3,⑭⑨⑥, 5, 6,Ｇシャイニｰビｰム, 56,高倉稜, 1.1, 66,   3,  -4,10,112.0,⑧⑦⑧, 5, 6,Ｆメンカウラｰ, 69,松山弘, 0.3, 73,   1,*  9,11, 95.9, ⑨⑨, 5, 7,Ｋクレスコモア, 77,松山弘, 0.8, 76,* 14,  -7, 9, 25.4,②②①
 6, 8,Ｊタガノキングパワｰ, 23,松山弘, 2.3, 47,  -5,  -7, 4, 31.6,⑬⑬⑧, 6,16,Ｂクロｰザｰ, 65,和田竜, 1.2, 64,   6,  -9, 1,  2.5,⑫⑨⑤, 6,11,Ｊシゲルゴホウサイ, 67,太宰啓, 0.4, 74,   9,   2,12,108.5, ④③, 6, 4,Ｂプリンスダム, 81,浜中俊, 0.9, 75,* 13,  -6, 1,  2.2,③③③
 7, 4,Ｈフォｰルドイン, 30,幸英明, 2.9, 41,   0, -19,10, 71.2,④④④, 7, 8,Ｅサンライズリゾｰト, 63,松山弘, 1.3, 63,   5, -12, 5, 12.1,⑩⑥③, 7,14,Ｂトウケイタイガｰ, 79,松田大, 1.0, 67,   7,  -2, 3, 10.1, ⑥⑥, 7,12,Ｌパフュｰムボム, 77,国分恭, 0.9, 78,   9,*  5,13, 52.8,⑭⑭⑬
 8, 7,Ｂホットファイヤｰ, 46,和田竜, 3.0, 40,  -1, -19, 2, 13.8,⑥⑤⑤, 8, 3,Ｊナムラキャニオン, 55,義英真, 1.6, 61,   1,  -6, 7, 32.7,⑬⑬⑨, 8, 2,Ｌレモンティｰ, 66,北村友, 1.0, 66,  -5,*  9, 9, 75.2, ⑮⑬, 8,10,Ｊマユキ, 78,川田将, 0.9, 75,* 13,  -6, 7, 18.6,④④④
 9,11,Ｅミスタｰファルク, 40,浜中俊, 3.2, 40,  -8,  -9,13,184.2,⑮⑭⑫, 9,14,Ｌウォｰタｰティアナ, 51,岩崎翼, 1.8, 59,*  6, -17, 9, 65.0,②②②, 9,12,Ｃミキノグランプリ, 75,和田竜, 1.2, 65,   5,  -2, 7, 36.3, ⑧⑦, 9,11,Ｏメテオライト, 76,岩田康, 0.9, 75,   9,   2,12, 46.7,⑩⑪⑪
10,12,Ｆサグラダファミリア, 36,水口優, 3.5, 38,  -3, -19, 8, 59.4,⑦⑦⑨,10, 4,Ｋデルマヤブラコウジ, 54,鮫島克, 4.3, 44,   1, -29,13,173.3,④⑪⑫,10,16,Ｈバリキ, 68,幸英明, 1.3, 64,   1,   1, 5, 14.7, ⑬⑩,10,14,Ｍアスタｰフレンチ, 76,和田竜, 0.9, 74,  12,  -5,10, 29.0,⑤⑤⑥
11, 5,Ｉシゲルサンマ, 30,太宰啓, 5.1, 29,  -5, -31, 6, 40.0,⑫⑩⑩,11,10,Ｆロｰレルトレゾｰル, 58,加藤祥, 4.5, 42,   0, -29,11,131.4,⑭⑭⑬,11,15,Ｎテイエムゴｰジャス, 64,国分優, 1.4, 62,  -6,   7,16,482.3, ⑯⑯,11,16,Ｃカトラス, 81,熊沢重, 1.0, 77,  11,  -2, 6, 14.5,⑦⑦⑧
