07年 3月 4日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 3月 4日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2.5,,,,,■ 4R  芝2970m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1800m 3 歳500万 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.1,,,,,■10R  芝1600m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,道頓堀ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ａジョｰモルデュｰ, 63,安藤勝,, 63,  -3,*  3, 1,  1.2,⑦②④, 1,11, シｰグランプリ,,小坂忠,,,,, 1,  2.2,⑦①①, 1, 5,Ａクレスコワｰルド, 69,福永祐,, 88,  -3,* 27, 2,  3.6, ⑥⑤, 1, 3,Ｈピカレスクコｰト, 76,秋山真,, 96,   5,* 28, 4, 10.8, ⑨⑧
 2, 2,Ｂフィｰルドマｰチ, 50,小林徹, 0.4, 59,  -3,* -1, 2,  7.3,③②②, 2, 8, パルティアシチｰ,,佐久間, 0.7,,,, 9, 53.2,⑤⑤②, 2, 1,Ｂザレマ, 61,四位洋, 0.3, 75,  -1,  18, 1,  1.4, ②③, 2, 6,Ａカイシュウタキオン, 90,安藤勝, 0.2, 98,   1,* 32, 1,  1.8, ⑭⑬
 3, 8,Ｄシナモンロｰル, 48,秋山真, 1.0, 54,  -5,* -3, 5, 19.7,⑪⑥⑤, 3, 7, ワンダｰシンゲキ,,植野貴, 0.9,,,, 4,  8.8,⑤③⑤, 3, 8,Ｃリリアンタイム, 58,小牧太, 1.2, 58,*  0,   1, 3,  6.9, ①①, 3,14,Ｂニホンピロキｰス, 81,小牧太, 0.5, 82,   5,  19, 2,  4.8, ⑥⑥
 4, 6,Ｈシゲルオブリガｰド, 44,角田晃, 1.0, 55,* -1, -10, 9, 66.7,①①①, 4,10, マイネルマグナｰト,,黒岩悠, 2.9,,,, 8, 37.1,②②③, 4, 6,Ｇベルモントルパン, 48,秋山真, 1.4, 57,*  0,  -1, 4, 18.1, ②②, 4, 1,Ｆジョウノオｰロラ, 78,福永祐, 0.5, 87,   2,  25, 5, 20.1, ⑫⑩
 5, 7,Ｊマチュピチュ, 37,石橋守, 2.2, 44,  -4, -16,12,298.3,⑦⑥⑤, 5, 2, キｰンランドスワン,,岩崎祐, 3.2,,,, 3,  5.0,④⑤③, 5, 3,Ｆグロリアスウェザｰ, 52,小林徹, 1.4, 57,  -3,   5, 6, 65.8, ⑤⑤, 5, 4,Ｄセトノゼディタブ, 79,古川吉, 0.6, 81,   5,  19, 8, 31.6, ⑥⑧
 6,10,Ｍエイブルシチｰ, 20,小牧太, 2.3, 44,* -2, -21, 6, 33.1,②②②, 6,13, カツヨキャンドゥ,,高野容, 4.1,,,, 6, 19.9,①③⑤, 6, 7,Ｄギブソンガｰル, 55,鮫島良, 1.7, 52,  -6,   5, 5, 32.5, ⑦⑦, 6, 2,Ｅマッハジュウクン, 79,四位洋, 0.6, 79,   6,  16, 3,  6.7, ⑥④
 7, 9,Ｃマイネルキナ, 49,四位洋, 2.5, 41,  -7, -13, 3, 14.3,⑬⑫⑨, 7,14, ビッグシャトル,,柴田未, 5.2,,,,10, 64.4,⑫⑨⑧, 7, 2, ダンシングパｰル,---,酒井学, 2.5, 49,  -6,  -7, 8,158.9, ⑦⑦, 7,11,Ｃサンキンバスタｰ, 79,上野翔, 0.6, 77,*  8,  13,14,151.5, ①①
 8,13,Ｇニホンピロアニカ, 44,上野翔, 2.7, 40,  -5, -19,10,141.8,⑩⑥⑦, 8, 5, スｰパｰアンカｰ,,矢原洋, 8.0,,,,13,213.6,⑨⑦⑦, 8, 4,Ｅマイネシャンゼリゼ, 55,長谷川, 3.1, 30,  -2, -24, 7, 85.0, ④③, 8, 5,Ｇインマイアイズ, 78,酒井学, 0.9, 83,  -2,  25, 6, 22.0, ⑭⑮
