07年12月23日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年12月23日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2.6,,,,,■ 4R  芝2000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2500m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-0.3,,,,,■10R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ｸﾞｯﾄﾞﾗｯｸﾊﾝﾃﾞ,,,,,,,,,,,,ﾊｯﾋﾟｰｴﾝﾄﾞｶｯﾌﾟ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ａリュウメイ, 68,柴田善,, 77,* -2,* 11, 1,  1.2,①①①, 1, 8, ステルスソニック,---,蛯名正,, 59,  -9,*  9, 3,  8.9,⑭⑨①, 1,13,Ｆエフティイカロス, 75,蛯名正,, 70,* -6,* 18, 7, 20.8,⑤④④, 1, 4,Ｌリキサンファイタｰ, 69,蛯名正,, 81,   4,* 18, 3,  5.7,⑩⑩⑩
 2,14,Ｂソシアルグレイシｰ, 58,北村宏, 0.6, 68,* -4,*  7, 2,  7.0,②②②, 2,11, ベガスタｰカフェ,---,武豊  , 0.8, 47,* -6, -10, 4, 11.6,④③②, 2,12,Ｂラムタラプリンス, 80,ルメｰ, 0.3, 66,  -7,  16, 3,  5.4,⑨⑦⑦, 2,10,Ａヴィヴァチッシモ, 79,北村宏, 0.2, 76,  -1,* 20, 5, 12.3,⑭⑬⑬
 3, 2,Ｅクリプトゾｰン, 42,ルメｰ, 2.0, 46,* -5,  -6, 3, 16.2,②③③, 3, 5, シャンパンスコｰル,---,安藤勝, 1.0, 45,* -6, -13, 1,  1.7,③③②, 3,16,Ｍトｰセンジョｰカｰ, 68,江田照, 0.3, 61,* -5,  13,11, 45.9,③②②, 3,14,Ｊテイクザホｰク, 71,横山典, 0.2, 78,   5,* 14, 8, 19.9,⑩⑩⑩
 4, 4,Ｆヒロアンジェロ, 39,吉田豊, 2.1, 45,  -6,  -6, 5, 26.8,②④⑤, 4, 7, スノｰクラッシャｰ,---,北村宏, 1.3, 41, -11,* -4, 7, 24.8,⑬⑬⑬, 4,11,Ｄスズノオオゴン, 79,横山典, 0.3, 72,  -7,* 20, 2,  5.1,⑫⑪⑯, 4, 8,Ｍウエスタンダンサｰ, 69,川田将, 0.2, 83,* 13,   6,11, 50.1,①①①
 5,12,Ｎケイジｰジュニアｰ, 21,伊藤直, 2.4, 45, -18,   2,16,349.3,⑪⑪⑪, 5, 4, パワフルフェンサｰ,---,柴田善, 1.5, 39,  -9, -12, 5, 15.7,⑪⑩⑨, 5,15,Ｏフェニコｰン, 65,田中勝, 0.3, 64,* -6,  15, 5, 10.5,⑫④⑦, 5, 2,Ｂグレイトフルタイム, 77,吉田豊, 0.4, 77,   8,   7, 1,  3.3,⑥⑤⑤
 6,15,Ｇリミットレスパワｰ, 39,郷原洋, 2.5, 41,  -6, -10, 9,108.0,⑤④④, 6,12, スイｰトバイカル,---,横山典, 1.6, 38,  -7, -18, 6, 19.1,⑤⑤⑥, 6,10,Ａダイワバゼラｰド, 83,北村宏, 0.3, 70,  -8,* 19, 6, 20.6,⑪⑪⑫, 6,16,Ｅゴｰルドクラウン, 74,柴田善, 0.5, 75,   8,   6, 4,  6.6,⑥⑤⑤
 7,16,Ｄリアルパラダイス, 43,横山典, 2.7, 39, -11,  -8, 4, 16.9,⑤⑥⑥, 7,13, スクリｰムイｰグル,---,ペリエ, 2.1, 33, -10, -19, 2,  5.4,⑥⑩⑫, 7,14,Ｈソニックルｰラｰ, 74,武豊  , 0.4, 56,* -6,  10, 9, 30.7,②②②, 7,11,Ｇポンテペルレ, 73,松岡正, 0.7, 73,   7,   4, 7, 15.1,⑨⑨⑤
 8, 6,Ｋスズモナリザ, 25,武士沢, 2.9, 37, -13,  -8, 7, 43.0,⑤⑧⑧, 8,15, オンワｰドイｰガｰ,---,武士沢, 2.2, 32,  -7, -27,14, 97.5,⑥⑤⑥, 8, 3,Ｊジャガｰメイル, 70,キネｰ, 0.4, 69,  -7,* 19, 1,  2.8,⑨⑪⑫, 8, 1,Ｃダノンムロｰ, 76,ペリエ, 0.7, 70,   4,   7, 2,  4.6,⑫⑩⑩
 9, 3,Ｈコスモミラｰジュ, 35,蛯名正, 2.9, 39, -21,  -1, 8, 66.9,⑬⑬⑬, 9,14, ドゥジエムシャンス,---,川田将, 2.2, 32,  -7, -27, 8, 41.9,⑥⑤⑨, 9, 1,Ｇパルエクスプレス, 75,木幡初, 0.4, 59,* -8,  12,13, 99.8,③④⑤, 9, 6,Ｐピアニスト, 61,木幡初, 0.8, 67,  -1,  10,13,103.2,⑬⑬⑬
10,11,Ｊフジハマカゼ, 25,小林淳, 3.0, 36, -13,  -9,13,247.0,⑧⑧⑧,10, 9, アンブロｰクン,---,木幡初, 3.0, 27, -14, -24,12, 84.7,⑰⑯⑯,10, 4,Ｅタニノディキディキ, 79,デムｰ, 0.5, 68,  -8,* 18, 4,  6.1,⑮⑪⑦,10,12,Ｄブルｰミングスノｰ, 75,田中勝, 0.8, 72,* 10,   0, 9, 23.7,③②②
11,13,Ｃカネコメリｰダｰ, 43,松岡正, 3.3, 34, -11, -14, 6, 38.1,⑪⑥⑦,11,10, ジャッカヴェルデ,---,田中勝, 3.4, 24,* -4, -53,13, 89.9,①①②,11, 7,Ｃリバイバルシチｰ, 80,吉田豊, 0.6, 66,  -9,* 17,12, 77.6,⑫⑮⑫,11, 7,Ｋコスモスカイライン, 71,福永祐, 1.0, 70,* 11,  -5,10, 25.2,②②②
12, 9,Ｌノｰスオブグリｰン, 23,福永祐, 3.6, 31, -25,  -4,11,145.3,⑮⑯⑮,12,16, リワｰドファントム,---,江田照, 3.4, 24,* -4, -53,15,166.3,②②②,12, 6,Ｉエプソムボス, 72,小林淳, 0.7, 55,  -8,  10,14,108.5,⑤⑦⑪,12, 5,Ｎチアフルワｰルド, 62,江田照, 1.1, 66,   8,  -3,12, 59.9,⑥⑤⑤
13,10,Ｉエンゲｰジメント, 32,勝浦正, 3.8, 29, -22,  -9,15,283.6,⑭⑭⑭,13, 6, エｰシンリｰドモア,---,福永祐, 3.5, 24, -12, -36,10, 64.1,⑪⑬⑬,13, 5,Ｎシンボリデビル, 68,松岡正, 0.9, 52,  -8,   8,15,127.5,⑤⑩⑥,13, 3,Ｈオオヒメ, 73,キネｰ, 1.2, 65,   8,  -5, 6, 14.6,④⑤⑤
14, 5,Ｏルナクィｰン, 15,江田照, 3.9, 30, -16, -15,12,153.9,⑧⑩⑩,14,17, ブラウンロッジ,---,勝浦正, 3.9, 21,  -8, -51,17,173.5,⑨⑧⑥,14, 8,Ｌオルドリｰバ, 68,福永祐, 0.9, 55,  -5,   9, 8, 26.2,⑧⑦⑦,14, 9,Ｏストロベリｰドｰル, 62,武士沢, 1.6, 54,  -3,   0,15,158.9,⑮⑮⑮
15, 7,Ｐトリガｰ,-14,高橋智, 4.2, 28, -18, -16,10,132.5,⑩⑪⑪,15, 1, バチェラｰ,---,デムｰ, 4.0, 19, -10, -48, 9, 43.5,⑨⑩⑨,15, 9,Ｋアカワイン, 69,武士沢, 0.9, 57, -11,  13,16,193.4,⑮⑮⑮,15,13,Ｆリキアイダンディ, 73,横山義, 2.0, 53,* 10, -18,14,115.2,④②②
16, 1,Ｍハｰトウォｰミング, 23,大庭和, 4.5, 25, -24, -14,14,253.1,⑯⑮⑯,16, 3, ストロングジャック,---,四位洋, 4.2, 15, -11, -48,11, 67.5,⑮⑬⑬,16, 2,Ｐダンシングタイガｰ, 55,四位洋, 1.5, 47,* -6,  -8,10, 43.0,①①①,,,,,,,,,,,,
,,,,,,,,,,,,17, 2, イナズマステルス,---,大庭和, 4.2, 14, -13, -43,16,171.3,⑯⑯⑰,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+13 馬場:重(指数:-9),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:稍重(指数:7),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-12 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:稍重(指数:6),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:稍重(指数:7),,,,,,,,,,,
単勝:120円 複勝:08=100円 14=120円 02=190円 枠連:210円,,,,,,,,,,,,"単勝:890円 複勝:08=200円 11=250円 05=120円 枠連:1,900円",,,,,,,,,,,,"単勝:2,080円 複勝:13=570円 12=210円 16=980円 枠連:1,410円",,,,,,,,,,,,"単勝:570円 複勝:04=250円 10=420円 14=540円 枠連:2,650円",,,,,,,,,,,
馬連:260円 ワイド:08-14=140円 02-08=300円 02-14=510円,,,,,,,,,,,,"馬連:4,770円 ワイド:08-11=1,400円 05-08=360円 05-11=420円",,,,,,,,,,,,"馬連:4,730円 ワイド:12-13=1,530円 13-16=4,820円 12-16=3,010円",,,,,,,,,,,,"馬連:3,660円 ワイド:04-10=1,330円 04-14=1,840円 10-14=2,620円",,,,,,,,,,,
馬単:330円 3連複:740円,,,,,,,,,,,,"馬単:11,150円 3連複:2,390円",,,,,,,,,,,,"馬単:11,660円 3連複:52,240円 3連単:331,660円",,,,,,,,,,,,"馬単:6,220円 3連複:17,790円 3連単:94,650円",,,,,,,,,,,
■ 2R  ダ1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5.4,,,,,■ 5R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1.9,,,,,■ 8R  ダ1200m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5.4,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ﾌｪｱｳｪﾙS,,,,,,,,,,,,,,,,,,,,,,
