07年 9月 1日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 9月 1日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-8.2,,,,,■ 4R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.0,,,,,■ 7R  芝1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1.3,,,,,■10R  ダ1800m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-2.8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,両津湾特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｄダイワアンリ, 45,北村宏,, 52, -14,*  5, 1,  2.0, ⑧⑥, 1,11,Ａクオン, 59,福永祐,, 60,  -1,*  2, 2,  4.4,⑫⑤③, 1, 8,Ａベイリングボｰイ, 77,松岡正,, 85,   1,* 24, 1,  2.4, ⑨⑨, 1, 8,Ｇチャｰムダンス, 71,石橋脩,, 73,*  5,  11, 4,  6.9,②②②
 2, 4,Ａチョコクランチ, 49,蛯名正, 0.1, 45,* -9,  -2, 2,  4.6, ②③, 2,15,Ｄマケテタマルカ, 51,松岡正, 0.1, 60,*  1,* -3, 3,  5.7,③②②, 2,15,Ｃダイワバゼラｰド, 74,北村宏, 0.4, 82,   0,* 23, 2,  4.5, ⑪⑨, 2,10,Ｄモンヴェｰル, 74,蛯名正, 0.0, 75,*  5,  13, 1,  3.8,③②②
 3,10,Ｉレオパンドラ, 32,西田雄, 0.1, 43,* -6,  -7,10, 81.6, ①①, 3, 1,Ｅシルクハｰベスト, 47,後藤浩, 0.1, 60,*  2,* -5, 5,  7.0,①①①, 3, 7,Ｂラズベリｰタイム, 74,蛯名正, 0.4, 78,   2,* 20, 4,  6.5, ⑨⑨, 3,15,Ｈウィストラム, 71,吉田豊, 0.3, 83,  -1,* 21, 3,  5.5,⑭⑫⑫
 4, 5,Ｅポコアポコフォルテ, 41,柴田善, 0.2, 51, -18,*  7, 6, 14.9, ⑪⑨, 4,13,Ｂスマｰトキャリｰ, 58,柴田善, 0.7, 55,   0,  -6, 1,  2.2,⑧④③, 4, 4,Ｌビｰアデビル, 63,大野拓, 0.5, 64,*  8,   2, 9, 39.6, ①①, 4,14,Ｉテンジンダイカグラ, 71,北村宏, 0.6, 68,   1,  10, 8, 21.5,⑨⑧⑤
 5, 1,Ｂハイカックウ, 47,二本柳, 0.3, 47, -17,*  4, 4,  8.0, ⑪⑬, 5, 5,Ｊベニバナ, 36,西田雄, 1.7, 47,  -2, -12,13,253.9,⑬⑦⑤, 5,11,Ｇエムケイドリｰム, 70,武士沢, 0.7, 69,   3,  12, 8, 32.7, ⑥⑥, 5, 9,Ｊデジデｰリオ, 70,江田照, 0.9, 65,   0,   9,13, 84.1,⑩⑩⑪
 6,11,Ｑシトラスサン,-47,江田照, 0.4, 45, -18,*  4, 7, 24.1, ⑪⑨, 6, 6,Ｇリンガスビｰト, 43,田中勝, 1.9, 45,  -2, -13, 4,  6.9,⑤⑧⑧, 6,18,Ｄプジュリ, 73,田中勝, 0.8, 69,   2,  14, 3,  5.2, ⑧⑧, 6,12,Ｅシベリアンライオン, 73,後藤浩, 1.0, 64,   0,   8, 7, 18.1,⑪⑩⑨
 7,17,Ｃモアスマイル, 45,吉田豊, 0.4, 42, -14,  -1, 3,  7.9, ⑧⑥, 7, 7,Ｎヤマニンエレメント, 33,田中剛, 2.3, 42,  -3, -15,15,352.8,⑩⑩⑨, 7,13,Ｍピサノアリュメｰル, 60,柴田善, 0.9, 73,  -1,  19, 6, 27.5, ⑭⑬, 7, 4,Ｃロｰタスシチｰ, 74,中舘英, 1.0, 60,*  5,  -1, 9, 23.0,①①①
 8, 2,Ｇミヤギフェアリｰ, 35,武士沢, 0.4, 41, -13,  -2, 9, 75.8, ⑦⑨, 8,10,Ｈクラレットコブラｰ, 40,安藤光, 2.3, 42,  -5, -12, 8, 77.2,⑨⑫⑩, 8,10,Ｆシンボリユタカオｰ, 70,田中博, 1.1, 75,  -7,* 24, 5, 17.6, ⑱⑰, 8, 1,Ｆバンブｰライカルト, 72,芹沢純, 1.0, 63,*  4,   4, 5,  7.9,④④④
 9,16,Ｊステラダルク, 30,吉田隼, 0.5, 39, -12,  -5, 5, 11.2, ④③, 9,14,Ｌサンマルアタック, 35,宮崎北, 2.8, 36,  -2, -26,10, 83.6,⑤⑤⑦, 9, 6,Ｋウインヴィｰナス, 64,中舘英, 1.3, 60,*  7,  -5,10, 45.0, ②②, 9, 5,Ｌシュルｰドパｰソン, 67,二本柳, 1.1, 60,   2,   3,10, 48.8,⑦⑤⑤
10, 9,Ｆヒロノグレガ, 40,丹内祐, 0.7, 36,* -8, -13,12, 94.2, ②②,10, 2,Ｃオｰランボｰ, 56,千葉直, 4.0, 29,*  0, -42, 9, 81.4,②②⑤,10,17,Ｎミフジハナフブキ, 53,小野次, 1.6, 57,   4,  -3,16,440.9, ④④,10, 2,Ｏガラディナｰ, 61,西田雄, 1.7, 55,   1,  -1,14,177.3,⑦⑧⑨
11, 3,Ｏマイネルアフェット, 26,田辺裕, 0.9, 34, -14,  -8,14,184.0, ⑧⑨,11, 9,Ｏバｰゼルシチｰ, 32,武士沢, 4.7, 28,  -5, -35,12,167.1,⑩⑫⑭,11, 5,Ｉカゼノユクエ, 66,村田一, 1.6, 61,  -4,  12,13, 66.2, ⑯⑯,11, 6,Ｋオｰスミナイス, 69,吉田隼, 1.7, 59,  -3,   7,11, 51.5,⑫⑬⑬
12,12,Ｍコスモドリｰミン, 29,千葉直, 0.9, 32, -12, -15,11, 82.9, ④③,12, 4,Ｍマジックキングダム, 34,田中博, 4.8, 27, -10, -30,11,165.5,⑮⑮⑮,11,12,Ｈニュｰスブレイク, 69,池田鉄, 1.6, 57,   5,  -5,11, 45.5, ②③,12, 3,Ｍバンドマスタｰ, 67,木幡初, 1.7, 63,  -5,  11,12, 67.0,⑭⑭⑭
13,15,Ｋマイシルバｰスタｰ, 30,田中博, 1.3, 27, -21,  -8,13,152.6, ⑭⑭,13, 3,Ｋトｰセンアｰト, 36,木幡初, 4.9, 28,  -6, -35, 7, 63.3,⑬⑭⑫,13,14,Ｐアタゴコマンダｰ, 50,丹内祐, 1.7, 54,   1,  -3,14,152.9, ⑥⑥,13,13,Ａジュｰクジョイント, 75,柴田善, 2.2, 54,   3,  -7, 6, 12.1,④⑤⑤
14,14,Ｈマイネルナチュｰラ, 34,宮崎北, 1.5, 23, -24,  -9,15,198.6, ⑮⑭,14,12,Ｉエタｰナルドリｰム, 39,北村宏, 5.1, 27,  -4, -40, 6, 24.6,⑤⑪⑫,14, 9,Ｒプリンセスデザｰト, 44,石橋脩, 1.9, 56,   4,  -8,17,462.8, ④④,14,11,Ｎマイネルトイフェル, 67,田中博, 2.4, 54,  -6,   5,15,179.0,⑬⑮⑭
15, 6,Ｌコスモグラスゴｰ, 30,中舘英, 1.6, 26, -25,  -5,17,317.3, ⑯⑯,15, 8,Ｆスズマリナｰ, 47,大野拓, 5.6, 23,  -3, -49,14,272.4,③⑧⑩,15,16,Ｅジュｰシｰ, 70,吉田隼, 2.0, 51,  -3,   2,12, 55.2, ⑬⑬,15, 7,Ｂエスケｰカントリｰ, 75,松岡正, 5.3,  2,   4, -37, 2,  4.2,④⑤⑤
16, 8,Ｎワンサイド, 26,木幡初, 1.9, 11, -12, -27, 8, 57.3, ④⑥,,,,,,,,,,,,,16, 3,Ｑタイキティアラ, 47,後藤浩, 2.1, 52,  -1,   0, 7, 31.7, ⑪⑫,,,,,,,,,,,,
17,13,Ｐクリプトジュエル, -2,松岡正, 2.3, 19, -26, -15,16,216.7, ⑯⑰,,,,,,,,,,,,,17, 1,Ｏオンワｰドサマンサ, 52,嘉藤貴, 2.4, 50,  -3,  -2,18,624.5, ⑮⑮,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,18, 2,Ｊレオベルリン, 65,千葉直, 3.1, 40, -13,   1,15,411.7, ⑰⑱,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:稍重(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+9 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+15 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:稍重(指数:-4),,,,,,,,,,,
"単勝:200円 複勝:07=120円 04=150円 10=1,540円 枠連:480円",,,,,,,,,,,,"単勝:440円 複勝:11=140円 15=190円 01=230円 枠連:1,260円",,,,,,,,,,,,単勝:240円 複勝:08=120円 15=140円 07=200円 枠連:390円,,,,,,,,,,,,"単勝:690円 複勝:08=240円 10=140円 15=170円 枠連:1,390円",,,,,,,,,,,
"馬連:470円 ワイド:04-07=230円 07-10=1,950円 04-10=3,400円",,,,,,,,,,,,"馬連:1,450円 ワイド:11-15=420円 01-11=530円 01-15=750円",,,,,,,,,,,,馬連:510円 ワイド:08-15=240円 07-08=330円 07-15=510円,,,,,,,,,,,,"馬連:1,410円 ワイド:08-10=500円 08-15=800円 10-15=330円",,,,,,,,,,,
"馬単:780円 3連複:9,120円",,,,,,,,,,,,"馬単:2,430円 3連複:2,820円",,,,,,,,,,,,"馬単:850円 3連複:1,190円",,,,,,,,,,,,"馬単:3,260円 3連複:2,090円 3連単:13,260円",,,,,,,,,,,
■ 2R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.7,,,,,■ 5R  芝2000m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.3,,,,,■ 8R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0.8,,,,,■11R  ダ1200m 3歳上ｵｰﾌﾟﾝ(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-3.9,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BSN賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｍメジロガストン, 26,吉田豊,, 65,*  2,   3, 6, 18.8, ①①, 1,11,Ｈスペシャルウィッチ, 42,後藤浩,, 58,   3,* -6, 3,  6.9,⑬⑧⑦, 1,13,Ｉビｰビｰファング, 63,石橋脩,, 69,   2,*  9, 6, 15.4,⑦⑥⑥, 1,15,Ｄワキノカイザｰ, 83,田中勝,, 86,   1,* 22, 3,  5.8, ⑥④
 2, 3,Ａトップオブマジック, 59,吉田隼, 0.2, 65,  -2,*  9, 1,  3.2, ⑥⑥, 2,13,Ｃラビットジｰズニ, 56,小野次, 0.2, 57,*  8, -20, 5, 13.0,②①①, 2, 9,Ｊニュｰグランジ, 63,北村宏, 0.0, 69,   2,*  9,10, 48.3,⑪⑥④, 2, 5,Ｇトロピカルライト, 79,福永祐, 0.3, 78,*  8,  14, 1,  2.2, ①①
 3, 9,Ｂマイネルフェスタ, 56,木幡初, 0.8, 58,  -5,*  6, 2,  3.4, ⑥⑧, 3,18,Ｄオンワｰドテイト, 54,加藤士, 0.3, 56,*  7, -20, 4,  9.1,③②②, 3,14,Ａブライアンズエッセ, 70,福永祐, 0.0, 69,   2,*  9, 1,  2.0,⑫⑥⑨, 3,11,Ｃエアアドニス, 84,蛯名正, 0.6, 76,   0,  17, 2,  4.3, ⑧⑦
 4, 5,Ｃヒラボクシャトル, 51,松岡正, 0.8, 59,  -8,* 12, 3,  3.5, ⑭⑭, 4, 1,Ａエンジェルステｰジ, 63,石橋脩, 0.4, 54,*  5, -15, 1,  1.8,⑦④③, 4, 2,Ｂウインバリエンテ, 69,安藤光, 0.4, 66,   1,   7, 2,  5.7,⑨⑩⑨, 4, 3,Ｆチョウカイロイヤル, 80,後藤浩, 0.7, 75,  -1,  17, 5, 15.4, ⑧⑦
 5, 2,Ｊコスモコマンダ, 40,中舘英, 1.1, 53,* -1,  -8,11, 78.7, ③③, 5,17,Ｉムｰンライアン, 41,宮崎北, 0.6, 49,   2, -17,17,348.6,⑨⑧⑨, 5, 8,Ｈアルカライズ, 63,後藤浩, 0.4, 66,*  2,   4, 5,  9.6,③②②, 5, 1,Ｊタイキジリオン, 77,松岡正, 0.8, 71,   3,  12, 8, 30.3, ④④
 6,12,Ｅステディｰラブ, 48,田中博, 1.2, 49,* -1, -13, 9, 32.6, ②②, 6, 8,Ｌイッキイチユウ, 38,大庭和, 0.8, 50,   4, -20,13,225.9,⑪⑧⑦, 6, 3,Ｃゼンノジュウシン, 68,柴田善, 0.5, 65,   2,   4, 3,  6.7,⑥⑥⑥, 6, 9,Ｎエイシンボｰダン, 74,中舘英, 0.8, 71,*  5,  10,10, 35.7, ②②
 7, 6,Ｎトレノクリスエス, 24,蛯名正, 1.2, 53,  -5,   0,12,119.9, ⑨⑨, 7, 9,Ｂクイｰンオブザメイ, 61,松岡正, 0.8, 50,   0,* -9, 2,  6.1,⑯⑭⑫, 7, 6,Ｆヒシポラリス, 67,吉田隼, 0.8, 62,*  3,  -4, 4,  9.2,②①①, 7, 8,Ｍシベリアンメドウ, 74,中谷雄, 1.1, 70,  -8,* 17,13, 54.0, ⑮⑭
