07年11月 3日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年11月 3日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(抽) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2.0,,,,,■ 4R  芝2910m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1400m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1.1,,,,,■10R  ダ1800m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0.5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,花園ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ａスカイビュｰティｰ, 58,武豊  ,, 57,*-13,*  7, 1,  2.3, ②②, 1, 2, テイエムヤマトオｰ,,出津孝,,,,, 6, 20.2,①①①, 1, 6,Ｃエｰシンフォワｰド, 62,福永祐,, 54,*-17,  12, 2,  3.3, ②②, 1, 1,Ｃアイスドｰル, 84,武豊  ,, 79,*  1,  18, 2,  3.9,③③③
 2, 3,Ｃドラゴンホｰラｰ, 48,小牧太, 0.0, 56,*-12,   6, 4,  5.5, ①①, 2, 7, オｰガストバイオ,,田中剛, 0.5,,,, 1,  2.3,④②②, 2, 3,Ｄマリエンベルク, 59,武豊  , 0.1, 57, -21,* 17, 1,  2.5, ⑦④, 2, 8,Ｅイセノイチ, 81,秋山真, 0.0, 80,  -2,* 20, 8, 29.1,⑩⑦⑥
 3, 6,Ｂフィｰルドパシオン, 53,酒井学, 0.1, 58, -15,*  8, 3,  4.5, ⑦②, 3, 4, オｰスミヘネシｰ,,北沢伸, 1.1,,,, 5, 11.1,⑦⑦③, 3, 4,Ｂサマｰエタニティ, 68,和田竜, 0.3, 45,*-14,   4, 4,  7.3, ①①, 3, 6,Ｇタガノサイクロン, 79,池添謙, 0.0, 86,  -1,* 23, 3,  4.2,⑧⑩⑩
 4, 1,Ｆメイショウジャイロ, 39,福永祐, 0.3, 52,*-14,   5, 2,  2.9, ②④, 4, 5, テイエムエｰス,,佐久間, 1.1,,,, 3,  4.7,⑦⑤③, 4, 1,Ｅフェイムロバリｰ, 55,川田将, 0.3, 57, -25,* 18, 5, 12.9, ⑨⑧, 4, 3,Ｂイアオニｰドル, 86,岩田康, 0.2, 72,*  0,  14, 5, 11.6,②②②
 5, 2,Ｅマイネルロｰグ, 42,川田将, 1.6, 37, -16,  -6, 5, 21.4, ⑤⑥, 5, 8, セフティグランプリ,,黒岩悠, 2.1,,,,10,101.7,⑩⑨⑨, 5, 9,Ａウインギガシャトル, 73,川島信, 0.4, 50, -23,  14, 3,  4.3, ⑦⑧, 5,10,Ａゴッドセンド, 86,安藤勝, 0.3, 72,* -1,  15, 7, 23.8,⑤⑤⑥
 6, 7,Ｄシゲルハラパン, 43,浜中俊, 1.8, 34,*-15, -11, 8,175.3, ②④, 6,12, マｰブルジｰン,,岩崎祐, 2.7,,,, 8, 25.7,⑥⑦⑦, 6, 7,Ｇユウアｰルシｰ, 51,四位洋, 0.4, 45, -18,   7, 6, 29.1, ③③, 6, 7,Ｈサンワｰドラン, 77,川田将, 0.4, 71,*  0,  13, 6, 18.9,③③③
 7, 5,Ｉスリｰマｰチャン, 22,藤岡康, 1.9, 32, -18,  -8, 7,162.8, ⑦⑧, 7,11, メイケイグリｰン,,高田潤, 2.7,,,,11,107.5,②③③, 7, 2,Ｆパワｰウェｰブ, 53,武幸四, 0.6, 42, -19,   6, 7, 35.0, ③④, 7, 5,Ｋタバスコムスメ, 74,竹之下, 0.5, 73,  -3,  17, 9, 34.9,⑩⑩⑧
 8, 4,Ｇデンコウラウロ, 36,石橋守, 2.0, 34, -22,  -2, 6,112.2, ⑨⑧, 8, 3, ヘキレキ,,今村康, 3.3,,,, 9, 32.0,④④⑥, 8, 8,Ｈシゲルハスラット, 47,池添謙, 0.8, 39, -20,   4, 8, 53.4, ⑤④, 8,11,Ｌサワノブレイブ, 71,福永祐, 0.5, 71,*  0,  13,10, 67.1,⑦⑤③
 9, 9,Ｈウイズインタフネス, 26,金折知, 2.7, 30, -15, -17, 9,188.2, ⑤⑦, 9,14, シュトラｰレン,,林満明, 4.3,,,, 2,  4.7,②⑤⑧, 9, 5,Ｉドリｰムクラウン, 37,鮫島良, 0.8, 39, -20,   4, 9, 64.0, ⑤④, 9, 2,Ｆヒシアスペン, 80,四位洋, 1.2, 61,*  1,   4, 4,  5.7,①①①
,,,,,,,,,,,,10, 1, プレジｰル,,金折知, 6.4,,,,13,201.7,⑦⑩⑩,,,,,,,,,,,,,10, 4,Ｄウインルｰセント, 81,佐藤哲, 1.2, 63,  -1,   8, 1,  3.3,⑤⑦⑧
,,,,,,,,,,,,11,10, トウカイハッスル,,横山義,10.8,,,, 7, 25.5,⑪⑪⑪,,,,,,,,,,,,,11,13,Ｊシｰサンダｰ, 75,田島裕, 1.4, 62,  -4,  10,11, 76.7,⑫⑫⑫
,,,,,,,,,,,,12, 6, タｰフギムレット,,仲田雅,11.8,,,,14,267.5,⑫⑫⑫,,,,,,,,,,,,,12, 9,Ｍリッチスマイル, 71,生野賢, 1.5, 59,  -4,   9,13,173.3,⑫⑫⑫
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,12,Ｉガイアヘッド, 76,鮫島良, 2.3, 52,  -3,  -3,12,136.1,⑧⑦⑩
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+19 馬場:良(指数:-6),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:-15 ﾚｰｽｱｶﾞﾘ指数:+16 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:-11 ﾚｰｽｱｶﾞﾘ指数:+16 馬場:良(指数:-5),,,,,,,,,,,
単勝:230円 複勝:08=130円 03=140円 06=130円 枠連:490円,,,,,,,,,,,,"単勝:2,020円 複勝:02=440円 07=130円 04=330円 枠連:1,820円",,,,,,,,,,,,単勝:330円 複勝:06=140円 03=110円 04=190円 枠連:450円,,,,,,,,,,,,"単勝:390円 複勝:01=200円 08=540円 06=190円 枠連:4,820円",,,,,,,,,,,
馬連:520円 ワイド:03-08=220円 06-08=210円 03-06=230円,,,,,,,,,,,,"馬連:1,880円 ワイド:02-07=820円 02-04=1,460円 04-07=500円",,,,,,,,,,,,馬連:440円 ワイド:03-06=220円 04-06=570円 03-04=390円,,,,,,,,,,,,"馬連:6,010円 ワイド:01-08=1,940円 01-06=500円 06-08=1,570円",,,,,,,,,,,
馬単:780円 3連複:560円,,,,,,,,,,,,"馬単:5,120円 3連複:4,280円",,,,,,,,,,,,"馬単:950円 3連複:1,220円",,,,,,,,,,,,"馬単:9,000円 3連複:8,110円 3連単:55,960円",,,,,,,,,,,
■ 2R  芝1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.4,,,,,■ 5R  ダ1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1400m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4.5,,,,,■11R  芝1800m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-2.8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｶｼｵﾍﾟｱｽﾃｰｸｽ,,,,,,,,,,
