07年11月24日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年11月24日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.2,,,,,■ 4R  芝3170m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-0.1,,,,,■10R  芝1800m 3歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5.2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,御室特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｋショウナンマスタｰ, 29,デムｰ,, 56,  -9,*  1, 9, 54.6, ③⑤, 1, 1, テイエムヤマトオｰ,,出津孝,,,,, 1,  1.7,①②②, 1, 6,Ａジョｰモルデュｰ, 69,デムｰ,, 69,  -8,* 16, 1,  1.5,⑤④③, 1,10,Ｈクラウンプリンセス, 69,デムｰ,, 77,* 11,   4, 1,  2.2, ②②
 2, 5,Ｄアリュｰバニヤン, 47,藤岡佑, 0.1, 54,  -8,  -1, 1,  2.5, ③③, 2, 5, パルティアシチｰ,,南井大, 0.3,,,, 2,  4.0,⑤③③, 2, 2,Ｃシャインウェｰヴ, 66,スボリ, 0.0, 67,* -7,  14, 2,  3.9,②②②, 2,12,Ｂエリモファイナル, 76,藤岡佑, 0.0, 78,* 11,   6, 2,  6.3, ③③
 3, 7,Ａトップオブボストン, 53,池添謙, 0.2, 54, -11,*  1, 4,  7.2, ⑦⑦, 3, 2, ユキノボｰイ,,金折知, 0.4,,,, 5, 13.1,②⑤⑤, 3, 5,Ｅマｰベラスアロｰ, 57,川田将, 0.1, 67,  -8,* 15, 6, 18.9,⑧④⑤, 3, 1,Ｄマコトジョワイユｰ, 71,田中克, 0.1, 89,   1,* 24,12,122.5, ⑭⑭
 4, 6,Ｉハッピｰラベンダｰ, 39,和田竜, 0.3, 51,  -9,  -2,11,134.8, ③⑤, 4, 4, アｰトレｰタ,,柴田大, 0.5,,,,10,115.0,⑦⑦⑦, 4, 8,Ｇタガノレイヤｰド, 56,高田潤, 1.1, 51,* -7,   2, 4, 11.6,①①①, 4,14,Ｇモンサンミシェル, 69,池添謙, 0.1, 80,   7,  12, 4,  7.9, ⑧⑧
 5, 4,Ｃケントゥリオ, 48,佐藤哲, 0.4, 49,  -8,  -4, 2,  4.3, ③③, 5, 7, マルタカドリｰム,,小坂忠, 0.9,,,, 7, 36.3,⑩⑨⑨, 5, 1,Ｆテイエムヒリュウ, 57,和田竜, 1.3, 50,  -8,   3, 7, 55.7,③④⑦, 5,13,Ｊフレジェｰル, 68,角田晃, 0.2, 76,   8,   7, 6, 12.9, ⑤⑥
 6, 2,Ｂライコウテンユウ, 48,川田将, 1.2, 39,* -7, -13, 7, 21.6, ②②, 6, 9, マイネルアンツｰク,,林満明, 0.9,,,, 4, 12.8,③③③, 6, 3,Ｈシゲルタックフィリ, 45,佐藤哲, 1.6, 49, -11,   6, 8,110.8,⑥⑧⑧, 6, 5,Ｋレディキルシェ, 66,長谷川, 0.2, 84,   3,* 18,14,166.3, ⑪⑬
 7, 1,Ｈプラネットビｰナス, 39,四位洋, 1.2, 39,* -7, -14, 3,  5.3, ①①, 7, 6, メイショウイグアス,,菊地昇, 1.1,,,, 9, 52.3,⑧⑧⑦, 7, 4,Ｄマｰブルワンダｰ, 65,田中克, 1.8, 44,* -9,  -4, 5, 17.4,③②③, 7, 9,Ｉリンガフランカ, 68,スボリ, 0.3, 79,   5,  12, 9, 56.9, ⑪⑩
 8, 3,Ｇアナモリ, 42,田中克, 1.5, 35, -13, -12, 8, 49.7, ⑨⑧, 8, 3, コアレスプレジャｰ,,西谷誠, 1.4,,,, 3,  6.3,③①①, 8, 7,Ｂネバｰチェンジ, 67,鮫島良, 1.9, 45,  -8,  -3, 3, 10.5,⑥④⑤, 8, 8,Ｅレフィナｰダ, 70,四位洋, 0.3, 73,* 11,  -1, 8, 20.2, ①①
 9,10,Ｅブルｰセレネ, 45,長谷川, 2.1, 32, -13, -15, 5,  7.7, ⑨⑧, 9, 8, ペルフェット,,高田潤, 1.8,,,, 6, 26.7,⑤⑤⑤,,,,,,,,,,,,, 9, 7,Ｌアドマイヤメガミ, 66,高田潤, 0.4, 77,   5,  10,13,138.0, ⑪⑩
10,11,Ｆデルマレグルス, 45,飯田祐, 2.1, 32, -11, -17, 6, 17.5, ⑦⑧,10,10, カネトシパワフル,,植野貴, 7.3,,,, 8, 51.7,⑨⑩⑩,,,,,,,,,,,,,10, 2,Ｍヤマニンアリエル, 64,鮫島良, 0.4, 78,   5,  12,10, 61.8, ⑩⑩
11, 8,Ｊシゲルジチチ, 35,酒井学, 2.4, 30, -13, -18,10,108.2, ⑨⑪,,,,,,,,,,,,,,,,,,,,,,,,,11,11,Ａミスティラブ, 77,佐藤哲, 0.5, 74,   7,   6, 5, 11.0, ⑧⑧
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12, 4,Ｃザリｰン, 74,秋山真, 0.5, 71,   9,   1, 3,  6.6, ⑤④
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13, 6,Ｆトウカイアワｰド, 70,川田将, 0.6, 71,   7,   4, 7, 14.8, ⑤⑥
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14, 3,Ｎシルクメガヒット, 62,和田竜, 0.6, 70,   9,  -1,11, 63.8, ③④
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:-4),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-11 ﾚｰｽｱｶﾞﾘ指数:+19 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-2),,,,,,,,,,,
"単勝:5,460円 複勝:09=940円 05=140円 07=180円 枠連:5,020円",,,,,,,,,,,,単勝:170円 複勝:01=110円 05=130円 02=190円 枠連:360円,,,,,,,,,,,,単勝:150円 複勝:06=100円 02=110円 05=200円 枠連:0円,,,,,,,,,,,,"単勝:220円 複勝:10=130円 12=180円 01=1,790円 枠連:400円",,,,,,,,,,,
"馬連:7,690円 ワイド:05-09=1,870円 07-09=2,640円 05-07=420円",,,,,,,,,,,,馬連:340円 ワイド:01-05=190円 01-02=280円 02-05=480円,,,,,,,,,,,,馬連:210円 ワイド:02-06=120円 05-06=300円 02-05=460円,,,,,,,,,,,,"馬連:740円 ワイド:10-12=320円 01-10=4,820円 01-12=7,270円",,,,,,,,,,,
"馬単:22,520円 3連複:10,610円",,,,,,,,,,,,馬単:520円 3連複:970円,,,,,,,,,,,,馬単:320円 3連複:680円,,,,,,,,,,,,"馬単:1,080円 3連複:27,380円 3連単:74,950円",,,,,,,,,,,
■ 2R  ダ1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1.7,,,,,■ 5R  ダ1200m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 8R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1.5,,,,,■11R  ダ1200m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,貴船ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｆメイショウヘルメス, 36,高橋亮,, 53,*-15,*  7, 7,156.2,②②②, 1, 2, ミスティフォレスト,---,四位洋,, 67,* -4,*  5, 2,  3.7, ①①, 1, 2,Ｄソウルオブジャパン, 65,デムｰ,, 77,  11,*  1, 2,  3.8,⑧⑦⑤, 1,16,Ｂタイセイアトム, 84,佐藤哲,, 88,* 11,  13, 3,  8.1, ②①
 2, 7,Ｃブラックマスタング, 49,スボリ, 0.3, 46,*-14,   3, 2,  2.8,①①①, 2, 1, ファルネｰゼ,---,荻野琢, 0.9, 57, -17,*  5, 5, 15.0, ⑧⑧, 2, 6,Ａシルバｰブレイズ, 77,高田潤, 0.2, 74,  13,* -5, 1,  1.6,④④⑤, 2, 2,Ｃルミナスポイント, 81,川田将, 0.0, 91,   7,* 17, 2,  7.3, ⑧③
 3, 1,Ｂフジノアリオン, 52,長谷川, 1.0, 39, -16,  -1, 1,  1.7,④④③, 3, 7, ジョｰイロンデル,---,デムｰ, 1.3, 48,* -7,  -5, 1,  2.4, ②②, 3, 3,Ｈイブキレボルシオン, 59,藤岡佑, 1.1, 65,  10, -12, 6, 39.6,⑨⑨⑦, 3,12,Ｋスナｰクユｰチャン, 72,荻野琢, 0.5, 87,  -2,* 22, 5, 18.2, ⑭⑮
