07年12月16日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年12月16日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7.3,,,,,■ 4R  芝1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.6,,,,,■ 7R  ダ1200m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1.1,,,,,■10R  芝2400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-0.6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｵﾘｵﾝｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｅパナマックス, 52,秋山真,, 66,*  1,*  0, 1,  2.4, ①①, 1, 1,Ｊエルグランオンブレ, 44,武幸四,, 63,  -3,* 11, 5, 20.5, ⑬⑭, 1,12,Ｂラインプレアｰ, 66,幸英明,, 68,   6,*  1, 5, 14.7, ④④, 1,10,Ｈダブルティンパニｰ, 79,藤田伸,, 83,* 16,  -3, 6, 12.1,①①①
 2, 6,Ａコスモイライザ, 63,安藤勝, 0.6, 59,*  0,  -5, 2,  2.5, ②②, 2,13,Ｆマイソｰルビｰム, 47,秋山真, 0.2, 63,   3,  -3,10, 66.6, ④⑤, 2,10,Ｅミッキｰフォルテ, 63,鮫島良, 0.2, 70,* 10,  -5, 6, 19.5, ②②, 2, 2,Ｂソリッドプラチナム, 83,岩田康, 0.0, 83,  14,*  2, 3,  8.5,⑥③③
 3, 2,Ｂファルネｰゼ, 58,荻野琢, 0.6, 55,  -5,* -2, 3,  7.1, ⑦⑦, 3,16,Ａブｰケフレグランス, 54,安藤勝, 0.6, 60,*  7, -17, 1,  1.6, ②②, 3, 7,Ｇタマモアスリｰト, 57,ルメｰ, 0.3, 64,   4,*  0, 7, 33.4, ⑦⑦, 3, 5,Ｆアラタマサモンズ, 80,小牧太, 0.2, 81,  13,*  2, 8, 17.3,④⑤⑥
 4, 4,Ｃミキノセレナｰデ, 58,幸英明, 1.0, 54,  -2,  -7, 7, 45.4, ④③, 4, 8,Ｃインダストリアル, 50,小牧太, 0.6, 55,  -6,*  6, 4, 11.1, ⑰⑮, 4, 2,Ｃドリｰムクラウン, 63,安藤勝, 0.4, 62,   4,  -1, 2,  3.5, ⑦⑦, 4, 1,Ｇダｰクメッセｰジ, 80,四位洋, 0.2, 81,  13,*  3, 4, 10.0,⑧⑧⑧
 5, 5,Ｉテイクザロマン, 33,鮫島良, 1.2, 53,  -1, -10,10,183.5, ④③, 5,11,Ｌマイネルインゼル, 42,藤岡佑, 0.6, 55,  -5,*  5, 9, 52.2, ⑮⑮, 5, 9,Ｄヤマニンブリオン, 63,岩田康, 0.4, 65,   7,  -4, 3,  7.9, ④④, 5,11,Ｉダイシンハｰバｰ, 79,安藤勝, 0.3, 80,  14,  -3, 7, 12.8,③③③
 6,10,Ｄスカイズザリミット, 56,武豊  , 1.2, 53,  -1, -10, 4,  7.6, ③③, 6,18,Ｉカンファｰライズ, 46,角田晃, 0.8, 54,   0,  -8,15,131.9, ⑩⑨, 6, 5,Ａサンライズラッシュ, 68,川田将, 0.4, 65,   7,  -4, 1,  1.9, ④④, 6, 9,Ｅマンハッタンスカイ, 81,ルメｰ, 0.3, 78,* 14,  -7, 5, 10.3,②②②
 7, 7,Ｈバトルミルク, 43,角田晃, 1.2, 50,  -5,  -6, 8, 70.7, ⑦⑦, 7,17,Ｅヴェンダバｰル, 47,川田将, 0.8, 56,*  5, -15, 3,  9.1, ②③, 7, 3,Ｆキシュウラパン, 61,渡辺薫, 1.1, 54,   1,  -5, 8, 35.3, ⑨⑨, 7, 8,Ｄロｰズプレステｰジ, 81,秋山真, 0.5, 76,  11,*  1, 9, 26.6,⑩⑩⑨
 8, 9,Ｆジョｰイロンデル, 48,ルメｰ, 1.3, 50,  -4,  -8, 5, 16.4, ⑥⑥, 8,14,Ｇシｰシャトｰ, 46,石橋守, 0.8, 55,   2, -11,12, 81.8, ⑦⑥, 8, 4,Ｉリリカルヴァｰス, 55,荻野琢, 1.3, 50,  -8,* -1, 9, 53.9, ⑫⑫, 8, 3,Ａダンスアジョイ, 88,武豊  , 0.6, 77,  13,  -5, 1,  2.0,⑧⑧⑥
 9,12,Ｊダｰティｰマネｰ, 31,田村太, 1.9, 39,  -9, -11,11,211.2, ⑨⑨, 9, 2,Ｏカレンミラバッシ, 31,岩田康, 0.9, 53,  -1,  -8, 7, 26.2, ⑨⑨, 9, 6, オｰサンイチバン,---,小林慎, 2.1, 44,  -2, -12,11,208.0, ⑩⑩, 9, 6,Ｃペガサスファイト, 81,福永祐, 0.7, 76,  14,  -8, 2,  5.9,⑤⑤⑤
10,11,Ｇハッピｰラッシュ, 45,岩田康, 1.9, 42,  -9,  -9, 6, 27.3, ⑨⑩,10,12,Ｂトムウィンズ, 52,渡辺薫, 0.9, 52,  -2,  -6, 8, 45.5, ⑬⑫,10, 8,Ｊサンレイアイシング, 50,岩崎祐, 2.3, 48,* 10, -26,10,150.0, ①①,10, 7,Ｊトウカイラブ, 77,幸英明, 0.9, 74,  10,   0,10,123.3,⑪⑪⑪
11, 8,Ｋブラウンベア, 29,小牧太, 2.6, 34, -13, -12, 9,109.5, ⑪⑪,11,10,Ｑロｰカストヒル, 28,ルメｰ, 1.0, 52,   2, -14, 6, 23.8, ⑦⑥,11,11,Ｈコウユｰココロコロ, 56,武豊  , 2.7, 42,   8, -28, 4, 11.8, ③③,11, 4,Ｋオトコノユウジョウ, 69,北村宏, 2.7, 60,  12, -33,11,185.1,⑥⑦⑨
12, 3,Ｌジョｰゴセチ,-38,川田将, 5.6, -4, -14, -41,12,252.2, ⑪⑫,12, 4,Ｄフィｰルドグランデ, 49,武英智, 1.0, 54,*  5, -18,11, 77.7, ④③,12, 1, ゲットアロット,---,田中学, 2.8, 38,  -2, -19,12,258.9, ⑩⑩,,,,,,,,,,,,
,,,,,,,,,,,,13, 9,Ｋチェリｰムサシ, 43,高橋亮, 1.1, 50,  -1, -11,14,114.0, ⑩⑨,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,14, 3,Ｍマルブツスカイ, 38,幸英明, 1.2, 49,  -3,  -9,16,196.4, ⑫⑫,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15, 6,Ｈスズカクリエｰト, 46,武豊  , 1.3, 49,   2, -18, 2,  5.3, ④⑥,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,16,15,Ｎサンライズアイ, 34,北村宏, 2.2, 39,*  7, -42,13, 98.4, ①①,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,17, 7,Ｐケルンアリュｰル, 30,鮫島良, 3.1, 31,  -9, -28,17,343.9, ⑮⑰,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18, 5,Ｒテイエムグロｰバル,-36,北村友, 3.6,  6, -21, -18,18,389.7, ⑱⑱,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+11 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:+8 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:67 ﾚｰｽﾍﾟｰｽ指数:+14 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:0),,,,,,,,,,,
単勝:240円 複勝:01=110円 06=100円 02=150円 枠連:260円,,,,,,,,,,,,"単勝:2,050円 複勝:01=390円 13=1,090円 16=120円 枠連:9,520円",,,,,,,,,,,,"単勝:1,470円 複勝:12=380円 10=520円 07=860円 枠連:1,480円",,,,,,,,,,,,"単勝:1,210円 複勝:10=340円 02=240円 05=420円 枠連:1,840円",,,,,,,,,,,
馬連:260円 ワイド:01-06=130円 01-02=270円 02-06=290円,,,,,,,,,,,,"馬連:62,360円 ワイド:01-13=15,780円 01-16=600円 13-16=2,080円",,,,,,,,,,,,"馬連:9,030円 ワイド:10-12=2,230円 07-12=3,180円 07-10=4,360円",,,,,,,,,,,,"馬連:4,280円 ワイド:02-10=1,140円 05-10=2,080円 02-05=1,770円",,,,,,,,,,,
馬単:510円 3連複:460円,,,,,,,,,,,,"馬単:97,120円 3連複:26,180円",,,,,,,,,,,,"馬単:19,560円 3連複:55,550円",,,,,,,,,,,,"馬単:9,450円 3連複:19,990円 3連単:125,290円",,,,,,,,,,,
■ 2R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4.1,,,,,■ 5R  ダ1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  芝1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1.3,,,,,■11R  芝1400m 3歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1.6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,阪神ｶｯﾌﾟ ＧⅡ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｌニシノノイジｰ, 18,渡辺薫,, 57,* -7,*  1,10, 67.2,①①①, 1, 8, シルクビッグタイム,---,岩田康,, 79,* -3,* 13, 3,  3.7, ①①, 1, 6,Ｄスパニッシュソウル, 72,田中学,, 77,  10,*  7, 9, 30.3, ⑫⑪, 1,17,Ａスズカフェニックス, 96,武豊  ,, 98,   5,* 28, 1,  2.5, ⑪⑨
 2, 3,Ｄエｰシンダボｰブイ, 43,安藤勝, 0.1, 57,  -9,*  4, 1,  2.9,⑤⑤③, 2, 5, スマｰトダイレクト,---,幸英明, 1.4, 56,  -5,   1, 6, 17.6, ③②, 2,16,Ｋドリｰムサンデｰ, 65,幸英明, 0.0, 78,  14,  -2, 7, 22.1, ⑤④, 2, 4,Ｂジョリｰダンス, 93,秋山真, 0.1, 95,   5,* 27,10, 34.7, ⑨⑨
 3,10,Ｈナムラフュｰチャｰ, 39,幸英明, 1.1, 48,* -7,  -8, 6, 21.1,②②②, 3, 2, ナンヨｰサンセット,---,武豊  , 1.4, 56,  -6,   2, 1,  2.3, ③④, 3, 5,Ｃニシノブルｰムｰン, 74,武豊  , 0.1, 77,  13,  -1, 3,  7.1, ⑦⑥, 3,16,Ｎブルｰメンブラット, 86,ルメｰ, 0.1, 98,   3,* 30, 5, 14.3, ⑮⑫
 4, 2,Ｃミラクルスピリット, 44,藤田伸, 1.8, 43,  -9, -12, 2,  4.2,③④⑤, 4, 4, テイエムハヤテオｰ,---,角田晃, 1.8, 54, -15,   6, 2,  3.5, ⑧⑧, 4, 9,Ｌツルマルオジョウ, 65,川田将, 0.2, 75,  13,  -2, 6, 19.0, ⑦⑥, 4, 3,Ｑロｰレルゲレイロ, 82,藤田伸, 0.2, 87,* 11,  17, 9, 30.3, ①①
 5,13,Ｂメイショウラスタｰ, 46,武豊  , 2.0, 41,  -8, -15, 5,  7.9,③③③, 5, 1, ウィｰクタテヤマ,---,小牧太, 2.0, 49, -11,   0, 5, 17.5, ⑦⑦, 5,17,Ｊタイカｰリアン, 66,小牧太, 0.2, 74,   8,*  7,10, 34.4, ⑫⑬, 4, 7,Ｉエイシンドｰバｰ, 89,福永祐, 0.2, 89,   9,  20, 2,  4.3, ⑤④
