07年12月16日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年12月16日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2.2,,,,,■ 4R  芝2880m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1800m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.1,,,,,■10R  ダ1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,北総ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ｂクレムリンエッグ, 57,吉田隼,, 70,*  1,*  6, 4,  6.3, ②②, 1,10, シュフルｰル,,金子光,,,,, 6, 12.3,⑤③⑤, 1, 5,Ｃスマｰトファルコン, 64,後藤浩,, 71,   3,*  8, 3,  4.8,⑨⑥⑤, 1, 3,Ｇマイネルアワグラス, 74,柴田善,, 89,   1,* 25, 3,  6.0,⑧⑨⑤
 2, 9,Ｃザシｰクレット, 57,蛯名正, 0.0, 69,*  0,*  7, 2,  4.2, ③③, 2, 5, エプソムフォルテ,,浜野谷, 0.0,,,, 1,  2.0,⑤⑥⑥, 2, 9,Ａラッシュストリｰト, 68,木幡初, 0.1, 71,*  5,*  4, 1,  2.3,③③②, 2, 7,Ｄミンティエアｰ, 76,デムｰ, 0.1, 93,  -1,* 28, 8, 12.9,⑮⑭⑧
 3,14,Ｅハタノギャラン, 53,小林淳, 0.1, 69,*  2,   4, 5,  8.3, ①①, 3, 6, ヒシバトル,,山本康, 0.6,,,, 2,  5.7,③③③, 3, 6,Ｉアバレダイコ, 54,松岡正, 0.9, 62,  -1,*  8, 8, 22.8,⑮⑫⑩, 3, 6,Ｃアグネスネクタル, 77,菊沢隆, 0.1, 89,   0,* 27, 5, 10.8,⑬⑭⑭
 4, 5,Ｄライトオブピｰス, 55,横山典, 0.3, 66,  -2,*  6, 1,  2.8, ⑤④, 4, 7, ファストソニック,,石神深, 0.7,,,, 3,  5.9,②②①, 4,11,Ｂレオソリスト, 66,江田照, 1.0, 64,*  5,  -4, 5, 15.1,⑤③②, 4, 2,Ｂピサノフィリップ, 78,池添謙, 0.4, 75,*  5,  15, 1,  3.8,①①①
 5, 8,Ａサンタｰナズギフト, 62,松岡正, 1.1, 57,  -3,  -1, 3,  4.7, ⑤⑥, 5, 8, デリジェントハｰト,,大庭和, 1.5,,,,11, 90.4,③③③, 5, 3,Ｆハンサムデイイヤツ, 58,勝浦正, 1.1, 62,   1,   1,10, 55.0,⑩⑩⑨, 5,10,Ａフィｰルドオアシス, 81,柴山雄, 0.8, 73,   2,  16, 6, 11.8,⑧⑦⑧
 6, 3,Ｆナスノマツカゼ, 50,田中勝, 1.5, 53,  -4,  -4, 6, 12.7, ⑦⑦, 6,13, マイネルデネブ,,蓑島靖, 1.5,,,, 8, 34.4,⑧⑦⑨, 6,10,Ｅグルｰオン, 61,横山典, 1.4, 60,   3,  -4, 7, 17.2,⑦⑥⑥, 6,11,Ｆゴｰルドマイン, 74,松岡正, 0.9, 74,   1,  17, 7, 12.4,⑩⑩⑭
 7,11,Ｇキモンホワイト, 40,戸崎圭, 1.7, 50,  -7,  -3, 7, 28.5, ⑪⑩, 7, 2, シルクリベラル,,水出大, 2.3,,,, 5, 11.9,⑦⑦⑦, 7, 4, マサノネバｰマイン,---,吉田豊, 1.6, 60,*  6, -12, 6, 16.0,①①①, 7, 1,Ｏリバｰスモｰド, 24,勝浦正, 1.1, 69,   3,  12, 4,  8.2,④⑤③
 8,13,Ｉホットスウェル, 31,池添謙, 1.9, 50,  -1, -10, 8, 65.1, ③④, 8,11, ジェネラスボｰイ,,宗像徹, 2.6,,,, 7, 22.3,⑫⑩⑩, 8, 2,Ｊゴｰルデンハッチ, 52,田中勝, 1.6, 57,  -1,   1, 4, 11.8,⑫⑫⑩, 8, 4,Ｉピオｰネ, 73,村上忍, 1.2, 67,   3,  10,13, 77.5,⑫④⑤
