07年 2月24日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 2月24日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-7.7,,,,,■ 4R  芝2880m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1200m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.2,,,,,■10R  芝2500m 4歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-1.2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,潮来特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ａパワフルリｰフ, 49,御神本,, 57,*  9,*-15, 5, 10.5, ②②, 1, 8, マチカネリュウセイ,,宗像徹,,,,, 3,  3.7,②②①, 1,14,Ｂシアトルタコマ, 64,田中勝,, 72,* 10,   0, 3,  6.6, ③②, 1, 2,Ｅユメノシルシ, 72,吉田豊,, 80,*  4,* 16, 5,  7.6,①①①
 2,16,Ｈプリティコニｰ, 41,江田照, 0.0, 58,* 10, -16, 3,  5.3, ①①, 2, 9, グランドシャワｰ,,柴田未, 0.1,,,, 4, 17.4,④④③, 2,15,Ｈタケデンヴィｰナス, 45,田中剛, 0.0, 70,   9,   1, 6, 46.1, ④④, 2, 3,Ｂオルドリｰバ, 77,蛯名正, 0.8, 74,   4,  11, 2,  3.3,⑤⑥⑥
 3, 4,Ｃスノｰショコラ, 44,塚田祥, 0.4, 50,   7, -17, 4,  7.9, ④②, 3, 3, グラスファイタｰ,,山本康, 0.4,,,, 1,  2.5,①①②, 3,12,Ａアポロダヴィンチ, 69,吉田隼, 0.3, 70,* 12,  -6, 1,  1.6, ①①, 3, 1,Ｃエプソムアルテマ, 74,後藤浩, 0.8, 72,*  4,   7, 3,  4.7,③③③
 4, 2,Ｄシャインウッキｰ, 42,吉田隼, 0.5, 49,   7, -18, 1,  3.2, ④⑤, 4, 6, シャコｰバニラ,,植野貴, 2.0,,,,13,279.6,③③④, 4, 8,Ｃセイコｰスペシャル, 61,柴田善, 0.4, 67,   9,  -3, 2,  4.0, ④⑤, 4, 6,Ｄオｰスミダンスイン, 73,江田照, 1.5, 63,*  4,  -5, 6, 14.2,②②③
 5, 6,Ｆカクテルガｰル, 42,後藤浩, 0.7, 48,   7, -20, 2,  4.3, ④⑤, 5, 5, カズノダンシング,,田中剛, 2.4,,,,10,118.6,⑦⑤⑤, 5, 4,Ｅリキサンファイタｰ, 57,蛯名正, 0.5, 62,   5,   0, 4,  8.0, ⑦⑦, 5, 9,Ｊガッサンカｰネギｰ, 62,柴山雄, 1.5, 63,   2,   0, 8, 65.1,⑦⑦⑥
 6, 3,Ｂムｰビングアウト, 47,左海誠, 0.8, 44,   4, -18, 7, 16.6, ⑨⑦, 6,11, メモリｰオブヨｰク,,宇田登, 2.7,,,, 8, 21.4,⑩⑧⑦, 6, 7, ポッタｰ,---,御神本, 0.8, 57,   0,   1, 8,117.7, ⑨⑧, 6, 7,Ｈジョウノエリザベス, 70,塚田祥, 1.5, 67,   3,   4, 1,  3.1,⑨⑧⑤
 7,14,Ｉフジノファイタｰ, 38,柄崎将, 0.8, 45,   5, -19, 6, 14.2, ⑨⑩, 7, 7, スリｰプレアデス,,白浜雄, 2.8,,,, 2,  3.6,⑪⑨⑦, 7,11,Ｉヤマノトレジャｰ, 40,郷原洋, 1.2, 53,  -4,   1,11,230.4, ⑫⑪, 7,11,Ｉエイシンテンライ, 67,内田博, 1.6, 64,   4,  -3, 4,  7.5,⑥③②
 8, 7,Ｌハｰベット, 32,田中勝, 0.9, 43,  -7,* -9,10, 42.7, ⑭⑬, 8,13, トｰセンエタニティ,,金子光, 5.7,,,, 6, 20.3,⑧⑨⑨, 8, 6,Ｆクロｰスハｰモニｰ, 51,柴山雄, 1.2, 54,   2,  -5, 7, 94.5, ⑧⑧, 8, 5,Ａレインボｰロマンス, 86,石神深, 2.4, 57,  -1,  -2, 9, 75.9,⑪⑪⑩
