07年 5月26日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 5月26日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0.8,,,,,■ 4R  芝3000m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1400m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1.3,,,,,■10R  芝1400m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.9,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,由比ヶ浜特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｃチノハテマデモ, 50,千葉直,, 60,*  6,*-11, 4, 11.8, ②②, 1,14, フォレストダンス,,金子光,,,,, 5,  8.0,①①①, 1, 2,Ｄシンボリハレｰ, 67,北村宏,, 77,  -7,* 21, 1,  4.1, ③④, 1, 8,Ｇトウショウヴォイス, 68,小林淳,, 82,  -6,* 24, 2,  4.5, ⑦⑧
 2,10,Ｄショウナンワイズ, 50,吉田隼, 0.2, 62,*  9,*-14, 5, 12.7, ①①, 2, 4, ハウルサンダｰ,,横山義, 1.3,,,, 6, 10.7,⑤②②, 2, 8,Ｃポンテペルレ, 68,松岡正, 0.0, 80, -10,* 24, 3,  4.4, ③⑤, 2, 3,Ｃスピｰドタッチ, 72,松岡正, 0.2, 74,  -4,  18, 4,  8.6, ⑤④
 3, 4,Ａグリントインダンス, 54,松岡正, 1.3, 50,   5, -19, 3,  3.7, ⑥⑤, 3, 6, ノボライトニング,,菊池憲, 2.9,,,,11, 65.0,⑩⑦④, 3,13,Ｈショウナンタイトル, 60,吉田豊, 0.3, 66,* -5,  14, 2,  4.3, ②②, 3, 9,Ｌバルバレスコ, 63,江田照, 0.2, 75,  -5,* 20, 7, 24.8, ⑦⑥
 4,11,Ｈトｰアミッシェル, 28,田中博, 1.4, 46,   2, -19, 9, 37.4, ⑦⑦, 4, 7, グロｰリｰジョン,,五十嵐, 3.1,,,, 4,  6.3,⑧⑨⑦, 4, 7,Ｉセイリングシップ, 59,勝浦正, 0.8, 55,* -4,   4, 5, 10.5, ①①, 4,11,Ｂマチカネタマカズラ, 73,後藤浩, 0.2, 71,* -1,  15, 3,  4.7, ②②
 5, 5,Ｇヴィッテリア, 36,梶晃啓, 2.2, 42,   2, -23,13,168.7, ⑦⑨, 5,12, デイトレｰダｰ,,南田雅, 3.2,,,, 2,  4.5,⑤⑤③, 5, 5,Ｆフュノンガルウ, 63,郷原洋, 1.0, 53,* -6,   4, 4,  7.0, ③③, 5, 5,Ｍラブリネスオブパリ, 60,田中勝, 0.4, 67,  -3,  13,10, 42.5, ④③
 6,16,Ｂテルミヌス, 52,横山典, 2.3, 42,   5, -29, 1,  3.2, ⑤⑤, 6, 5, リネンハッシン,,蓑島靖, 3.8,,,, 8, 23.6,⑧⑩⑧, 6,10,Ｍエステヴァン, 49,田中剛, 1.3, 51, -14,  10, 9, 27.5, ⑩⑧, 6, 1,Ａビッグカポネ, 78,蛯名正, 0.4, 64,*  2,   7, 1,  3.2, ①①
 7, 9, サクラアムｰル,---,田辺裕, 2.4, 41,   2, -25,10, 46.8, ⑩⑨, 7, 1, サンタナシチｰ,,石神深, 4.9,,,, 9, 34.6,⑪⑪⑨, 7, 4,Ｎギブミｰアチャンス, 49,吉田隼, 1.4, 48, -13,   7,12, 87.4, ⑥⑥, 7, 6,Ｋカｰムブレイカｰ, 65,吉田豊, 0.6, 67,  -7,  16, 8, 25.6, ⑨⑨
 8, 6,Ｉニシノシンワ, 27,安藤光, 2.4, 42,   5, -31,12,141.6, ③③, 8,11, シンボリデビル,,宗像徹, 5.0,,,,10, 38.8,⑦⑥④, 8,11,Ｊテントゥワン, 56,二本柳, 1.5, 50, -18,  12,11, 38.6, ⑪⑫, 8,12,Ｄレインボｰロマンス, 72,石神深, 0.6, 67,  -7,  16, 6, 10.0, ⑨⑨
 9, 7, タケショウザダイヤ,---,蛯名正, 2.5, 40,   1, -24,11, 82.0, ⑩⑪, 9, 9, セイウンジェム,,大庭和, 7.7,,,,13,115.2,⑬⑬⑪, 9,15,Ｅタケデンサンバ, 66,大庭和, 1.5, 51, -19,  13, 8, 21.7, ⑭⑭, 9,10,Ｅミスタｰケビン, 72,北村宏, 0.9, 64, -12,  18, 5,  8.8, ⑬⑬
10, 1,Ｅクロフネマンボ, 49,江田照, 2.7, 39,*  6, -35, 2,  3.4, ③③,10,13, ミヤギシンザン,,柴田未, 8.3,,,,12,103.4,③⑦⑥,10, 9,Ｋホリノフラワｰ, 53,武士沢, 1.6, 50, -21,  15,14,142.7, ⑭⑮,10, 4,Ｉシュウザンジャンプ, 67,小野次, 1.1, 58,  -9,  12,11, 52.0, ⑨⑪
11,15, ガクエングレイス,---,田中勝, 4.1, 30,   1, -40, 6, 20.0, ⑫⑪,11, 2, ビュｰティピｰス,,江田勇, 9.0,,,,14,169.6,⑪⑫⑩,11,12,Ａメアリｰステラ, 70,田中博, 1.6, 43, -18,   7, 6, 10.6, ⑨⑪,11, 7,Ｈアンテリオｰル, 67,塚田祥, 1.1, 58, -11,  13,13, 71.0, ⑫⑪
12,14,Ｆディオンロｰズ, 39,鮫島良, 4.5, 28,  -1, -40, 8, 30.1, ⑫⑬,12, 3, リンドｰロ,,穂苅寿,10.1,,,, 3,  5.8,⑭⑭⑫,12, 3,Ｌクリノハッピｰデイ, 51,菊沢隆, 1.7, 44, -13,   3,15,166.7, ⑥⑥,12, 2,Ｆダイゴカムイ, 71,太宰啓, 1.2, 53,  -5,   4,12, 68.1, ③⑥
13, 2, グランドロｰザンヌ,---,郷原洋, 4.7, 28,  -2, -41,16,215.1, ⑭⑬,,,,,,,,,,,,,13,14,Ｇミヤコタイガｰ, 62,塚田祥, 1.9, 40, -18,   5, 7, 18.0, ⑪⑫,13,13,Ｊシュトラウス, 67,柴山雄, 1.4, 52,  -4,  -1, 9, 31.6, ⑤④
14,13, アプロアトウショウ,---,石橋脩, 5.4, 22,   3, -56, 7, 25.7, ⑦⑦,,,,,,,,,,,,,14, 6,Ｂクリノジャンファン, 69,宮崎北, 2.0, 38, -16,  -3,10, 34.6, ⑥⑧,,,,,,,,,,,,
15, 3, ファンタジｰオペラ,---,小野次, 6.6, -6,  -3, -58,14,188.7, ⑭⑮,,,,,,,,,,,,,15, 1,Ｏレオブライト, 35,江田照, 2.1, 40, -15,  -1,13,139.1, ⑪⑧,,,,,,,,,,,,
