07年10月13日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年10月13日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.8,,,,,■ 4R  ダ1300m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.3,,,,,■ 7R  芝2400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.1,,,,,■10R  芝1400m 2 歳500万(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｻﾌﾗﾝ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ａアポロラムセス, 58,勝浦正,, 55,  -9,*  0, 1,  2.2, ⑥③, 1, 1,Ｅキラライットウセイ, 63,江田照,, 74,  -4,* 14, 1,  3.4, ⑨⑩, 1, 4,Ａシンボリユタカオｰ, 73,的場勇,, 80, -11,* 23, 1,  3.7,⑰⑮⑬, 1, 6,Ａラルケット, 70,横山典,, 66,  -8,  16, 1,  2.5, ⑩⑦
 2, 5,Ｇベストロケｰション, 40,蛯名正, 0.3, 48,* -7,  -6, 2,  2.8, ①①, 2, 5,Ｃモンプティクｰル, 64,宮崎北, 0.1, 67,*  1,   4, 6, 10.0, ②②, 2,13,Ｇエアクラマン, 65,大野拓, 0.2, 68,  -9,* 16, 4,  9.1,⑫⑪⑪, 2,15,Ｈメジロアリス, 55,岩部純, 0.2, 72, -17,* 24,13, 46.8, ⑮⑮
 3,11,Ｌネイヴルトウショウ, 28,吉田豊, 0.6, 45, -10,  -6,12, 69.9, ④③, 3,15,Ｌヒカルラブハｰト, 49,吉田隼, 0.4, 66,   1,   5, 8, 46.1, ④④, 3, 9,Ｌマチカネフクノカミ, 53,津村明, 0.3, 51,* -5,   2, 2,  4.8,②②②, 3,12,Ｃリｰベストラウム, 65,田中博, 0.2, 70, -15,* 22, 2,  5.6, ⑯⑮
 4,10,Ｈステルスワン, 38,後藤浩, 0.7, 44,* -8,  -8, 9, 45.4, ②②, 4,13,Ａディスパｰロ, 69,小島太, 0.6, 63,  -5,*  6, 2,  4.7, ⑬⑩, 4, 6,Ｈナムラビスマルク, 65,田辺裕, 0.4, 51,* -6,   4, 5, 10.6,③③③, 4, 8,Ｍデラックスヴィラ, 49,江田照, 0.3, 61, -11,  14, 7, 14.4, ⑬⑪
 5, 1,Ｅフサイチエゴイスト, 44,中舘英, 0.9, 44, -11,  -5, 7, 28.5, ⑦⑨, 5, 3,Ｍシルクマタドｰル, 48,石橋脩, 0.8, 61,   0,   0,15,108.6, ④④, 5, 7,Ｂクラヴィｰア, 71,佐藤聖, 0.4, 51,  -7,   4, 3,  5.3,③③⑥, 5, 7,Ｄリｰガルアミュｰズ, 63,田中勝, 0.3, 61, -11,  14, 8, 16.1, ⑩⑪
 6, 2,Ｂジョイフルハｰバｰ, 55,大野拓, 0.9, 41, -10,  -9, 3,  9.1, ④③, 6, 4,Ｇワイルドバニヤン, 58,後藤浩, 1.0, 58,*  3,  -4, 7, 19.4, ①①, 6,14,Ｅヤマニンアロンディ, 66,鈴木慶, 0.5, 52,* -5,   3,12, 49.5,⑥③③, 6, 4,Ｌサマｰファインデイ, 50,北村宏, 0.3, 56,  -5,   6, 5, 12.1, ⑥④
 7, 3,Ｊミラクルロザリオ, 29,石橋脩, 1.0, 44, -13,  -4,15,456.5, ⑪⑫, 7,14,Ｆペイアテンション, 60,蛯名正, 1.2, 55,*  3,  -7, 3,  5.0, ②②, 7,11,Ｉグランドメロｰ, 62,千葉直, 0.7, 46,  -8,   1, 9, 19.2,⑩⑧⑥, 7, 9,Ｆフラミニアンウェイ, 59,後藤浩, 0.3, 57,  -6,   8,11, 35.3, ⑥④
 8, 8,Ｄライムライトシチｰ, 48,武士沢, 1.0, 44, -14,* -3,10, 48.5, ⑬⑫, 8, 7,Ｊブライティアメッセ, 53,勝浦正, 1.3, 58,  -6,   4,12, 73.3, ⑬⑭, 8,10,Ｍケイコワンデイ, 52,草野太, 0.7, 48,  -9,   4,16,150.0,⑥⑧⑧, 8,16,Ｊマイネフルｰレ, 53,柴山雄, 0.5, 59, -13,  14,10, 32.5, ⑫⑬
 9, 7,Ｆビｰボタンダッシュ, 41,田中勝, 1.2, 41, -10, -10, 5, 17.6, ⑫⑦, 9, 9,Ｂエビスグリｰン, 66,田中勝, 1.3, 56,  -2,  -1, 4,  5.7, ⑦⑦, 9, 3,Ｆゼンノホワイト, 66,田中博, 0.8, 51,  -9,   6, 6, 10.9,⑮⑭⑪, 9, 5,Ｅコスモジャイロ, 62,吉田隼, 0.6, 52,* -3,  -2, 6, 13.1, ③②
10, 6,Ｏヴォイジャｰ, -2,柴山雄, 1.6, 37, -15,  -7,11, 64.8, ⑬⑭,10, 6,Ｉヨイチトレジャｰ, 56,田中博, 1.4, 56, -10,   5,14, 93.6, ⑮⑮,10,17,Ｄクニノヤマト, 66,丹内祐, 0.8, 48,* -5,  -1, 8, 17.7,③③③,10,13,Ｇギンザフロｰラル, 56,勝浦正, 0.6, 53,  -8,   6,14, 76.6, ⑧⑦
11, 9,Ｋイントラストミｰ, 28,田辺裕, 1.7, 35, -16,  -9,13,252.2, ⑮⑭,11,12,Ｏワンダｰデヒア, 38,横山義, 1.5, 54,  -2,  -3,10, 60.6, ⑦⑦,11, 2,Ｃシンハルカジョウ, 71,宮崎北, 0.8, 46,  -8,   1, 7, 16.0,⑥⑧⑧,11, 2,Ｂレッドタｰキｰ, 66,松岡正, 0.7, 50,  -7,   3, 4, 11.1, ④⑦
12,16,Ｎハルタカオｰ, 24,松岡正, 1.8, 33, -12, -13, 4, 12.2, ⑩⑨,12,11,Ｋサフラントウショウ, 52,黛弘人, 1.6, 49,  -1,  -8,11, 62.2, ④④,12, 5,Ｏコスモグラディウス, 49,黛弘人, 0.9, 50, -11,   7,17,175.2,⑬⑫⑬,12,11,Ｉエフティアクトレス, 54,蛯名正, 0.7, 52,*  0,  -6, 3,  7.7, ①①
13,14,Ｍスプリッツァｰ, 27,菊沢隆, 2.1, 31, -18, -10,16,558.9, ⑯⑯,13, 8,Ｈメイキンマジック, 56,小野次, 1.9, 48,  -2,  -8,13, 90.0, ⑨⑦,13, 8,Ｊコスモラバンジン, 62,南田雅, 1.1, 48,* -4,  -9,11, 40.6,①①①,13,10,Ｋストロングジョイス, 51,吉田豊, 1.0, 48, -14,   8, 9, 27.4, ⑬⑬
