07年 6月24日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 6月24日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.2,,,,,■ 4R  芝2600m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1.1,,,,,■ 7R  ダ1000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1.4,,,,,■10R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4.1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,,,,,,,,,,,,,12, 1,Ｃウインカスケｰド, 66,津村明, 3.3, 45,  -5, -11, 5, 12.2, ⑧⑧,12,16,Ｅノボスイｰツ, 64,小野次, 1.2, 52,*  4, -10, 7, 21.2, ③③
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,12,Ｉキクカネイチャ, 61,芹沢純, 1.9, 42, -12,  -3, 5, 14.0, ⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14, 7,Ａフリｰダムエアｰ, 76,松田大, 2.0, 42,*  8, -25, 1,  1.6, ①①
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15, 9,Ｐシルクルｰセント, 40,伊藤直, 2.3, 41,  -7, -13,16,184.6, ⑪⑭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,15,Ｌレストレスハｰト, 48,長谷川, 3.3,-19,  -1, -34, 8, 44.3, ⑥⑨
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+8 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:+13 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:+16 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:良(指数:-6),,,,,,,,,,,
単勝:240円 複勝:01=110円 06=120円 02=220円 枠連:400円,,,,,,,,,,,,単勝:250円 複勝:02=110円 01=110円 06=140円 枠連:300円,,,,,,,,,,,,"単勝:1,880円 複勝:02=390円 08=130円 12=140円 枠連:4,370円",,,,,,,,,,,,"単勝:5,390円 複勝:05=840円 06=280円 08=380円 枠連:14,310円",,,,,,,,,,,
馬連:400円 ワイド:01-06=180円 01-02=360円 02-06=470円,,,,,,,,,,,,馬連:320円 ワイド:01-02=150円 02-06=240円 01-06=200円,,,,,,,,,,,,"馬連:3,750円 ワイド:02-08=1,480円 02-12=1,280円 08-12=230円",,,,,,,,,,,,"馬連:13,510円 ワイド:05-06=3,440円 05-08=3,320円 06-08=1,450円",,,,,,,,,,,
